,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지표,산출기준,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31
차입금,," 1,931,262,270,000 "," 2,103,819,505,000 "," 2,222,510,844,000 "," 2,248,606,009,000 "," 2,449,134,965,000 "," 1,796,168,963,000 "," 1,781,039,961,000 "," 1,875,678,001,000 "," 1,968,416,742,000 "," 2,357,172,033,000 "," 2,491,531,730,000 "," 2,499,968,579,000 "," 4,945,562,751,000 "," 5,087,036,179,000 "," 4,639,060,937,000 "," 4,356,258,065,000 "," 4,878,885,949,000 "," 5,002,091,636,000 "," 5,098,292,929,000 "," 4,588,864,087,000 "," 5,066,717,399,000 "," 5,369,416,998,000 "," 5,176,126,891,000 "," 4,881,670,153,000 "," 5,096,574,549,000 "," 5,280,827,923,000 "," 5,349,823,654,000 "," 5,150,850,188,000 "," 5,276,565,487,000 "," 5,592,274,242,000 "," 5,516,006,893,000 "," 5,186,962,647,588 "," 5,642,147,661,000 "
자산총계,," 9,149,553,924,689 "," 10,093,103,701,001 "," 9,969,272,949,774 "," 9,543,776,838,218 "," 10,223,917,265,282 "," 9,114,299,295,551 "," 9,360,725,173,992 "," 8,965,418,419,357 "," 9,007,170,987,465 "," 9,084,031,928,034 "," 9,110,145,915,720 "," 9,382,221,503,013 "," 12,018,137,081,138 "," 12,449,899,540,863 "," 11,877,631,077,778 "," 12,347,572,328,146 "," 12,932,793,934,525 "," 13,596,381,422,597 "," 13,455,723,258,396 "," 12,878,863,208,936 "," 13,419,303,764,506 "," 13,933,032,148,241 "," 13,588,106,607,125 "," 13,118,486,307,658 "," 13,304,911,000,221 "," 13,404,770,265,240 "," 13,410,549,242,841 "," 13,353,471,078,397 "," 14,103,485,480,950 "," 13,644,592,125,762 "," 13,503,359,053,133 "," 13,108,550,142,754 "," 15,066,170,684,945 "
총자산이익률,(당기순이익/총자산)*100,0.4 ,1.0 ,1.8 ,0.4 ,3.7 ,0.4 ,3.8 ,-0.3 ,0.4 ,-1.0 ,-2.1 ,-2.4 ,-2.2 ,0.6 ,-0.4 ,4.5 ,0.2 ,3.0 ,1.3 ,-0.4 ,0.2 ,1.5 ,-0.4 ,0.2 ,-0.1 ,0.4 ,0.5 ,0.7 ,3.2 ,3.1 ,2.8 ,2.2 ,0.3 
당기순이익,," 34,114,104,962 "," 104,150,709,029 "," 175,880,073,623 "," 42,299,633,566 "," 376,314,926,416 "," 40,957,834,221 "," 359,812,313,693 ","-23,103,553,364 "," 33,229,965,254 ","-93,267,236,684 ","-187,868,087,099 ","-221,877,261,778 ","-270,247,362,636 "," 78,133,372,429 ","-47,718,164,514 "," 560,873,030,681 "," 30,431,137,644 "," 411,350,202,183 "," 178,969,931,072 ","-53,211,168,479 "," 32,197,301,757 "," 214,396,632,393 ","-50,944,715,047 "," 28,661,656,966 ","-15,452,013,086 "," 51,871,870,062 "," 63,109,834,860 "," 92,502,625,102 "," 454,910,931,746 "," 422,070,049,637 "," 379,762,396,275 "," 293,294,512,467 "," 44,050,087,099 "
자산총계,," 9,149,553,924,689 "," 10,093,103,701,001 "," 9,969,272,949,774 "," 9,543,776,838,218 "," 10,223,917,265,282 "," 9,114,299,295,551 "," 9,360,725,173,992 "," 8,965,418,419,357 "," 9,007,170,987,465 "," 9,084,031,928,034 "," 9,110,145,915,720 "," 9,382,221,503,013 "," 12,018,137,081,138 "," 12,449,899,540,863 "," 11,877,631,077,778 "," 12,347,572,328,146 "," 12,932,793,934,525 "," 13,596,381,422,597 "," 13,455,723,258,396 "," 12,878,863,208,936 "," 13,419,303,764,506 "," 13,933,032,148,241 "," 13,588,106,607,125 "," 13,118,486,307,658 "," 13,304,911,000,221 "," 13,404,770,265,240 "," 13,410,549,242,841 "," 13,353,471,078,397 "," 14,103,485,480,950 "," 13,644,592,125,762 "," 13,503,359,053,133 "," 13,108,550,142,754 "," 15,066,170,684,945 "
자기자본순이익률(roe),(당기순이익/자기자본)*100,0.6 ,1.6 ,2.8 ,0.7 ,6.1 ,0.7 ,5.9 ,-0.4 ,0.6 ,-1.7 ,-3.4 ,-5.0 ,-5.8 ,1.6 ,-1.0 ,10.7 ,0.6 ,7.2 ,3.2 ,-1.0 ,0.6 ,3.9 ,-0.9 ,0.5 ,-0.3 ,0.9 ,1.1 ,1.7 ,7.8 ,8.3 ,7.4 ,5.8 ,0.7 
당기순이익,," 34,114,104,962 "," 104,150,709,029 "," 175,880,073,623 "," 42,299,633,566 "," 376,314,926,416 "," 40,957,834,221 "," 359,812,313,693 ","-23,103,553,364 "," 33,229,965,254 ","-93,267,236,684 ","-187,868,087,099 ","-221,877,261,778 ","-270,247,362,636 "," 78,133,372,429 ","-47,718,164,514 "," 560,873,030,681 "," 30,431,137,644 "," 411,350,202,183 "," 178,969,931,072 ","-53,211,168,479 "," 32,197,301,757 "," 214,396,632,393 ","-50,944,715,047 "," 28,661,656,966 ","-15,452,013,086 "," 51,871,870,062 "," 63,109,834,860 "," 92,502,625,102 "," 454,910,931,746 "," 422,070,049,637 "," 379,762,396,275 "," 293,294,512,467 "," 44,050,087,099 "
자기자본,," 5,986,755,027,008 "," 6,571,665,568,081 "," 6,382,814,867,835 "," 5,866,256,798,392 "," 6,180,030,757,200 "," 5,844,747,746,165 "," 6,123,261,453,276 "," 5,741,346,635,246 "," 5,714,921,425,530 "," 5,580,430,745,112 "," 5,491,438,451,667 "," 4,453,226,856,338 "," 4,679,073,316,648 "," 4,999,588,721,446 "," 4,846,372,630,736 "," 5,245,995,001,770 "," 5,255,126,642,361 "," 5,679,412,973,934 "," 5,519,848,739,702 "," 5,376,066,871,921 "," 5,357,632,354,824 "," 5,566,568,815,503 "," 5,423,435,959,601 "," 5,551,138,505,338 "," 5,533,652,339,853 "," 5,525,694,562,971 "," 5,497,180,036,504 "," 5,447,529,409,519 "," 5,841,810,358,266 "," 5,108,714,579,193 "," 5,111,353,471,138 "," 5,039,315,406,549 "," 6,260,236,214,540 "
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,,,,,"1,003.1 ",-60.7 ,104.6 ,적자전환,-91.2 ,적자전환,적자전환,-860.4 ,적자전환,흑자전환,74.6 ,흑자전환,흑자전환,426.5 ,흑자전환,적자전환,5.8 ,-47.9 ,적자전환,흑자전환,적자전환,-75.8 ,흑자전환,222.7 ,흑자전환,713.7 ,501.7 ,217.1 ,-90.3 
당기순이익,," 34,114,104,962 "," 104,150,709,029 "," 175,880,073,623 "," 42,299,633,566 "," 376,314,926,416 "," 40,957,834,221 "," 359,812,313,693 ","-23,103,553,364 "," 33,229,965,254 ","-93,267,236,684 ","-187,868,087,099 ","-221,877,261,778 ","-270,247,362,636 "," 78,133,372,429 ","-47,718,164,514 "," 560,873,030,681 "," 30,431,137,644 "," 411,350,202,183 "," 178,969,931,072 ","-53,211,168,479 "," 32,197,301,757 "," 214,396,632,393 ","-50,944,715,047 "," 28,661,656,966 ","-15,452,013,086 "," 51,871,870,062 "," 63,109,834,860 "," 92,502,625,102 "," 454,910,931,746 "," 422,070,049,637 "," 379,762,396,275 "," 293,294,512,467 "," 44,050,087,099 "
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,,,,,11.7 ,-9.7 ,-6.1 ,-6.1 ,-11.9 ,-0.3 ,-2.7 ,4.6 ,33.4 ,37.1 ,30.4 ,31.6 ,7.6 ,9.2 ,13.3 ,4.3 ,3.8 ,2.5 ,1.0 ,1.9 ,-0.9 ,-3.8 ,-1.3 ,1.8 ,6.0 ,1.8 ,0.7 ,-1.8 ,6.8 
자산총계,," 9,149,553,924,689 "," 10,093,103,701,001 "," 9,969,272,949,774 "," 9,543,776,838,218 "," 10,223,917,265,282 "," 9,114,299,295,551 "," 9,360,725,173,992 "," 8,965,418,419,357 "," 9,007,170,987,465 "," 9,084,031,928,034 "," 9,110,145,915,720 "," 9,382,221,503,013 "," 12,018,137,081,138 "," 12,449,899,540,863 "," 11,877,631,077,778 "," 12,347,572,328,146 "," 12,932,793,934,525 "," 13,596,381,422,597 "," 13,455,723,258,396 "," 12,878,863,208,936 "," 13,419,303,764,506 "," 13,933,032,148,241 "," 13,588,106,607,125 "," 13,118,486,307,658 "," 13,304,911,000,221 "," 13,404,770,265,240 "," 13,410,549,242,841 "," 13,353,471,078,397 "," 14,103,485,480,950 "," 13,644,592,125,762 "," 13,503,359,053,133 "," 13,108,550,142,754 "," 15,066,170,684,945 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
