기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,search_tag,search_text,fact_text,수치표시
2025-12-31,2025,YTD,2025 YTD,전사(공통),매출액,매출액,6414169,백만원,2025YTD|전사(공통)|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 전사(공통) 매출액 | 사업부 | 부문정보 | 전사(공통) | 매출액 | 전사 | 공통 | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 전사(공통)의 매출액은 6414169백만원이며 기준일은 2025-12-31입니다.,6414169
2025-12-31,2025,YTD,2025 YTD,전사(공통),영업이익,영업이익,459611,백만원,2025YTD|전사(공통)|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 전사(공통)의 영업이익은 459611백만원이며 기준일은 2025-12-31입니다.,459611
2025-12-31,2025,YTD,2025 YTD,전사(공통),영업이익,영업이익률(%),7.2,%,2025YTD|전사(공통)|영업이익|영업이익률(%)|%,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 전사(공통) 영업이익률(%) | 사업부 | 부문정보 | 전사(공통) | 영업이익률(%) | 전사 | 공통 | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 YTD분기 사업부 부문정보 기준 전사(공통)의 영업이익률은 7.2%이며 기준일은 2025-12-31입니다.,7.2
2025-12-31,2025,YTD,2025 YTD,전사(공통),당기순이익,당기순이익,1607283,백만원,2025YTD|전사(공통)|당기순이익|당기순이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 전사(공통) 당기순이익 | 사업부 | 부문정보 | 전사(공통) | 당기순이익 | 전사 | 공통 | 순이익 | net income | net profit | 당기순익 | 백만원,2025년 YTD분기 사업부 부문정보 기준 전사(공통)의 당기순이익은 1607283백만원이며 기준일은 2025-12-31입니다.,1607283
2025-12-31,2025,YTD,2025 YTD,전사(공통),당기순이익,당기순이익률(%),25.1,%,2025YTD|전사(공통)|당기순이익|당기순이익률(%)|%,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 전사(공통) 당기순이익률(%) | 사업부 | 부문정보 | 전사(공통) | 당기순이익률(%) | 전사 | 공통 | 순이익률 | net margin | 수익성 | 당기순익률 | %,2025년 YTD분기 사업부 부문정보 기준 전사(공통)의 당기순이익률은 25.1%이며 기준일은 2025-12-31입니다.,25.1
2025-12-31,2025,YTD,2025 YTD,실리콘,매출액,매출액,3067128,백만원,2025YTD|실리콘|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 실리콘 매출액 | 사업부 | 부문정보 | 실리콘 | 매출액 | 실리콘사업부 | silicone | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 실리콘의 매출액은 3067128백만원이며 기준일은 2025-12-31입니다.,3067128
2025-12-31,2025,YTD,2025 YTD,실리콘,영업이익,영업이익,81053,백만원,2025YTD|실리콘|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 실리콘의 영업이익은 81053백만원이며 기준일은 2025-12-31입니다.,81053
2025-12-31,2025,YTD,2025 YTD,실리콘,영업이익,영업이익률(%),2.6,%,2025YTD|실리콘|영업이익|영업이익률(%)|%,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 실리콘 영업이익률(%) | 사업부 | 부문정보 | 실리콘 | 영업이익률(%) | 실리콘사업부 | silicone | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 YTD분기 사업부 부문정보 기준 실리콘의 영업이익률은 2.6%이며 기준일은 2025-12-31입니다.,2.6
2025-12-31,2025,YTD,2025 YTD,건자재,매출액,매출액,966581,백만원,2025YTD|건자재|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 건자재 매출액 | 사업부 | 부문정보 | 건자재 | 매출액 | 건재 | 건자재사업부 | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 건자재의 매출액은 966581백만원이며 기준일은 2025-12-31입니다.,966581
2025-12-31,2025,YTD,2025 YTD,건자재,영업이익,영업이익,115095,백만원,2025YTD|건자재|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 건자재의 영업이익은 115095백만원이며 기준일은 2025-12-31입니다.,115095
2025-12-31,2025,YTD,2025 YTD,건자재,영업이익,영업이익률(%),11.9,%,2025YTD|건자재|영업이익|영업이익률(%)|%,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 건자재 영업이익률(%) | 사업부 | 부문정보 | 건자재 | 영업이익률(%) | 건재 | 건자재사업부 | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 YTD분기 사업부 부문정보 기준 건자재의 영업이익률은 11.9%이며 기준일은 2025-12-31입니다.,11.9
2025-12-31,2025,YTD,2025 YTD,도료,매출액,매출액,1909828,백만원,2025YTD|도료|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 도료 매출액 | 사업부 | 부문정보 | 도료 | 매출액 | 도료사업부 | paint | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 도료의 매출액은 1909828백만원이며 기준일은 2025-12-31입니다.,1909828
