 사업부문별 실적,,,,,,,,,,,,,,,,,,,, 7 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,(단위 : 백만원),,,,,,,,,,,
,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25,3Q25,4Q25,,,,,,,,,,,
QoQ(%),,,,,(2.1),78.7 ,(20.5),3.5 ,12.9 ,35.8 ,23.3 ,9.5 ,(14.6),20.4 ,(23.7),(14.4),(32.0),34.4 ,4.8 ,(22.4),,,,,,,,,,,
YoY(%),,,,,49.5 ,74.5 ,49.7 ,44.1 ,66.1 ,26.2 ,95.6 ,73.7 ,26.9 ,12.5 ,(30.4),(32.9),(46.6),(40.3),(18.0),(25.6),,,,,,,,,,,
도료,"7,557,405","11,476,361","10,864,205","-3,608,136"," 6,967,734 "," 20,045,074 "," 21,562,954 "," 10,013,811 ","20,963","47,670","60,450","46,796","54,620","66,083","57,041","39,584","55,922","64,672","56,958","41,890"," 1,000 ",20.963122,47.670221,60.44985,46.796459,54.620375,66.08337,57.04141,39.584,55.921916,64.67172
영업이익률(%),,,,,2.0 ,5.2 ,5.9 ,2.7 ,6.0 ,11.2 ,14.0 ,10.3 ,13.0 ,12.7 ,11.5 ,7.9 ,12.2 ,12.5 ,11.8 ,9.3 ,,,,,,,,,,,
QoQ(%),,,,,흑자전환,187.7 ,7.6 ,(53.6),109.3 ,127.4 ,26.8 ,(1.8),16.7 ,21.0 ,(13.7),(30.6),41.3 ,15.6 ,(11.9),(26.5),,,,,,,,,,,
YoY(%),,,,,(7.8),74.7 ,98.5 ,흑자전환,200.9 ,137.8 ,180.3 ,117.0 ,160.6 ,38.6 ,(5.6),(15.4),2.4 ,(2.1),(0.1),5.8 ,,,,,,,,,,,
기타,"-5,537,631","-3,450,653","3,697,497","1,518,684"," 2,260,650 "," 5,570,242 "," 3,264,229 ","-3,356,702 ","-1,815","8,147","3,026","-5,452",-987,"-1,509","-3,274","-7,180","-4,403",-911,-275,"-5,265"," 1,000 ",-1.815214,8.146904,3.026454,-5.452389,-0.986906,-1.509272,-3.27388,-7.18,-4.403043,-0.910767
영업이익률(%),,,,,2.4 ,5.2 ,2.5 ,(2.5),(1.4),5.8 ,2.1 ,(3.6),(0.6),(0.8),(2.2),(5.3),(3.3),(0.7),(0.2),(4.3),,,,,,,,,,,
QoQ(%),,,,,48.9 ,146.4 ,(41.4),적자전환,적자지속,흑자전환,(62.9),적자전환,적자지속,적자지속,적자지속,적자지속,적자지속,적자지속,적자지속,적자지속,,,,,,,,,,,
YoY(%),,,,,흑자전환,흑자전환,(11.7),적자전환,적자전환,46.3 ,(7.3),적자지속,적자지속,적자전환,적자전환,적자지속,적자지속,적자지속,적자지속,적자지속,,,,,,,,,,,
당기순이익*,"30,431,138","380,919,065","-232,380,271","-232,181,101","32,197,302 ","182,199,330 ","-265,341,347 ","79,606,372 ","-15,452 "," 67,324 "," 11,238 ","-15,669 "," 458,237 ","-29,518 ","-51,009 ","-51,159 ","44,050 ","893,271 ","326,338 ","274,837 "," 1,000 ",-15.452015,67.323884,11.237966,-15.669489,458.237,-29.517529,-51.009,-51.159,44.050087,893.270715
당기순익률(%),,,,,2.0 ,10.4 ,(15.2),4.9 ,(1.0),4.2 ,0.7 ,(1.0),28.8 ,(1.7),(3.1),(3.1),2.8 ,52.4 ,20.1 ,17.7 ,,,,,,,,,,,
QoQ(%),,,,,흑자전환, 465.88 ,-245.63 ,-130.00 ,적자전환,흑자전환,(83.3),적자전환,"(3,024.4)",적자전환,적자지속,적자지속,흑자전환,1927.9 ,(63.5),(15.8),,,,,,,,,,,
YoY(%),,,,,5.8 ,(52.2),적자지속,흑자전환,적자전환,(63.0),흑자전환,적자지속,흑자전환,적자전환,적자전환,적자전환,(90.4),흑자전환,흑자전환,흑자전환,,,,,,,,,,,
지배순이익,,,,,"6,580,389 ","169,357,939 ","-268,008,676 ","125,933,339 "," 8,137 "," 90,993 "," 46,964 "," 66,569 "," 475,511 ","-29,518 ","-51,009 ","-51,159 ","44,050 ","893,271 ","326,338 ","274,837 "," 1,000 ",8.136882,90.992965,46.96403,66.568911,475.510554,-29.517529,-51.009,-51.159,44.050087,893.270715
"주) 상기 당기순이익(23,24,25년도 1Q·2Q·3Q)은 분기보고서 기준으로 작성되었습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
