재무계정,사업부,상세항목,기간,수치,단위
당기순이익,전사(공통),YoY(%),2022-06-30,-0.052,백만원
당기순이익,전사(공통),지배순이익,2022-06-30,169358,백만원
매출액,전사(공통),매출액 (총계),2022-09-30,1740125,백만원
매출액,전사(공통),QoQ(%),2022-09-30,-0.001,백만원
매출액,전사(공통),YoY(%),2022-09-30,0.017,백만원
매출액,실리콘,실리콘,2022-09-30,965553,백만원
매출액,건자재,건자재,2022-09-30,277320,백만원
매출액,도료,도료,2022-09-30,366031,백만원
매출액,기타,기타,2022-09-30,131221,백만원
영업이익,전사(공통),영업이익 (총계),2022-09-30,96380,백만원
영업이익,전사(공통),영업이익률(%),2022-09-30,0.006,백만원
영업이익,전사(공통),QoQ(%),2022-09-30,-0.041,백만원
영업이익,전사(공통),YoY(%),2022-09-30,-0.02,백만원
영업이익,실리콘,영업이익,2022-09-30,36915,백만원
영업이익,실리콘,영업이익률(%),2022-09-30,0.004,백만원
영업이익,실리콘,QoQ(%),2022-09-30,-0.063,백만원
영업이익,실리콘,YoY(%),2022-09-30,-0.058,백만원
영업이익,건자재,영업이익,2022-09-30,29974,백만원
영업이익,건자재,영업이익률(%),2022-09-30,0.011,백만원
영업이익,건자재,QoQ(%),2022-09-30,-0.021,백만원
영업이익,건자재,YoY(%),2022-09-30,0.05,백만원
영업이익,도료,영업이익,2022-09-30,21563,백만원
영업이익,도료,영업이익률(%),2022-09-30,0.006,백만원
영업이익,도료,QoQ(%),2022-09-30,0.008,백만원
영업이익,도료,YoY(%),2022-09-30,0.099,백만원
영업이익,기타,영업이익,2022-09-30,3264,백만원
영업이익,기타,영업이익률(%),2022-09-30,0.003,백만원
영업이익,기타,QoQ(%),2022-09-30,-0.041,백만원
영업이익,기타,YoY(%),2022-09-30,-0.012,백만원
당기순이익,전사(공통),당기순이익 (총계),2022-09-30,-265341,백만원
당기순이익,전사(공통),당기순익률(%),2022-09-30,-0.015,백만원
당기순이익,전사(공통),QoQ(%),2022-09-30,-0.246,백만원
당기순이익,전사(공통),YoY(%),2022-09-30,적자지속,백만원
당기순이익,전사(공통),지배순이익,2022-09-30,-268009,백만원
매출액,전사(공통),매출액 (총계),2022-12-31,1641208,백만원
매출액,전사(공통),QoQ(%),2022-12-31,-0.006,백만원
매출액,전사(공통),YoY(%),2022-12-31,0.009,백만원
매출액,실리콘,실리콘,2022-12-31,827835,백만원
매출액,건자재,건자재,2022-12-31,303182,백만원
매출액,도료,도료,2022-12-31,374739,백만원
매출액,기타,기타,2022-12-31,135452,백만원
