계정과목,기간,연도,분기,기간표준,금액,단위,search_tag
미수법인세환급액,4Q24,2024,Q4,2024 Q4,1870,백만원,2024Q4|미수법인세환급액
재고자산,4Q24,2024,Q4,2024 Q4,1583236,백만원,2024Q4|재고자산
비유동자산,4Q24,2024,Q4,2024 Q4,9114062,백만원,2024Q4|비유동자산
장기매출채권,4Q24,2024,Q4,2024 Q4,492,백만원,2024Q4|장기매출채권
장기기타채권,4Q24,2024,Q4,2024 Q4,84824,백만원,2024Q4|장기기타채권
장기선급금,4Q24,2024,Q4,2024 Q4,2191,백만원,2024Q4|장기선급금
장기선급비용,4Q24,2024,Q4,2024 Q4,7165,백만원,2024Q4|장기선급비용
기타비유동금융자산,4Q24,2024,Q4,2024 Q4,2767067,백만원,2024Q4|기타비유동금융자산
지분법적용 투자지분,4Q24,2024,Q4,2024 Q4,335788,백만원,2024Q4|지분법적용 투자지분
사용권자산,4Q24,2024,Q4,2024 Q4,204204,백만원,2024Q4|사용권자산
유형자산,4Q24,2024,Q4,2024 Q4,3525478,백만원,2024Q4|유형자산
무형자산,4Q24,2024,Q4,2024 Q4,394699,백만원,2024Q4|무형자산
영업권,4Q24,2024,Q4,2024 Q4,1012560,백만원,2024Q4|영업권
투자부동산,4Q24,2024,Q4,2024 Q4,751491,백만원,2024Q4|투자부동산
이연법인세자산,4Q24,2024,Q4,2024 Q4,18341,백만원,2024Q4|이연법인세자산
순확정급여자산,4Q24,2024,Q4,2024 Q4,9760,백만원,2024Q4|순확정급여자산
자산총계,4Q24,2024,Q4,2024 Q4,13108550,백만원,2024Q4|자산총계
유동부채,4Q24,2024,Q4,2024 Q4,3230859,백만원,2024Q4|유동부채
매입채무,4Q24,2024,Q4,2024 Q4,770281,백만원,2024Q4|매입채무
단기차입금,4Q24,2024,Q4,2024 Q4,910081,백만원,2024Q4|단기차입금
유동성장기차입금,4Q24,2024,Q4,2024 Q4,150081,백만원,2024Q4|유동성장기차입금
유동성사채,4Q24,2024,Q4,2024 Q4,319910,백만원,2024Q4|유동성사채
기타부채,4Q24,2024,Q4,2024 Q4,817906,백만원,2024Q4|기타부채
유동충당부채,4Q24,2024,Q4,2024 Q4,32737,백만원,2024Q4|유동충당부채
미지급법인세,4Q24,2024,Q4,2024 Q4,229863,백만원,2024Q4|미지급법인세
비유동부채,4Q24,2024,Q4,2024 Q4,4838375,백만원,2024Q4|비유동부채
장기차입금,4Q24,2024,Q4,2024 Q4,2499422,백만원,2024Q4|장기차입금
비유동사채,4Q24,2024,Q4,2024 Q4,1307469,백만원,2024Q4|비유동사채
기타부채,4Q24,2024,Q4,2024 Q4,210024,백만원,2024Q4|기타부채
순확정급여부채,4Q24,2024,Q4,2024 Q4,304997,백만원,2024Q4|순확정급여부채
기타장기종업원급여부채,4Q24,2024,Q4,2024 Q4,61280,백만원,2024Q4|기타장기종업원급여부채
비유동충당부채,4Q24,2024,Q4,2024 Q4,24331,백만원,2024Q4|비유동충당부채
이연법인세부채,4Q24,2024,Q4,2024 Q4,430852,백만원,2024Q4|이연법인세부채
부채총계,4Q24,2024,Q4,2024 Q4,8069235,백만원,2024Q4|부채총계
지배기업소유지분,4Q24,2024,Q4,2024 Q4,5039315,백만원,2024Q4|지배기업소유지분
자본금,4Q24,2024,Q4,2024 Q4,48085,백만원,2024Q4|자본금
자본잉여금,4Q24,2024,Q4,2024 Q4,349759,백만원,2024Q4|자본잉여금
자본조정,4Q24,2024,Q4,2024 Q4,-504350,백만원,2024Q4|자본조정
기타포괄손익누계액,4Q24,2024,Q4,2024 Q4,-20215,백만원,2024Q4|기타포괄손익누계액
이익잉여금,4Q24,2024,Q4,2024 Q4,5166037,백만원,2024Q4|이익잉여금
자본총계,4Q24,2024,Q4,2024 Q4,5039315,백만원,2024Q4|자본총계
부채 및 자본총계,4Q24,2024,Q4,2024 Q4,13108550,백만원,2024Q4|부채 및 자본총계
유동자산,1Q25,2025,Q1,2025 Q1,4495685,백만원,2025Q1|유동자산
현금및현금성자산,1Q25,2025,Q1,2025 Q1,906545,백만원,2025Q1|현금및현금성자산
단기금융상품,1Q25,2025,Q1,2025 Q1,531205,백만원,2025Q1|단기금융상품
매출채권,1Q25,2025,Q1,2025 Q1,1215685,백만원,2025Q1|매출채권
기타채권,1Q25,2025,Q1,2025 Q1,179968,백만원,2025Q1|기타채권
선급금,1Q25,2025,Q1,2025 Q1,15381,백만원,2025Q1|선급금
선급비용,1Q25,2025,Q1,2025 Q1,40337,백만원,2025Q1|선급비용
기타유동금융자산,1Q25,2025,Q1,2025 Q1,3309,백만원,2025Q1|기타유동금융자산
미수법인세환급액,1Q25,2025,Q1,2025 Q1,1931,백만원,2025Q1|미수법인세환급액
재고자산,1Q25,2025,Q1,2025 Q1,1601323,백만원,2025Q1|재고자산
비유동자산,1Q25,2025,Q1,2025 Q1,10570486,백만원,2025Q1|비유동자산
장기매출채권,1Q25,2025,Q1,2025 Q1,456,백만원,2025Q1|장기매출채권
장기기타채권,1Q25,2025,Q1,2025 Q1,85026,백만원,2025Q1|장기기타채권
장기선급금,1Q25,2025,Q1,2025 Q1,2212,백만원,2025Q1|장기선급금
장기선급비용,1Q25,2025,Q1,2025 Q1,6424,백만원,2025Q1|장기선급비용
기타비유동금융자산,1Q25,2025,Q1,2025 Q1,2735747,백만원,2025Q1|기타비유동금융자산
지분법적용 투자지분,1Q25,2025,Q1,2025 Q1,400440,백만원,2025Q1|지분법적용 투자지분
사용권자산,1Q25,2025,Q1,2025 Q1,294427,백만원,2025Q1|사용권자산
유형자산,1Q25,2025,Q1,2025 Q1,4564881,백만원,2025Q1|유형자산
무형자산,1Q25,2025,Q1,2025 Q1,391671,백만원,2025Q1|무형자산
영업권,1Q25,2025,Q1,2025 Q1,1010848,백만원,2025Q1|영업권
투자부동산,1Q25,2025,Q1,2025 Q1,1047444,백만원,2025Q1|투자부동산
이연법인세자산,1Q25,2025,Q1,2025 Q1,27243,백만원,2025Q1|이연법인세자산
순확정급여자산,1Q25,2025,Q1,2025 Q1,3667,백만원,2025Q1|순확정급여자산
자산총계,1Q25,2025,Q1,2025 Q1,15066171,백만원,2025Q1|자산총계
유동부채,1Q25,2025,Q1,2025 Q1,3287556,백만원,2025Q1|유동부채
매입채무,1Q25,2025,Q1,2025 Q1,726304,백만원,2025Q1|매입채무
단기차입금,1Q25,2025,Q1,2025 Q1,1008542,백만원,2025Q1|단기차입금
유동성장기차입금,1Q25,2025,Q1,2025 Q1,12465,백만원,2025Q1|유동성장기차입금
유동성사채,1Q25,2025,Q1,2025 Q1,464798,백만원,2025Q1|유동성사채
기타부채,1Q25,2025,Q1,2025 Q1,845878,백만원,2025Q1|기타부채
유동충당부채,1Q25,2025,Q1,2025 Q1,32723,백만원,2025Q1|유동충당부채
미지급법인세,1Q25,2025,Q1,2025 Q1,196846,백만원,2025Q1|미지급법인세
비유동부채,1Q25,2025,Q1,2025 Q1,5518378,백만원,2025Q1|비유동부채
장기차입금,1Q25,2025,Q1,2025 Q1,2594515,백만원,2025Q1|장기차입금
비유동사채,1Q25,2025,Q1,2025 Q1,1561827,백만원,2025Q1|비유동사채
기타부채,1Q25,2025,Q1,2025 Q1,227637,백만원,2025Q1|기타부채
순확정급여부채,1Q25,2025,Q1,2025 Q1,310642,백만원,2025Q1|순확정급여부채
기타장기종업원급여부채,1Q25,2025,Q1,2025 Q1,60645,백만원,2025Q1|기타장기종업원급여부채
비유동충당부채,1Q25,2025,Q1,2025 Q1,25674,백만원,2025Q1|비유동충당부채
이연법인세부채,1Q25,2025,Q1,2025 Q1,737438,백만원,2025Q1|이연법인세부채
부채총계,1Q25,2025,Q1,2025 Q1,8805934,백만원,2025Q1|부채총계
지배기업소유지분,1Q25,2025,Q1,2025 Q1,6260236,백만원,2025Q1|지배기업소유지분
자본금,1Q25,2025,Q1,2025 Q1,48085,백만원,2025Q1|자본금
자본잉여금,1Q25,2025,Q1,2025 Q1,349759,백만원,2025Q1|자본잉여금
자본조정,1Q25,2025,Q1,2025 Q1,-504350,백만원,2025Q1|자본조정
기타포괄손익누계액,1Q25,2025,Q1,2025 Q1,995116,백만원,2025Q1|기타포괄손익누계액
이익잉여금,1Q25,2025,Q1,2025 Q1,5371627,백만원,2025Q1|이익잉여금
자본총계,1Q25,2025,Q1,2025 Q1,6260236,백만원,2025Q1|자본총계
부채 및 자본총계,1Q25,2025,Q1,2025 Q1,15066171,백만원,2025Q1|부채 및 자본총계
유동자산,2Q25,2025,Q2,2025 Q2,4012252,백만원,2025Q2|유동자산
현금및현금성자산,2Q25,2025,Q2,2025 Q2,781685,백만원,2025Q2|현금및현금성자산
단기금융상품,2Q25,2025,Q2,2025 Q2,374099,백만원,2025Q2|단기금융상품
매출채권,2Q25,2025,Q2,2025 Q2,1192693,백만원,2025Q2|매출채권
기타채권,2Q25,2025,Q2,2025 Q2,99303,백만원,2025Q2|기타채권
선급금,2Q25,2025,Q2,2025 Q2,14395,백만원,2025Q2|선급금
선급비용,2Q25,2025,Q2,2025 Q2,32751,백만원,2025Q2|선급비용
기타유동금융자산,2Q25,2025,Q2,2025 Q2,2839,백만원,2025Q2|기타유동금융자산
미수법인세환급액,2Q25,2025,Q2,2025 Q2,1469,백만원,2025Q2|미수법인세환급액
재고자산,2Q25,2025,Q2,2025 Q2,1513020,백만원,2025Q2|재고자산
비유동자산,2Q25,2025,Q2,2025 Q2,11577430,백만원,2025Q2|비유동자산
장기매출채권,2Q25,2025,Q2,2025 Q2,413,백만원,2025Q2|장기매출채권
장기기타채권,2Q25,2025,Q2,2025 Q2,84538,백만원,2025Q2|장기기타채권
장기선급금,2Q25,2025,Q2,2025 Q2,2478,백만원,2025Q2|장기선급금
장기선급비용,2Q25,2025,Q2,2025 Q2,5900,백만원,2025Q2|장기선급비용
기타비유동금융자산,2Q25,2025,Q2,2025 Q2,3989059,백만원,2025Q2|기타비유동금융자산
지분법적용 투자지분,2Q25,2025,Q2,2025 Q2,410757,백만원,2025Q2|지분법적용 투자지분
사용권자산,2Q25,2025,Q2,2025 Q2,276520,백만원,2025Q2|사용권자산
유형자산,2Q25,2025,Q2,2025 Q2,4461512,백만원,2025Q2|유형자산
무형자산,2Q25,2025,Q2,2025 Q2,363980,백만원,2025Q2|무형자산
영업권,2Q25,2025,Q2,2025 Q2,936240,백만원,2025Q2|영업권
투자부동산,2Q25,2025,Q2,2025 Q2,1018522,백만원,2025Q2|투자부동산
이연법인세자산,2Q25,2025,Q2,2025 Q2,27512,백만원,2025Q2|이연법인세자산
자산총계,2Q25,2025,Q2,2025 Q2,15589682,백만원,2025Q2|자산총계
유동부채,2Q25,2025,Q2,2025 Q2,3073266,백만원,2025Q2|유동부채
매입채무,2Q25,2025,Q2,2025 Q2,713030,백만원,2025Q2|매입채무
단기차입금,2Q25,2025,Q2,2025 Q2,976435,백만원,2025Q2|단기차입금
유동성장기차입금,2Q25,2025,Q2,2025 Q2,11529,백만원,2025Q2|유동성장기차입금
유동성사채,2Q25,2025,Q2,2025 Q2,469646,백만원,2025Q2|유동성사채
기타부채,2Q25,2025,Q2,2025 Q2,752420,백만원,2025Q2|기타부채
유동충당부채,2Q25,2025,Q2,2025 Q2,19600,백만원,2025Q2|유동충당부채
미지급법인세,2Q25,2025,Q2,2025 Q2,130607,백만원,2025Q2|미지급법인세
비유동부채,2Q25,2025,Q2,2025 Q2,5447175,백만원,2025Q2|비유동부채
장기차입금,2Q25,2025,Q2,2025 Q2,2480885,백만원,2025Q2|장기차입금
비유동사채,2Q25,2025,Q2,2025 Q2,1287384,백만원,2025Q2|비유동사채
기타부채,2Q25,2025,Q2,2025 Q2,206514,백만원,2025Q2|기타부채
순확정급여부채,2Q25,2025,Q2,2025 Q2,310930,백만원,2025Q2|순확정급여부채
기타장기종업원급여부채,2Q25,2025,Q2,2025 Q2,56459,백만원,2025Q2|기타장기종업원급여부채
비유동충당부채,2Q25,2025,Q2,2025 Q2,23375,백만원,2025Q2|비유동충당부채
이연법인세부채,2Q25,2025,Q2,2025 Q2,1081629,백만원,2025Q2|이연법인세부채
부채총계,2Q25,2025,Q2,2025 Q2,8520441,백만원,2025Q2|부채총계
지배기업소유지분,2Q25,2025,Q2,2025 Q2,7069241,백만원,2025Q2|지배기업소유지분
자본금,2Q25,2025,Q2,2025 Q2,48085,백만원,2025Q2|자본금
자본잉여금,2Q25,2025,Q2,2025 Q2,349759,백만원,2025Q2|자본잉여금
자본조정,2Q25,2025,Q2,2025 Q2,-504350,백만원,2025Q2|자본조정
기타포괄손익누계액,2Q25,2025,Q2,2025 Q2,910875,백만원,2025Q2|기타포괄손익누계액
이익잉여금,2Q25,2025,Q2,2025 Q2,6264873,백만원,2025Q2|이익잉여금
자본총계,2Q25,2025,Q2,2025 Q2,7069241,백만원,2025Q2|자본총계
부채 및 자본총계,2Q25,2025,Q2,2025 Q2,15589682,백만원,2025Q2|부채 및 자본총계
유동자산,3Q25,2025,Q3,2025 Q3,4018869,백만원,2025Q3|유동자산
현금및현금성자산,3Q25,2025,Q3,2025 Q3,915208,백만원,2025Q3|현금및현금성자산
단기금융상품,3Q25,2025,Q3,2025 Q3,216899,백만원,2025Q3|단기금융상품
매출채권,3Q25,2025,Q3,2025 Q3,1207093,백만원,2025Q3|매출채권
기타채권,3Q25,2025,Q3,2025 Q3,109070,백만원,2025Q3|기타채권
선급금,3Q25,2025,Q3,2025 Q3,15964,백만원,2025Q3|선급금
선급비용,3Q25,2025,Q3,2025 Q3,42245,백만원,2025Q3|선급비용
기타유동금융자산,3Q25,2025,Q3,2025 Q3,1446,백만원,2025Q3|기타유동금융자산
미수법인세환급액,3Q25,2025,Q3,2025 Q3,2717,백만원,2025Q3|미수법인세환급액
재고자산,3Q25,2025,Q3,2025 Q3,1508228,백만원,2025Q3|재고자산
비유동자산,3Q25,2025,Q3,2025 Q3,12193006,백만원,2025Q3|비유동자산
장기매출채권,3Q25,2025,Q3,2025 Q3,692,백만원,2025Q3|장기매출채권
장기기타채권,3Q25,2025,Q3,2025 Q3,85721,백만원,2025Q3|장기기타채권
장기선급금,3Q25,2025,Q3,2025 Q3,2297,백만원,2025Q3|장기선급금
장기선급비용,3Q25,2025,Q3,2025 Q3,5589,백만원,2025Q3|장기선급비용
기타비유동금융자산,3Q25,2025,Q3,2025 Q3,4530147,백만원,2025Q3|기타비유동금융자산
지분법적용 투자지분,3Q25,2025,Q3,2025 Q3,418895,백만원,2025Q3|지분법적용 투자지분
사용권자산,3Q25,2025,Q3,2025 Q3,279246,백만원,2025Q3|사용권자산
유형자산,3Q25,2025,Q3,2025 Q3,4476937,백만원,2025Q3|유형자산
무형자산,3Q25,2025,Q3,2025 Q3,366392,백만원,2025Q3|무형자산
영업권,3Q25,2025,Q3,2025 Q3,967668,백만원,2025Q3|영업권
투자부동산,3Q25,2025,Q3,2025 Q3,1037582,백만원,2025Q3|투자부동산
이연법인세자산,3Q25,2025,Q3,2025 Q3,21839,백만원,2025Q3|이연법인세자산
자산총계,3Q25,2025,Q3,2025 Q3,16211875,백만원,2025Q3|자산총계
유동부채,3Q25,2025,Q3,2025 Q3,4085188,백만원,2025Q3|유동부채
매입채무,3Q25,2025,Q3,2025 Q3,670278,백만원,2025Q3|매입채무
단기차입금,3Q25,2025,Q3,2025 Q3,995194,백만원,2025Q3|단기차입금
유동성장기차입금,3Q25,2025,Q3,2025 Q3,11919,백만원,2025Q3|유동성장기차입금
유동성사채,3Q25,2025,Q3,2025 Q3,1170381,백만원,2025Q3|유동성사채
기타부채,3Q25,2025,Q3,2025 Q3,787321,백만원,2025Q3|기타부채
기타유동금융부채,3Q25,2025,Q3,2025 Q3,299131,백만원,2025Q3|기타유동금융부채
유동충당부채,3Q25,2025,Q3,2025 Q3,19845,백만원,2025Q3|유동충당부채
미지급법인세,3Q25,2025,Q3,2025 Q3,131119,백만원,2025Q3|미지급법인세
비유동부채,3Q25,2025,Q3,2025 Q3,4675941,백만원,2025Q3|비유동부채
장기차입금,3Q25,2025,Q3,2025 Q3,1594350,백만원,2025Q3|장기차입금
비유동사채,3Q25,2025,Q3,2025 Q3,1287653,백만원,2025Q3|비유동사채
기타부채,3Q25,2025,Q3,2025 Q3,207993,백만원,2025Q3|기타부채
순확정급여부채,3Q25,2025,Q3,2025 Q3,325514,백만원,2025Q3|순확정급여부채
기타장기종업원급여부채,3Q25,2025,Q3,2025 Q3,57648,백만원,2025Q3|기타장기종업원급여부채
비유동충당부채,3Q25,2025,Q3,2025 Q3,23857,백만원,2025Q3|비유동충당부채
이연법인세부채,3Q25,2025,Q3,2025 Q3,1178925,백만원,2025Q3|이연법인세부채
부채총계,3Q25,2025,Q3,2025 Q3,8761129,백만원,2025Q3|부채총계
지배기업소유지분,3Q25,2025,Q3,2025 Q3,7450746,백만원,2025Q3|지배기업소유지분
자본금,3Q25,2025,Q3,2025 Q3,48085,백만원,2025Q3|자본금
자본잉여금,3Q25,2025,Q3,2025 Q3,349759,백만원,2025Q3|자본잉여금
자본조정,3Q25,2025,Q3,2025 Q3,-504350,백만원,2025Q3|자본조정
기타포괄손익누계액,3Q25,2025,Q3,2025 Q3,971447,백만원,2025Q3|기타포괄손익누계액
이익잉여금,3Q25,2025,Q3,2025 Q3,6585806,백만원,2025Q3|이익잉여금
자본총계,3Q25,2025,Q3,2025 Q3,7450746,백만원,2025Q3|자본총계
부채 및 자본총계,3Q25,2025,Q3,2025 Q3,16211875,백만원,2025Q3|부채 및 자본총계
유동자산,4Q25,2025,Q4,2025 Q4,3982830,백만원,2025Q4|유동자산
현금및현금성자산,4Q25,2025,Q4,2025 Q4,1193612,백만원,2025Q4|현금및현금성자산
단기금융상품,4Q25,2025,Q4,2025 Q4,36839,백만원,2025Q4|단기금융상품
매출채권,4Q25,2025,Q4,2025 Q4,1066885,백만원,2025Q4|매출채권
기타채권,4Q25,2025,Q4,2025 Q4,84639,백만원,2025Q4|기타채권
선급금,4Q25,2025,Q4,2025 Q4,20684,백만원,2025Q4|선급금
선급비용,4Q25,2025,Q4,2025 Q4,47205,백만원,2025Q4|선급비용
기타유동금융자산,4Q25,2025,Q4,2025 Q4,97,백만원,2025Q4|기타유동금융자산
미수법인세환급액,4Q25,2025,Q4,2025 Q4,2883,백만원,2025Q4|미수법인세환급액
재고자산,4Q25,2025,Q4,2025 Q4,1529986,백만원,2025Q4|재고자산
비유동자산,4Q25,2025,Q4,2025 Q4,12820730,백만원,2025Q4|비유동자산
장기매출채권,4Q25,2025,Q4,2025 Q4,849,백만원,2025Q4|장기매출채권
장기기타채권,4Q25,2025,Q4,2025 Q4,48289,백만원,2025Q4|장기기타채권
장기선급금,4Q25,2025,Q4,2025 Q4,2320,백만원,2025Q4|장기선급금
장기선급비용,4Q25,2025,Q4,2025 Q4,5224,백만원,2025Q4|장기선급비용
기타비유동금융자산,4Q25,2025,Q4,2025 Q4,5459062,백만원,2025Q4|기타비유동금융자산
지분법적용 투자지분,4Q25,2025,Q4,2025 Q4,465098,백만원,2025Q4|지분법적용 투자지분
사용권자산,4Q25,2025,Q4,2025 Q4,288758,백만원,2025Q4|사용권자산
유형자산,4Q25,2025,Q4,2025 Q4,4324029,백만원,2025Q4|유형자산
무형자산,4Q25,2025,Q4,2025 Q4,335304,백만원,2025Q4|무형자산
영업권,4Q25,2025,Q4,2025 Q4,832267,백만원,2025Q4|영업권
투자부동산,4Q25,2025,Q4,2025 Q4,1030192,백만원,2025Q4|투자부동산
이연법인세자산,4Q25,2025,Q4,2025 Q4,17292,백만원,2025Q4|이연법인세자산
순확정급여자산,4Q25,2025,Q4,2025 Q4,12047,백만원,2025Q4|순확정급여자산
자산총계,4Q25,2025,Q4,2025 Q4,16803559,백만원,2025Q4|자산총계
유동부채,4Q25,2025,Q4,2025 Q4,3982446,백만원,2025Q4|유동부채
매입채무,4Q25,2025,Q4,2025 Q4,679464,백만원,2025Q4|매입채무
단기차입금,4Q25,2025,Q4,2025 Q4,758686,백만원,2025Q4|단기차입금
유동성사채,4Q25,2025,Q4,2025 Q4,1313396,백만원,2025Q4|유동성사채
기타부채,4Q25,2025,Q4,2025 Q4,785230,백만원,2025Q4|기타부채
기타유동금융부채,4Q25,2025,Q4,2025 Q4,275329,백만원,2025Q4|기타유동금융부채
유동충당부채,4Q25,2025,Q4,2025 Q4,14106,백만원,2025Q4|유동충당부채
미지급법인세,4Q25,2025,Q4,2025 Q4,156235,백만원,2025Q4|미지급법인세
비유동부채,4Q25,2025,Q4,2025 Q4,4996627,백만원,2025Q4|비유동부채
장기차입금,4Q25,2025,Q4,2025 Q4,840861,백만원,2025Q4|장기차입금
비유동사채,4Q25,2025,Q4,2025 Q4,2097836,백만원,2025Q4|비유동사채
기타부채,4Q25,2025,Q4,2025 Q4,262319,백만원,2025Q4|기타부채
기타비유동금융부채,4Q25,2025,Q4,2025 Q4,11164,백만원,2025Q4|기타비유동금융부채
순확정급여부채,4Q25,2025,Q4,2025 Q4,287082,백만원,2025Q4|순확정급여부채
기타장기종업원급여부채,4Q25,2025,Q4,2025 Q4,62228,백만원,2025Q4|기타장기종업원급여부채
비유동충당부채,4Q25,2025,Q4,2025 Q4,24881,백만원,2025Q4|비유동충당부채
이연법인세부채,4Q25,2025,Q4,2025 Q4,1410256,백만원,2025Q4|이연법인세부채
부채총계,4Q25,2025,Q4,2025 Q4,8979074,백만원,2025Q4|부채총계
지배기업소유지분,4Q25,2025,Q4,2025 Q4,7824486,백만원,2025Q4|지배기업소유지분
자본금,4Q25,2025,Q4,2025 Q4,48085,백만원,2025Q4|자본금
자본잉여금,4Q25,2025,Q4,2025 Q4,349759,백만원,2025Q4|자본잉여금
자본조정,4Q25,2025,Q4,2025 Q4,-504350,백만원,2025Q4|자본조정
기타포괄손익누계액,4Q25,2025,Q4,2025 Q4,1004614,백만원,2025Q4|기타포괄손익누계액
이익잉여금,4Q25,2025,Q4,2025 Q4,6926378,백만원,2025Q4|이익잉여금
자본총계,4Q25,2025,Q4,2025 Q4,7824486,백만원,2025Q4|자본총계
부채 및 자본총계,4Q25,2025,Q4,2025 Q4,16803559,백만원,2025Q4|부채 및 자본총계
