,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
누적 기준,제출시점 기준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
07-02,   금융원가,"81,035,412,605 ","83,318,296,419 ","97,512,326,470 ","433,322,218,343 ","56,044,208,938 ","283,803,698,113 ","151,963,901,007 ","568,549,752,625 ","77,098,904,332 ","291,705,909,525 ","427,676,870,387 ","196,838,540,258 ","691,533,258,762 ","377,543,079,443 ","516,870,872,968 ","444,379,795,033 ","327,698,353,838 ","181,166,945,820 ","491,892,155,189 ","694,277,262,656 ","250,079,269,317 ","279,676,102,657 ","697,256,093,857 ","671,914,286,326 ","231,215,955,861 ","434,675,636,581 ","520,189,454,782 ","554,248,708,442 ","133,758,481,217 ","268,623,169,213 ","380,293,820,684 ","769,832,798,478 ","230,105,292,238 ","353,277,461,522 ","529,223,826,478 "
08,기타영업외손익,"-2,928,374,988 ","-2,879,248,597 ","-8,840,717,236 ","-83,689,300,228 ","-1,100,491,897 ","-1,578,347,443 ","-2,812,466,728 ","-21,088,152,485 ","-7,311,813,306 ","-5,975,735,724 ","-8,566,833,919 ","-75,273,332,977 ","105,767,156,290 ","78,161,543,218 ","157,266,799,497 ","234,442,383,016 ","22,543,771,612 ","21,883,560,767 ","14,573,138,898 ","-94,369,746,072 ","1,084,844,903 ","-13,896,673,647 ","-16,434,155,162 ","-77,579,045,467 ","3,451,362,378 ","-7,532,721,855 ","-7,125,073,580 ","-36,881,595,747 ","-257,938,680 ","-1,355,301,451 ","-1,888,546,464 ","-13,124,086,032 ","16,521,803,816 ","10,842,257,218 ","8,890,965,122 "
08-01,   기타이익,"8,196,496,619 ","17,985,009,330 ","28,395,436,423 ","39,700,520,552 ","9,418,785,787 ","17,626,046,109 ","26,144,285,423 ","36,879,621,873 ","6,100,743,426 ","23,728,499,480 ","32,023,675,284 ","86,726,847,300 ","115,016,315,388 ","127,823,336,914 ","220,910,449,643 ","360,913,886,444 ","41,094,851,851 ","59,472,820,195 ","66,836,927,823 ","79,007,973,234 ","25,510,563,834 ","34,878,331,962 ","48,065,771,014 ","62,670,235,047 ","30,735,664,921 ","45,537,618,983 ","56,099,731,646 ","63,475,562,408 ","9,612,598,306 ","21,299,944,618 ","30,502,775,161 ","42,801,762,099 ","44,443,332,797 ","56,358,541,666 ","66,417,793,246 "
08-02,   기타손실,"11,124,871,607 ","20,864,257,927 ","37,236,153,659 ","123,389,820,780 ","10,519,277,684 ","19,204,393,552 ","28,956,752,151 ","57,967,774,358 ","13,412,556,732 ","29,704,235,204 ","40,590,509,203 ","162,000,180,277 ","9,249,159,098 ","49,661,793,696 ","63,643,650,146 ","126,471,503,428 ","18,551,080,239 ","37,589,259,428 ","52,263,788,925 ","173,377,719,306 ","24,425,718,931 ","48,775,005,609 ","64,499,926,176 ","140,249,280,514 ","27,284,302,543 ","53,070,340,838 ","63,224,805,226 ","100,357,158,155 ","9,870,536,986 ","22,655,246,069 ","32,391,321,625 ","55,925,848,131 ","27,921,528,981 ","45,516,284,448 ","57,526,828,124 "
09,법인세비용차감전이익,"44,710,135,092 ","142,096,187,946 ","242,261,995,535 ","93,863,403,689 ","505,089,134,788 ","72,802,172,127 ","502,883,495,153 ","-12,294,416,288 ","50,447,714,334 ","-109,867,712,423 ","-218,406,461,098 ","-195,544,422,094 ","-424,594,206,732 ","73,999,117,094 ","-65,831,891,226 ","694,121,342,299 ","64,487,079,367 ","622,183,804,226 ","341,935,157,229 ","112,853,736,080 ","84,835,796,336 ","364,536,454,194 ","61,407,627,928 ","111,953,952,629 ","28,085,267,844 ","146,448,741,328 ","211,416,828,788 ","244,435,778,856 ","627,061,663,244 ","634,388,415,343 ","627,287,845,097 ","469,868,644,693 ","75,395,420,887 ","1,342,164,053,469 ","1,821,552,833,538 "
10,법인세비용(수익),"10,596,030,130 ","37,945,478,917 ","66,381,921,912 ","51,563,770,123 ","128,774,208,372 ","31,844,337,906 ","143,071,181,460 ","10,809,137,076 ","17,217,749,080 ","-16,600,475,739 ","-30,538,373,999 ","30,354,474,743 ","-107,552,591,219 ","42,659,997,542 ","28,680,526,165 ","180,042,564,495 ","34,055,941,723 ","210,833,602,043 ","162,965,226,157 ","166,064,904,559 ","52,638,494,579 ","150,139,821,801 ","112,352,342,975 ","83,292,295,663 ","43,537,280,930 ","94,576,871,266 ","148,306,993,928 ","151,933,153,754 ","172,150,731,498 ","212,318,365,706 ","247,525,448,822 ","176,574,132,226 ","31,345,333,788 ","404,843,251,027 ","557,893,566,927 "
11,당기순손익,"34,114,104,962 ","104,150,709,029 ","175,880,073,623 ","42,299,633,566 ","376,314,926,416 ","40,957,834,221 ","359,812,313,693 ","-23,103,553,364 ","33,229,965,254 ","-93,267,236,684 ","-187,868,087,099 ","-221,877,261,778 ","-270,247,362,636 ","78,133,372,429 ","-47,718,164,514 ","560,873,030,681 ","30,431,137,644 ","411,350,202,183 ","178,969,931,072 ","-53,211,168,479 ","32,197,301,757 ","214,396,632,393 ","-50,944,715,047 ","28,661,656,966 ","-15,452,013,086 ","51,871,870,062 ","63,109,834,860 ","92,502,625,102 ","454,910,931,746 ","422,070,049,637 ","379,762,396,275 ","293,294,512,467 ","44,050,087,099 ","937,320,802,442 ","1,263,659,266,611 "
11-01,계속영업당기순손익,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"-23,574,426,718 ",0 ,0 ,0 ,"-225,898,896,837 ","-317,041,615,513 ","31,339,119,552 ","-94,512,417,391 ","514,078,777,804 ","30,431,137,644 ","411,350,202,183 ","178,969,931,072 ","-53,211,168,479 ",0 ,0 ,0 ,"28,661,656,966 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
11-02,중단영업당기순손익,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"470,873,354 ",0 ,0 ,0 ,"4,021,635,059 ","46,794,252,877 ","46,794,252,877 ","46,794,252,877 ","46,794,252,877 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
12,기타포괄손익,"64,568,646,543 ","579,442,583,549 ","328,695,966,709 ","-45,651,725,065 ","17,784,095,628 ","13,855,616,414 ","-16,651,707,947 ","-12,683,458,083 ","19,382,514,832 ","11,316,365,648 ","26,744,292,004 ","-20,364,034,528 ","-8,538,075,142 ","-36,403,405,409 ","-51,397,280,876 ","-151,766,312,490 ","98,342,491,740 ","111,292,680,148 ","189,786,648,808 ","277,894,514,438 ","76,743,760,146 ","121,948,162,689 ","251,510,825,227 ","299,606,998,951 ","49,445,044,601 ","-25,836,615,429 ","-58,234,935,694 ","-137,278,352,921 ","-9,150,785,999 ","-70,406,953,045 ","-18,106,236,738 ","-3,676,417,519 ","1,016,411,038,647 ","932,145,100,587 ","994,666,215,110 "
