,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
01-02-04,배당금수익,"-14,797,730,200 ","-14,897,730,200 ","-14,897,730,200 "," 14,897,730,200 "," 42,248,138,300 "," 43,101,425,637 "," 43,101,425,637 "," 43,101,425,637 "," 42,099,072,950 "," 42,099,072,950 "," 42,099,995,950 "," 42,099,995,950 "," 38,416,373,660 "," 38,416,373,660 "," 38,416,373,660 "," 55,456,630,713 "," 45,735,134,310 "," 45,735,176,170 "," 46,308,043,170 "," 46,398,264,210 "," 77,662,874,710 "," 77,806,866,798 "," 78,419,432,870 "," 78,419,432,870 "," 45,126,834,400 "," 45,126,834,400 "," 45,585,312,600 ","-45,585,312,600 "," 121,690,170,417 "," 199,487,393,252 "," 199,945,871,452 "," 199,945,871,452 "," 64,352,002,400 "," 64,352,002,400 "," 73,568,452,668 "
01-02-05,금융보증비용, - , - , - ," 162,195,596,876 ", - , - , - ," 3,643,328,850 ", - , - , - , - ," 17,787,346,425 "," 29,564,731,640 "," 30,438,397,903 "," 29,529,096,832 "," 1,438,494,246 "," 2,862,442,550 "," 4,538,778,409 "," 6,097,039,541 "," 1,598,461,836 "," 4,373,367,419 "," 7,331,480,778 "," 7,536,864,629 "," 341,521,283 "," 693,948,706 "," 1,072,890,854 "," 1,373,619,740 "," 357,067,656 "," 738,751,554 "," 1,056,624,834 "," 1,570,292,220 "," 384,901,990 "," 717,701,081 "," 1,118,686,378 "
01-02-06,금융보증수익, - , - , - , - , - , - , - , - , - ,"-768,466,182 "," 2,296,065,594 "," 3,811,745,772 "," 1,466,859,391 "," 2,922,273,477 "," 4,366,331,562 "," 5,804,877,737 "," 862,312,054 "," 2,210,538,641 "," 3,648,291,388 "," 5,070,597,988 "," 1,447,932,267 "," 2,962,459,208 "," 4,680,308,968 "," 6,318,019,426 "," 1,172,986,587 "," 2,406,598,236 "," 3,652,332,514 ","-4,892,108,837 "," 1,254,195,955 "," 2,548,459,374 "," 3,865,114,022 "," 4,861,860,391 "," 732,619,787 "," 1,481,006,241 "," 1,621,898,560 "
01-02-07,외화환산손실," 15,662,133,857 "," 2,515,210,784 "," 2,366,804,348 "," 20,380,228,263 "," 2,115,583,976 "," 10,867,382,844 "," 12,812,311,074 "," 12,529,586,920 "," 4,135,135,827 "," 10,115,345,061 "," 16,085,866,111 "," 10,420,407,554 "," 15,590,311,310 "," 13,072,690,367 "," 5,474,680,502 "," 6,403,654,017 "," 11,970,096,447 "," 10,230,897,834 "," 26,098,970,374 "," 24,715,400,822 "," 8,290,268,491 "," 32,537,577,545 "," 77,067,874,207 "," 58,441,371,558 "," 17,686,182,229 "," 22,514,794,756 "," 26,387,265,050 "," 17,091,482,872 "," 15,963,941,233 "," 24,925,829,518 "," 21,989,483,022 "," 41,682,044,974 "," 1,147,441,697 "," 30,348,432,184 "," 19,993,626,696 "
01-02-08,외화환산이익," 27,830,940,918 "," 26,741,118,232 "," 27,027,151,896 "," 40,238,158,373 "," 6,810,495,070 "," 18,463,227,529 "," 4,002,532,056 "," 1,555,572,291 "," 8,031,655,899 "," 5,456,189,661 "," 6,296,456,014 "," 4,169,511,878 "," 14,887,518,527 "," 3,949,530,878 "," 3,567,210,986 "," 14,806,185,163 "," 7,570,049,777 "," 3,849,614,990 "," 8,249,079,133 "," 2,940,189,250 "," 2,539,696,759 "," 6,765,718,198 "," 19,989,397,022 "," 6,315,492,335 "," 9,245,594,432 "," 7,295,184,968 "," 15,787,532,548 "," 2,797,653,058 "," 10,822,961,080 "," 19,349,051,249 "," 3,686,470,880 "," 25,158,638,162 "," 5,285,288,172 "," 21,194,805,083 "," 21,093,696,247 "
01-02-09,통화스왑평가손실," 25,204,535,018 "," 18,433,136,996 "," 15,852,819,103 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-10,통화스왑평가이익,"-4,564,320,916 ","-3,224,905,372 ","-2,567,708,006 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-11,파생상품평가손실," 36,697,647 "," 728,000,018 "," 1,752,280,038 "," 43,471,976,636 "," 6,559,770,939 "," 7,867,856,282 "," 3,509,654,984 "," 6,806,609,792 "," 2,008,364,876 "," 6,825,929,135 "," 11,368,397,529 "," 29,600,717,364 "," 7,377,840,420 "," 6,646,830,500 "," 629,606,650 "," 173,297,276 ", - , - ," 488,425,994 ", - ," 323,785,615 "," 892,519,602 "," 581,166,163 "," 38,504,740,629 "," 2,795,048,158 "," 1,083,531,962 "," 1,325,087,372 "," 113,131,493,043 "," 4,887,012,992 "," 815,408,840 "," 1,272,405,253 "," 1,680,641,442 "," 747,510,157 ", - ," 73,656,401,000 "
01-02-12,파생상품평가이익,"-77,599,884 ","-631,610,257 ","-529,760,303 ","-9,720,169,261 ","-4,433,269,571 "," 3,957,431,112 "," 945,341,485 "," 3,152,695,956 "," 1,488,175,026 "," 5,545,997,604 "," 8,905,478,354 "," 3,714,192,926 "," 46,203,167,655 "," 57,734,077,029 "," 53,031,340,440 "," 43,471,181,686 "," 17,881,496,533 "," 36,726,004,707 "," 52,871,793,226 "," 71,063,090,818 "," 14,833,964,679 "," 26,433,161,947 "," 34,558,454,145 "," 10,219,879,779 "," 28,988,941,184 "," 44,563,277,600 "," 63,443,772,148 ","-13,101,778,412 "," 6,092,540,860 "," 9,047,744,673 "," 6,437,056,326 "," 12,063,752,856 ", - ," 227,476,327 "," 5,442,258,956 "
01-02-13,파생상품거래손실," 325,890,946 "," 523,686,469 "," 655,713,875 "," 793,255,696 "," 29,995,448 "," 137,379,015 "," 2,323,018,688 "," 2,353,155,675 "," 32,191,793 "," 179,455,731 "," 449,113,272 "," 769,126,983 "," 235,048,732 "," 487,728,196 "," 7,270,378,819 "," 7,789,452,801 "," 63,285,742 "," 234,855,620 "," 316,491,158 "," 316,491,158 "," 1,299,629,872 "," 1,877,797,213 "," 2,420,145,758 "," 2,947,535,103 "," 575,002,899 "," 1,117,381,484 "," 1,625,006,469 "," 2,156,788,239 "," 508,135,162 "," 5,575,931,124 "," 6,066,940,996 "," 6,563,806,718 "," 744,623,362 "," 908,583,734 "," 908,583,734 "
