 연결손익계산서 (K-IFRS),,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(단위 : 원),
,,,,,,,,,,,,,,,,,,,,,,(단위: 백만원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(단위 : 원),,,,제 68 기 1분기,,제 68 기 반기,,제 68 기 3분기,,제 68 기
,,2021 ,1Q22,2Q22,3Q22,4Q22,2022 ,1Q23,2Q23,3Q23,4Q23,2023 ,1Q24,2Q24,3Q24,4Q24,2024 ,1Q25,2Q25,3Q25,4Q25,2025 ,QoQ,QoQ(%),YoY,YoY(%),,(단위 : 원),,,,제 66 기 3분기,,제 65 기 3분기,,제 66 기 반기,,제 65 기 반기,,제 66 기 1분기,,제 65 기 1분기,,,,제 67 기 1분기,,제 66 기 1분기,,,제 67 기 반기,,제 66 기 반기,,,제 67 기 3분기,,제 66 기 3분기,,,,제 67 기,,,3개월,,3개월,,3개월,,
,기타영업외손익,"-94,370","1,085","-14,982","-2,537","-61,145","-77,579","3,451","-10,984",408,"-29,757","-36,882",-258,"-1,097",-533,"-11,236","-13,124","16,522","-5,680","-1,951","-355,408","-346,517",,,,,,기타영업외손익,"-36,881,595,747","-77,579,045,467","-94,369,746,072","407,648,275","-7,125,073,580","-2,537,481,515","-16,434,155,162","-10,984,084,233","-7,532,721,855","-14,981,518,550","-13,896,673,647","3,451,362,378","3,451,362,378","1,084,844,903","1,084,844,903",,,"-257,938,680","-257,938,680","3,451,362,378","3,451,362,378",,"-1,097,362,771","-1,355,301,451","-10,984,084,233","-7,532,721,855",,"-533,245,013","-1,888,546,464","407,648,275","-7,125,073,580",,기타영업외손익,"-13,124,086,032",,기타영업외손익,"16,521,803,816",기타영업외손익,"-5,679,546,598",기타영업외손익,"-1,951,292,096",기타영업외손익,"-346,517,045,724"
,　기타이익,"79,008","25,511","9,368","13,187","14,604","62,670","30,736","14,802","10,562","7,376","63,476","9,613","11,687","9,203","12,299","42,802","44,443","11,915","10,059","80,021","146,439",,,,,,　기타이익,"63,475,562,408","62,670,235,047","79,007,973,234","10,562,112,663","56,099,731,646","13,187,439,052","48,065,771,014","14,801,954,062","45,537,618,983","9,367,768,128","34,878,331,962","30,735,664,921","30,735,664,921","25,510,563,834","25,510,563,834",,,"9,612,598,306","9,612,598,306","30,735,664,921","30,735,664,921",,"11,687,346,312","21,299,944,618","14,801,954,062","45,537,618,983",,"9,202,830,543","30,502,775,161","10,562,112,663","56,099,731,646",,　기타이익,"42,801,762,099",,　기타이익,"44,443,332,797",　기타이익,"11,915,208,869",　기타이익,"10,059,251,580",　기타이익,"146,438,975,078"
,　기타손실,"-173,378","-24,426","-24,349","-15,725","-75,749","-140,249","-27,284","-25,786","-10,154","-37,132","-100,357","-9,871","-12,785","-9,736","-23,535","-55,926","-27,922","-17,595","-12,011","-435,429","-492,956",,,,,,　기타손실,"-100,357,158,155","-140,249,280,514","-173,377,719,306","-10,154,464,388","-63,224,805,226","-15,724,920,567","-64,499,926,176","-25,786,038,295","-53,070,340,838","-24,349,286,678","-48,775,005,609","-27,284,302,543","-27,284,302,543","-24,425,718,931","-24,425,718,931",,,"-9,870,536,986","-9,870,536,986","-27,284,302,543","-27,284,302,543",,"-12,784,709,083","-22,655,246,069","-25,786,038,295","-53,070,340,838",,"-9,736,075,556","-32,391,321,625","-10,154,464,388","-63,224,805,226",,　기타손실,"-55,925,848,131",,　기타손실,"-27,921,528,981",　기타손실,"-17,594,755,467",　기타손실,"-12,010,543,676",　기타손실,"-492,956,020,802"
,법인세비용차감전순손익,"112,854","84,836","279,701","-303,129","50,546","111,954","28,085","118,363","64,968","33,019","244,436","627,062","7,327","-7,101","-157,419","469,869","75,395","1,266,769","479,389","567,277","2,388,829",,,,,,법인세비용차감전순손익,"244,435,778,856","111,953,952,629","112,853,736,080","64,968,087,460","211,416,828,788","-303,128,826,266","61,407,627,928","118,363,473,484","146,448,741,328","279,700,657,858","364,536,454,194","28,085,267,844","28,085,267,844","84,835,796,336","84,835,796,336",,,"627,061,663,244","627,061,663,244","28,085,267,844","28,085,267,844",,"7,326,752,099","634,388,415,343","118,363,473,484","146,448,741,328",,"-7,100,570,246","627,287,845,097","64,968,087,460","211,416,828,788",,법인세비용차감전순이익(손실),"469,868,644,693",,법인세비용차감전순이익(손실),"75,395,420,887",법인세비용차감전순이익(손실),"1,266,768,632,582",법인세비용차감전순이익(손실),"479,388,780,069",법인세비용차감전순이익(손실),"2,388,829,378,372"
,법인세비용(수익),"166,065","52,638","97,501","-37,787","-29,060","83,292","43,537","51,040","53,730","3,626","151,933","172,151","40,168","35,207","-70,951","176,574","31,345","373,498","153,050","292,440","850,333",,,,,,법인세비용(수익),"151,933,153,754","83,292,295,663","166,064,904,559","53,730,122,662","148,306,993,928","-37,787,478,826","112,352,342,975","51,039,590,336","94,576,871,266","97,501,327,222","150,139,821,801","43,537,280,930","43,537,280,930","52,638,494,579","52,638,494,579",,,"172,150,731,498","172,150,731,498","43,537,280,930","43,537,280,930",,"40,167,634,208","212,318,365,706","51,039,590,336","94,576,871,266",,"35,207,083,116","247,525,448,822","53,730,122,662","148,306,993,928",,법인세비용,"176,574,132,226",,법인세비용,"31,345,333,788",법인세비용,"373,497,917,239",법인세비용,"153,050,315,900",법인세비용,"850,333,102,799"
,당기순손익,"-53,211","32,197","182,199","-265,341","79,606","28,662","-15,452","67,324","11,238","29,393","92,503","454,911","-32,841","-42,308","-86,468","293,295","44,050","893,271","326,338","274,837","1,538,496",,,,,,당기순손익,"92,502,625,102","28,661,656,966","-53,211,168,479","11,237,964,798","63,109,834,860","-265,341,347,440","-50,944,715,047","67,323,883,148","51,871,870,062","182,199,330,636","214,396,632,393","-15,452,013,086","-15,452,013,086","32,197,301,757","32,197,301,757",,,"454,910,931,746","454,910,931,746","-15,452,013,086","-15,452,013,086",,"-32,840,882,109","422,070,049,637","67,323,883,148","51,871,870,062",,"-42,307,653,362","379,762,396,275","11,237,964,798","63,109,834,860",,당기순이익(손실),"293,294,512,467",,분기순이익(손실),"44,050,087,099",반기순이익(손실),"893,270,715,343",분기순이익(손실),"326,338,464,169",당기순이익(손실),"1,538,496,275,573"
,기타포괄손익,"277,895","76,744","45,204","129,563","48,096","299,607","49,445","-75,282","-32,398","-79,043","-137,278","-9,151","-61,256","52,301","14,430","-3,676","1,016,411","-84,266","62,521","98,902","1,093,569",,,,,,기타포괄손익,"-137,278,352,921","299,606,998,951","277,894,514,438","-32,398,320,265","-58,234,935,694","129,562,662,538","251,510,825,227","-75,281,660,030","-25,836,615,429","45,204,402,543","121,948,162,689","49,445,044,601","49,445,044,601","76,743,760,146","76,743,760,146",,,"-9,150,785,999","-9,150,785,999","49,445,044,601","49,445,044,601",,"-61,256,167,046","-70,406,953,045","-75,281,660,030","-25,836,615,429",,"52,300,716,307","-18,106,236,738","-32,398,320,265","-58,234,935,694",,기타포괄손익,"-3,676,417,519",,기타포괄손익,"1,016,411,038,647",기타포괄손익,"-84,265,938,060",기타포괄손익,"62,521,114,523",기타포괄손익,"1,093,568,539,039"
,  후속기간에 당기손익으로 재분류되는 항목,"224,140","75,600","51,662","133,003","-155,882","104,383","48,850",,"-30,876","-97,742","-79,767","-6,582","-60,987","52,104","-3,007","-18,472","64,913","-86,319","67,403","51,248","97,244",,,,,,　후속기간에 당기손익으로 재분류되는 항목,"-79,767,454,463","104,382,659,448","224,140,120,708","-30,875,603,046","-59,396,603,901","133,002,700,278","260,264,735,717",,,"51,661,600,508","127,262,035,439","48,850,263,249","48,850,263,249","75,600,434,931","75,600,434,931",,,"-6,581,750,725","-6,581,750,725","48,850,263,249","48,850,263,249",,"-60,987,274,637","-67,569,025,362","-77,371,264,104","-28,521,000,855",,"52,103,800,464","-15,465,224,898","-30,875,603,046","-59,396,603,901",,　후속기간에 당기손익으로 재분류되는 항목,"-18,472,472,412",,　후속기간에 당기손익으로 재분류되는 항목,"64,913,101,134",　후속기간에 당기손익으로 재분류되는 항목,"-86,319,405,990",　후속기간에 당기손익으로 재분류되는 항목,"67,402,962,806",　후속기간에 당기손익으로 재분류되는 항목,"97,244,326,768"
,    지분법자본변동?,"24,629","11,767","9,930","31,689","-31,980","21,407","11,297","-10,940","1,788","4,416","6,562","-3,915","-49,110",883,"1,154","-50,989","3,690",-920,"1,275","2,915","6,960",,,,,,　　지분법자본변동?,"6,561,877,418","21,406,878,826","24,629,352,675","1,788,342,466","2,146,075,016","31,688,978,967","53,386,613,255","-10,939,507,894","357,732,550","9,930,430,095","21,697,634,288","11,297,240,444","11,297,240,444","11,767,204,193","11,767,204,193",,,"-3,915,303,710","-3,915,303,710","11,297,240,444","11,297,240,444",,"-49,109,976,247","-53,025,279,957","-10,939,507,894","357,732,550",,"882,504,485","-52,142,775,472","1,788,342,466","2,146,075,016",,　　지분법자본변동,"-50,989,265,531",,　　지분법자본변동,"3,689,697,660",　　지분법자본변동,"-919,641,881",　　지분법자본변동,"1,275,458,190",　　지분법자본변동 - 후속적으로 재분류 되는 항목,"6,960,246,976"
,    현금흐름위험회피,"115,289","53,724","40,866","28,704","-2,173","121,121","-22,247","-16,303","-23,361","-25,493","-87,403","-23,136",,,,"-23,136",,,,,,,,,,,　　현금흐름위험회피,"-87,402,559,270","121,121,210,378","115,288,962,949","-23,360,529,639","-61,909,925,330","28,704,467,616","123,293,912,972","-16,302,880,048","-38,549,395,691","40,865,812,299","94,589,445,356","-22,246,515,643","-22,246,515,643","53,723,633,057","53,723,633,057",,,"-23,135,727,410","-23,135,727,410","-22,246,515,643","-22,246,515,643",,0,"-23,135,727,410","-16,302,880,048","-38,549,395,691",,0,"-23,135,727,410","-23,360,529,639","-61,909,925,330",,　　현금흐름위험회피,"-23,135,727,410",,　　현금흐름위험회피,0,　　현금흐름위험회피,,　　현금흐름위험회피,,　　현금흐름위험회피,0
