분류,항목,기간,수치
영업이익 - 도료,QoQ(%),3Q22,7.6
영업이익 - 도료,YoY(%),3Q22,98.5
영업이익 - 기타,기타 영업이익,3Q22,3264229
영업이익 - 기타,영업이익률(%),3Q22,2.5
영업이익 - 기타,QoQ(%),3Q22,(41.4)
영업이익 - 기타,YoY(%),3Q22,(11.7)
당기순이익,당기순이익 (총계),3Q22,-265341347
당기순이익,당기순익률(%),3Q22,(15.2)
당기순이익,QoQ(%),3Q22,-245.63
당기순이익,YoY(%),3Q22,적자지속
당기순이익,지배순이익,3Q22,-268008676
매출액,매출액 (총계),4Q22,1641207556
매출액,QoQ(%),4Q22,(5.7)
매출액,YoY(%),4Q22,8.7
매출액,실리콘,4Q22,827834514
매출액,건자재,4Q22,303181523
매출액,도료,4Q22,374739340
매출액,기타,4Q22,135452178
영업이익,영업이익 (총계),4Q22,57640561
영업이익,영업이익률(%),4Q22,3.5
영업이익,QoQ(%),4Q22,(40.2)
영업이익,YoY(%),4Q22,(22.5)
영업이익 - 실리콘,실리콘 영업이익,4Q22,14535105
영업이익 - 실리콘,영업이익률(%),4Q22,1.8
영업이익 - 실리콘,QoQ(%),4Q22,(60.6)
영업이익 - 실리콘,YoY(%),4Q22,(67.3)
영업이익 - 건자재,건자재 영업이익,4Q22,31037693
영업이익 - 건자재,영업이익률(%),4Q22,10.2
영업이익 - 건자재,QoQ(%),4Q22,3.5
영업이익 - 건자재,YoY(%),4Q22,44.1
영업이익 - 도료,도료 영업이익,4Q22,10013811
영업이익 - 도료,영업이익률(%),4Q22,2.7
영업이익 - 도료,QoQ(%),4Q22,(53.6)
영업이익 - 도료,YoY(%),4Q22,흑자전환
영업이익 - 기타,기타 영업이익,4Q22,-3356702
영업이익 - 기타,영업이익률(%),4Q22,(2.5)
영업이익 - 기타,QoQ(%),4Q22,적자전환
영업이익 - 기타,YoY(%),4Q22,적자전환
당기순이익,당기순이익 (총계),4Q22,79606372
당기순이익,당기순익률(%),4Q22,4.9
당기순이익,QoQ(%),4Q22,-130.00
당기순이익,YoY(%),4Q22,흑자전환
당기순이익,지배순이익,4Q22,125933339
매출액,매출액 (총계),1Q23,1564943
매출액,QoQ(%),1Q23,(4.6)
매출액,YoY(%),1Q23,(4.4)
매출액,실리콘,1Q23,804007
매출액,건자재,1Q23,288788
매출액,도료,1Q23,346911
매출액,기타,1Q23,125236
영업이익,영업이익 (총계),1Q23,75828
영업이익,영업이익률(%),1Q23,4.8
영업이익,QoQ(%),1Q23,31.6
영업이익,YoY(%),1Q23,(49.2)
영업이익 - 실리콘,실리콘 영업이익,1Q23,13222
영업이익 - 실리콘,영업이익률(%),1Q23,1.6
영업이익 - 실리콘,QoQ(%),1Q23,(9.0)
영업이익 - 실리콘,YoY(%),1Q23,(88.1)
영업이익 - 건자재,건자재 영업이익,1Q23,35035
영업이익 - 건자재,영업이익률(%),1Q23,12.1
영업이익 - 건자재,QoQ(%),1Q23,12.9
영업이익 - 건자재,YoY(%),1Q23,66.1
영업이익 - 도료,도료 영업이익,1Q23,20963
영업이익 - 도료,영업이익률(%),1Q23,6.0
영업이익 - 도료,QoQ(%),1Q23,109.3
영업이익 - 도료,YoY(%),1Q23,200.9
영업이익 - 기타,기타 영업이익,1Q23,-1815
영업이익 - 기타,영업이익률(%),1Q23,(1.4)
영업이익 - 기타,QoQ(%),1Q23,적자지속
영업이익 - 기타,YoY(%),1Q23,적자전환
당기순이익,당기순이익 (총계),1Q23,-15452
당기순이익,당기순익률(%),1Q23,(1.0)
당기순이익,QoQ(%),1Q23,적자전환
당기순이익,YoY(%),1Q23,적자전환
당기순이익,지배순이익,1Q23,8137
매출액,매출액 (총계),2Q23,1588345
매출액,QoQ(%),2Q23,1.5
매출액,YoY(%),2Q23,(9.5)
매출액,실리콘,2Q23,764275
매출액,건자재,2Q23,257282
매출액,도료,2Q23,425374
매출액,기타,2Q23,141413
영업이익,영업이익 (총계),2Q23,90384
영업이익,영업이익률(%),2Q23,5.7
영업이익,QoQ(%),2Q23,19.2
영업이익,YoY(%),2Q23,(45.0)
영업이익 - 실리콘,실리콘 영업이익,2Q23,-16035
영업이익 - 실리콘,영업이익률(%),2Q23,(2.1)
영업이익 - 실리콘,QoQ(%),2Q23,적자전환
영업이익 - 실리콘,YoY(%),2Q23,적자전환
영업이익 - 건자재,건자재 영업이익,2Q23,47562
영업이익 - 건자재,영업이익률(%),2Q23,18.5
영업이익 - 건자재,QoQ(%),2Q23,35.8
영업이익 - 건자재,YoY(%),2Q23,26.2
영업이익 - 도료,도료 영업이익,2Q23,47670
영업이익 - 도료,영업이익률(%),2Q23,11.2
영업이익 - 도료,QoQ(%),2Q23,127.4
영업이익 - 도료,YoY(%),2Q23,137.8
영업이익 - 기타,기타 영업이익,2Q23,8147
영업이익 - 기타,영업이익률(%),2Q23,5.8
영업이익 - 기타,QoQ(%),2Q23,흑자전환
영업이익 - 기타,YoY(%),2Q23,46.3
당기순이익,당기순이익 (총계),2Q23,67324
당기순이익,당기순익률(%),2Q23,4.2
당기순이익,QoQ(%),2Q23,흑자전환
당기순이익,YoY(%),2Q23,(63.0)
당기순이익,지배순이익,2Q23,90993
매출액,매출액 (총계),3Q23,1552725
매출액,QoQ(%),3Q23,(2.2)
매출액,YoY(%),3Q23,(10.8)
매출액,실리콘,3Q23,700392
