구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기 3개월,당기 1분기 누적,전기 1분기 3개월,전기 1분기 누적,전기,전전기
ifrs_IncomeTaxExpenseContinuingOperations법인세비용,법인세비용(수익),09,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,"6,959,565,243","6,959,565,243","13,424,108,049","13,424,108,049","59,898,354,391","57,512,435,336"
ifrs_ProfitLoss당기순이익(손실),당기순손익,10,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_ProfitLoss,당기순이익(손실),"32,782,227,260","32,782,227,260","47,472,432,148","47,472,432,148","132,305,136,003","157,017,135,982"
ifrs_OtherComprehensiveIncome기타포괄손익,기타포괄손익,11,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_OtherComprehensiveIncome,기타포괄손익,"100,463,049,637","100,463,049,637","108,666,664,238","108,666,664,238","48,893,317,515","-462,865,777,018"
entity00105271_udf_IS_201543154723539_OtherComprehensiveIncome   매도가능금융자산손익,      매도가능금융자산평가손익(세후기타포괄손익),11-01-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201543154723539_OtherComprehensiveIncome,   매도가능금융자산손익,"100,463,049,637","100,463,049,637","108,666,664,238","108,666,664,238","33,526,938,615","-456,515,708,220"
entity00105271_udf_IS_201543154745539_OtherComprehensiveIncome   보험수리적손익,      보험수리적손익,11-02-04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201543154745539_OtherComprehensiveIncome,   보험수리적손익,,,,,"15,366,378,900","-6,350,068,798"
ifrs_ComprehensiveIncome총포괄손익,총포괄손익,12,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_ComprehensiveIncome,총포괄손익,"133,245,276,897","133,245,276,897","156,139,096,386","156,139,096,386","181,198,453,518","-305,848,641,036"
ifrs_EarningsPerShareAbstract주당이익 [abstract],주당손익,13,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_EarningsPerShareAbstract,주당이익 [abstract],,,,,,
ifrs_BasicEarningsLossPerShare   기본주당이익(손실),주당손익,13,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_BasicEarningsLossPerShare,   기본주당이익(손실),"3,334","3,334","4,828","4,828","13,455","16,022"
ifrs_DilutedEarningsLossPerShare   희석주당이익(손실),   희석주당이익(손실),13-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_DilutedEarningsLossPerShare,   희석주당이익(손실),"3,334","3,334","4,828","4,828","13,455","16,022"
항목코드항목명,0,0,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 반기 3개월,당기 반기 누적,전기 반기 3개월,전기 반기 누적,전기,전전기
ifrs_Revenue수익 (매출액),매출액,01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_Revenue,수익 (매출액),"884,074,853,545","1,652,977,053,858","814,745,710,811","1,525,045,600,278",,
ifrs_CostOfSales매출원가,매출원가,02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_CostOfSales,매출원가,"672,141,686,799","1,258,750,858,251","604,248,621,632","1,125,916,677,291",,
ifrs_GrossProfit매출총이익,매출총이익,03,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_GrossProfit,매출총이익,"211,933,166,746","394,226,195,607","210,497,089,179","399,128,922,987",,
dart_TotalSellingGeneralAdministrativeExpenses판매비와관리비,판매비와관리비,04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"128,454,986,076","249,317,930,842","124,005,240,501","241,742,472,971",,
dart_OperatingIncomeLoss영업이익(손실),영업이익,05,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),"83,478,180,670","144,908,264,765","86,491,848,678","157,386,450,016",,
entity00105271_udf_IS_2011526104859578_StatementOfComprehensiveIncomeAbstract순금융손익,순금융손익,06,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_2011526104859578_StatementOfComprehensiveIncomeAbstract,순금융손익,"6,483,118,407","-15,105,523,249","-22,605,926,460","-31,755,951,780",,
entity00105271_udf_IS_201152610490921_StatementOfComprehensiveIncomeAbstract금융수익,금융수익,06-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201152610490921_StatementOfComprehensiveIncomeAbstract,금융수익,"30,793,709,821","67,378,629,914","7,860,444,776","29,862,790,366",,
entity00105271_udf_IS_201543154418169_StatementOfComprehensiveIncomeAbstract금융원가,금융원가,06-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201543154418169_StatementOfComprehensiveIncomeAbstract,금융원가,"-24,310,591,414","-82,484,153,163","-30,466,371,236","-61,618,742,146",,
entity00105271_udf_IS_201543154532749_StatementOfComprehensiveIncomeAbstract기타영업외손익,기타영업외손익,07,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201543154532749_StatementOfComprehensiveIncomeAbstract,기타영업외손익,"3,498,416,692","3,398,766,756","-866,507,544","-1,714,543,365",,
entity00105271_udf_IS_201543162920715_StatementOfComprehensiveIncomeAbstract기타 이익,기타이익,07-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201543162920715_StatementOfComprehensiveIncomeAbstract,기타 이익,"10,491,111,795","19,778,186,505","6,901,125,471","15,138,113,877",,
entity00105271_udf_IS_20154316298635_StatementOfComprehensiveIncomeAbstract기타 손실,기타손실,07-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_20154316298635_StatementOfComprehensiveIncomeAbstract,기타 손실,"-6,992,695,103","-16,379,419,749","-7,767,633,015","-16,852,657,242",,
ifrs_ProfitLossBeforeTax법인세비용차감전순이익(손실),법인세비용차감전이익,08,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),"93,459,715,769","133,201,508,272","63,019,414,674","123,915,954,871",,
ifrs_IncomeTaxExpenseContinuingOperations법인세비용,법인세비용(수익),09,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,"23,097,253,602","30,056,818,845","15,813,596,115","29,237,704,164",,
ifrs_ProfitLoss당기순이익(손실),당기순손익,10,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_ProfitLoss,당기순이익(손실),"70,362,462,167","103,144,689,427","47,205,818,559","94,678,250,707",,
ifrs_OtherComprehensiveIncome기타포괄손익,기타포괄손익,11,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_OtherComprehensiveIncome,기타포괄손익,"508,298,655,675","608,761,705,312","-268,406,059,024","-159,739,394,786",,
entity00105271_udf_IS_201543154723539_OtherComprehensiveIncome   매도가능금융자산손익,      매도가능금융자산평가손익(세후기타포괄손익),11-01-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,entity00105271_udf_IS_201543154723539_OtherComprehensiveIncome,   매도가능금융자산손익,"508,298,655,675","608,761,705,312","-268,406,059,024","-159,739,394,786",,
ifrs_ComprehensiveIncome총포괄손익,총포괄손익,12,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_ComprehensiveIncome,총포괄손익,"578,661,117,842","711,906,394,739","-221,200,240,465","-65,061,144,079",,
ifrs_EarningsPerShareAbstract주당이익 [abstract],주당손익,13,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_EarningsPerShareAbstract,주당이익 [abstract],,,,,,
ifrs_BasicEarningsLossPerShare   기본주당이익(손실),주당손익,13,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_BasicEarningsLossPerShare,   기본주당이익(손실),"7,155","10,489","4,801","9,628",,
ifrs_DilutedEarningsLossPerShare   희석주당이익(손실),   희석주당이익(손실),13-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-06-30,반기보고서,KRW,ifrs_DilutedEarningsLossPerShare,   희석주당이익(손실),"7,155","10,489","4,801","9,628",,
항목코드항목명,0,0,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 3분기 3개월,당기 3분기 누적,전기 3분기 3개월,전기 3분기 누적,전기,전전기
ifrs_Revenue수익(매출액),매출액,01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_Revenue,수익(매출액),"892,305,484,492","2,545,282,538,350","776,080,329,480","2,301,125,929,758",,
ifrs_CostOfSales매출원가,매출원가,02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_CostOfSales,매출원가,"685,583,184,962","1,944,334,043,213","578,816,130,867","1,704,732,808,158",,
ifrs_GrossProfit매출총이익,매출총이익,03,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_GrossProfit,매출총이익,"206,722,299,530","600,948,495,137","197,264,198,613","596,393,121,600",,
dart_TotalSellingGeneralAdministrativeExpenses판매비와관리비,판매비와관리비,04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"114,908,707,456","364,226,638,298","111,849,917,449","353,592,390,420",,
dart_OperatingIncomeLoss영업이익(손실),영업이익,05,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),"91,813,592,074","236,721,856,839","85,414,281,164","242,800,731,180",,
ifrs_FinanceIncome금융수익,금융수익,06-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceIncome,금융수익,"12,551,962,880","76,442,821,145","42,887,157,681","72,502,859,123",,
ifrs_FinanceCosts금융원가,금융원가,06-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceCosts,금융원가,"17,250,974,762","96,247,356,276","50,756,508,463","112,128,161,685",,
dart_OtherGains기타이익,기타이익,07-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,dart_OtherGains,기타이익,"10,223,692,783","30,001,879,288","6,963,705,075","22,101,818,952",,
dart_OtherLosses기타손실,기타손실,07-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,dart_OtherLosses,기타손실,"10,808,242,628","27,187,662,377","9,184,352,785","26,037,010,027",,
ifrs_ProfitLossBeforeTax법인세비용차감전순이익(손실),법인세비용차감전이익,08,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),"86,530,030,347","219,731,538,619","75,324,282,672","199,240,237,543",,
ifrs_IncomeTaxExpenseContinuingOperations법인세비용,법인세비용(수익),09,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,"20,673,630,813","50,730,449,658","19,206,716,758","48,444,420,922",,
ifrs_ProfitLoss당기순이익(손실),당기순손익,10,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLoss,당기순이익(손실),"65,856,399,534","169,001,088,961","56,117,565,914","150,795,816,621",,
ifrs_OtherComprehensiveIncome기타포괄손익,기타포괄손익,11,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_OtherComprehensiveIncome,기타포괄손익,"-265,860,230,498","342,901,474,814","479,405,121,693","319,665,726,907",,
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax   당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),   후속기간에 당기손익으로 재분류되는 항목,11-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,   당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"-265,860,230,498","342,901,474,814","479,405,121,693","319,665,726,907",,
ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax      매도가능금융자산평가손익(세후기타포괄손익),      매도가능금융자산평가손익(세후기타포괄손익),11-01-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,      매도가능금융자산평가손익(세후기타포괄손익),"-265,860,230,498","342,901,474,814","479,405,121,693","319,665,726,907",,
ifrs_ComprehensiveIncome총포괄손익,총포괄손익,12,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_ComprehensiveIncome,총포괄손익,"-200,003,830,964","511,902,563,775","535,522,687,607","470,461,543,528",,
ifrs_EarningsPerShareAbstract주당이익 [abstract],주당손익,13,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_EarningsPerShareAbstract,주당이익 [abstract],,,,,,
ifrs_BasicEarningsLossPerShare   기본주당이익(손실),주당손익,13,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_BasicEarningsLossPerShare,   기본주당이익(손실),"6,697","17,186","5,707","15,335",,
ifrs_DilutedEarningsLossPerShare   희석주당이익(손실),   희석주당이익(손실),13-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-09-30,3분기보고서,KRW,ifrs_DilutedEarningsLossPerShare,   희석주당이익(손실),"6,697","17,186","5,707","15,335",,
항목코드항목명,0,0,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,,당기,,,전기,전전기
ifrs_Revenue수익(매출액),매출액,01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-12-31,사업보고서,KRW,ifrs_Revenue,수익(매출액),,"3,426,493,950,897",,,"3,152,300,110,386","3,067,640,038,239"
ifrs_CostOfSales매출원가,매출원가,02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-12-31,사업보고서,KRW,ifrs_CostOfSales,매출원가,,"2,640,466,753,771",,,"2,358,197,294,181","2,316,252,063,382"
ifrs_GrossProfit매출총이익,매출총이익,03,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-12-31,사업보고서,KRW,ifrs_GrossProfit,매출총이익,,"786,027,197,126",,,"794,102,816,205","751,387,974,857"
dart_TotalSellingGeneralAdministrativeExpenses판매비와관리비,판매비와관리비,04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-12-31,사업보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,,"509,774,704,851",,,"518,330,131,852","494,583,718,257"
dart_OperatingIncomeLoss영업이익(손실),영업이익,05,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-12-31,사업보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),,"276,252,492,275",,,"275,772,684,353","256,804,256,600"
ifrs_FinanceIncome금융수익,금융수익,06-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-12-31,사업보고서,KRW,ifrs_FinanceIncome,금융수익,,"287,747,401,990",,,"85,081,424,559","177,175,136,481"
ifrs_FinanceCosts금융원가,금융원가,06-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-12-31,사업보고서,KRW,ifrs_FinanceCosts,금융원가,,"430,534,089,693",,,"97,966,888,047","200,832,750,674"
dart_OtherGains기타이익,기타이익,07-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-12-31,사업보고서,KRW,dart_OtherGains,기타이익,,"47,972,388,193",,,"33,843,261,419","54,236,944,077"
