분류,세부항목,기간,연도,분기,기간표준,수치,단위,search_tag
판매관리비,기술개발비,2022-06-30,2022,Q2,2022 Q2,16871,백만원,2022Q2|판매관리비|기술개발비
판매관리비,기타,2022-06-30,2022,Q2,2022 Q2,14489,백만원,2022Q2|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-09-30,2022,Q3,2022 Q3,261733,백만원,2022Q3|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-09-30,2022,Q3,2022 Q3,72389,백만원,2022Q3|판매관리비|급여
판매관리비,퇴직급여원가,2022-09-30,2022,Q3,2022 Q3,15509,백만원,2022Q3|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-09-30,2022,Q3,2022 Q3,9158,백만원,2022Q3|판매관리비|복리후생비
판매관리비,광고선전비,2022-09-30,2022,Q3,2022 Q3,8268,백만원,2022Q3|판매관리비|광고선전비
판매관리비,감가상각비,2022-09-30,2022,Q3,2022 Q3,4246,백만원,2022Q3|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-09-30,2022,Q3,2022 Q3,10617,백만원,2022Q3|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2022-09-30,2022,Q3,2022 Q3,5509,백만원,2022Q3|판매관리비|사용권자산상각비
판매관리비,운반비,2022-09-30,2022,Q3,2022 Q3,26569,백만원,2022Q3|판매관리비|운반비
판매관리비,지급수수료,2022-09-30,2022,Q3,2022 Q3,27975,백만원,2022Q3|판매관리비|지급수수료
판매관리비,기술개발비,2022-09-30,2022,Q3,2022 Q3,48104,백만원,2022Q3|판매관리비|기술개발비
판매관리비,기타,2022-09-30,2022,Q3,2022 Q3,33389,백만원,2022Q3|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-09-30,2022,Q3,2022 Q3,90806,백만원,2022Q3|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-09-30,2022,Q3,2022 Q3,22919,백만원,2022Q3|판매관리비|급여
판매관리비,퇴직급여원가,2022-09-30,2022,Q3,2022 Q3,2300,백만원,2022Q3|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-09-30,2022,Q3,2022 Q3,5014,백만원,2022Q3|판매관리비|복리후생비
판매관리비,광고선전비,2022-09-30,2022,Q3,2022 Q3,7080,백만원,2022Q3|판매관리비|광고선전비
판매관리비,감가상각비,2022-09-30,2022,Q3,2022 Q3,1209,백만원,2022Q3|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-09-30,2022,Q3,2022 Q3,214,백만원,2022Q3|판매관리비|무형자산상각비
판매관리비,대손상각비(대손충당금환입),2022-09-30,2022,Q3,2022 Q3,-984,백만원,2022Q3|판매관리비|대손상각비(대손충당금환입)
판매관리비,운반비,2022-09-30,2022,Q3,2022 Q3,23783,백만원,2022Q3|판매관리비|운반비
판매관리비,지급수수료,2022-09-30,2022,Q3,2022 Q3,4985,백만원,2022Q3|판매관리비|지급수수료
판매관리비,기술개발비,2022-09-30,2022,Q3,2022 Q3,19651,백만원,2022Q3|판매관리비|기술개발비
판매관리비,기타,2022-09-30,2022,Q3,2022 Q3,4635,백만원,2022Q3|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-12-31,2022,Q4,2022 Q4,270237,백만원,2022Q4|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-12-31,2022,Q4,2022 Q4,89141,백만원,2022Q4|판매관리비|급여
판매관리비,퇴직급여원가,2022-12-31,2022,Q4,2022 Q4,-2740,백만원,2022Q4|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-12-31,2022,Q4,2022 Q4,4184,백만원,2022Q4|판매관리비|복리후생비
판매관리비,광고선전비,2022-12-31,2022,Q4,2022 Q4,5348,백만원,2022Q4|판매관리비|광고선전비
판매관리비,감가상각비,2022-12-31,2022,Q4,2022 Q4,4558,백만원,2022Q4|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-12-31,2022,Q4,2022 Q4,10603,백만원,2022Q4|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2022-12-31,2022,Q4,2022 Q4,6024,백만원,2022Q4|판매관리비|사용권자산상각비
판매관리비,운반비,2022-12-31,2022,Q4,2022 Q4,27581,백만원,2022Q4|판매관리비|운반비
판매관리비,지급수수료,2022-12-31,2022,Q4,2022 Q4,36591,백만원,2022Q4|판매관리비|지급수수료
판매관리비,기술개발비,2022-12-31,2022,Q4,2022 Q4,47307,백만원,2022Q4|판매관리비|기술개발비
판매관리비,기타,2022-12-31,2022,Q4,2022 Q4,41640,백만원,2022Q4|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-12-31,2022,Q4,2022 Q4,111430,백만원,2022Q4|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-12-31,2022,Q4,2022 Q4,34425,백만원,2022Q4|판매관리비|급여
판매관리비,퇴직급여원가,2022-12-31,2022,Q4,2022 Q4,3428,백만원,2022Q4|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-12-31,2022,Q4,2022 Q4,3788,백만원,2022Q4|판매관리비|복리후생비
판매관리비,광고선전비,2022-12-31,2022,Q4,2022 Q4,3855,백만원,2022Q4|판매관리비|광고선전비
판매관리비,감가상각비,2022-12-31,2022,Q4,2022 Q4,1160,백만원,2022Q4|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-12-31,2022,Q4,2022 Q4,223,백만원,2022Q4|판매관리비|무형자산상각비
