재무제표,계정과목,기간,연도,분기,기간표준,금액,단위,search_tag
연결손익계산서,기타손실,2Q22,2022,Q2,2022 Q2,-24349,백만원,2022Q2|연결손익계산서|기타손실
연결손익계산서,법인세비용차감전순손익,2Q22,2022,Q2,2022 Q2,279701,백만원,2022Q2|연결손익계산서|법인세비용차감전순손익
연결손익계산서,법인세비용(수익),2Q22,2022,Q2,2022 Q2,97501,백만원,2022Q2|연결손익계산서|법인세비용(수익)
연결손익계산서,당기순손익,2Q22,2022,Q2,2022 Q2,182199,백만원,2022Q2|연결손익계산서|당기순손익
연결손익계산서,기타포괄손익,2Q22,2022,Q2,2022 Q2,45204,백만원,2022Q2|연결손익계산서|기타포괄손익
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,2Q22,2022,Q2,2022 Q2,51662,백만원,2022Q2|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목
연결손익계산서,지분법자본변동?,2Q22,2022,Q2,2022 Q2,9930,백만원,2022Q2|연결손익계산서|지분법자본변동?
연결손익계산서,현금흐름위험회피,2Q22,2022,Q2,2022 Q2,40866,백만원,2022Q2|연결손익계산서|현금흐름위험회피
연결손익계산서,해외사업환산손익 등,2Q22,2022,Q2,2022 Q2,865,백만원,2022Q2|연결손익계산서|해외사업환산손익 등
연결손익계산서,확정급여제도의 재측정요소,2Q22,2022,Q2,2022 Q2,-3,백만원,2022Q2|연결손익계산서|확정급여제도의 재측정요소
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q22,2022,Q2,2022 Q2,-6453,백만원,2022Q2|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)
연결손익계산서,총포괄손익,2Q22,2022,Q2,2022 Q2,227404,백만원,2022Q2|연결손익계산서|총포괄손익
연결손익계산서,지배기업소유주지분,2Q22,2022,Q2,2022 Q2,169358,백만원,2022Q2|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,2Q22,2022,Q2,2022 Q2,12841,백만원,2022Q2|연결손익계산서|비지배지분
연결손익계산서,지배기업소유주지분,2Q22,2022,Q2,2022 Q2,208378,백만원,2022Q2|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,2Q22,2022,Q2,2022 Q2,19026,백만원,2022Q2|연결손익계산서|비지배지분
연결손익계산서,기본주당손익 (단위 : 원),2Q22,2022,Q2,2022 Q2,23022,백만원,2022Q2|연결손익계산서|기본주당손익 (단위 : 원)
연결손익계산서,희석주당손익 (단위 : 원),2Q22,2022,Q2,2022 Q2,23022,백만원,2022Q2|연결손익계산서|희석주당손익 (단위 : 원)
연결손익계산서,매출액,3Q22,2022,Q3,2022 Q3,1740125,백만원,2022Q3|연결손익계산서|매출액
연결손익계산서,매출원가,3Q22,2022,Q3,2022 Q3,1382013,백만원,2022Q3|연결손익계산서|매출원가
연결손익계산서,매출총이익,3Q22,2022,Q3,2022 Q3,358112,백만원,2022Q3|연결손익계산서|매출총이익
연결손익계산서,판매비와관리비,3Q22,2022,Q3,2022 Q3,261733,백만원,2022Q3|연결손익계산서|판매비와관리비
연결손익계산서,영업이익,3Q22,2022,Q3,2022 Q3,96380,백만원,2022Q3|연결손익계산서|영업이익
연결손익계산서,지분법손익,3Q22,2022,Q3,2022 Q3,-49,백만원,2022Q3|연결손익계산서|지분법손익
연결손익계산서,순금융손익,3Q22,2022,Q3,2022 Q3,-396922,백만원,2022Q3|연결손익계산서|순금융손익
연결손익계산서,금융수익,3Q22,2022,Q3,2022 Q3,94028,백만원,2022Q3|연결손익계산서|금융수익
연결손익계산서,금융원가,3Q22,2022,Q3,2022 Q3,-490950,백만원,2022Q3|연결손익계산서|금융원가
연결손익계산서,기타영업외손익,3Q22,2022,Q3,2022 Q3,-2537,백만원,2022Q3|연결손익계산서|기타영업외손익
연결손익계산서,기타이익,3Q22,2022,Q3,2022 Q3,13187,백만원,2022Q3|연결손익계산서|기타이익
연결손익계산서,기타손실,3Q22,2022,Q3,2022 Q3,-15725,백만원,2022Q3|연결손익계산서|기타손실
연결손익계산서,법인세비용차감전순손익,3Q22,2022,Q3,2022 Q3,-303129,백만원,2022Q3|연결손익계산서|법인세비용차감전순손익
연결손익계산서,법인세비용(수익),3Q22,2022,Q3,2022 Q3,-37787,백만원,2022Q3|연결손익계산서|법인세비용(수익)
연결손익계산서,당기순손익,3Q22,2022,Q3,2022 Q3,-265341,백만원,2022Q3|연결손익계산서|당기순손익
연결손익계산서,기타포괄손익,3Q22,2022,Q3,2022 Q3,129563,백만원,2022Q3|연결손익계산서|기타포괄손익
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q22,2022,Q3,2022 Q3,133003,백만원,2022Q3|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목
연결손익계산서,지분법자본변동?,3Q22,2022,Q3,2022 Q3,31689,백만원,2022Q3|연결손익계산서|지분법자본변동?
연결손익계산서,현금흐름위험회피,3Q22,2022,Q3,2022 Q3,28704,백만원,2022Q3|연결손익계산서|현금흐름위험회피
연결손익계산서,해외사업환산손익 등,3Q22,2022,Q3,2022 Q3,72609,백만원,2022Q3|연결손익계산서|해외사업환산손익 등
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q22,2022,Q3,2022 Q3,-3440,백만원,2022Q3|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목
연결손익계산서,확정급여제도의 재측정요소,3Q22,2022,Q3,2022 Q3,-4,백만원,2022Q3|연결손익계산서|확정급여제도의 재측정요소
연결손익계산서,지분법이익잉여금 ?,3Q22,2022,Q3,2022 Q3,166,백만원,2022Q3|연결손익계산서|지분법이익잉여금 ?
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),3Q22,2022,Q3,2022 Q3,-3602,백만원,2022Q3|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)
연결손익계산서,총포괄손익,3Q22,2022,Q3,2022 Q3,-135779,백만원,2022Q3|연결손익계산서|총포괄손익
연결손익계산서,지배기업소유주지분,3Q22,2022,Q3,2022 Q3,-268009,백만원,2022Q3|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,3Q22,2022,Q3,2022 Q3,2667,백만원,2022Q3|연결손익계산서|비지배지분
연결손익계산서,지배기업소유주지분,3Q22,2022,Q3,2022 Q3,-159578,백만원,2022Q3|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,3Q22,2022,Q3,2022 Q3,23799,백만원,2022Q3|연결손익계산서|비지배지분
연결손익계산서,기본주당손익 (단위 : 원),3Q22,2022,Q3,2022 Q3,-36443,백만원,2022Q3|연결손익계산서|기본주당손익 (단위 : 원)
연결손익계산서,희석주당손익 (단위 : 원),3Q22,2022,Q3,2022 Q3,-36443,백만원,2022Q3|연결손익계산서|희석주당손익 (단위 : 원)
연결손익계산서,매출액,4Q22,2022,Q4,2022 Q4,1641208,백만원,2022Q4|연결손익계산서|매출액
연결손익계산서,매출원가,4Q22,2022,Q4,2022 Q4,1313330,백만원,2022Q4|연결손익계산서|매출원가
연결손익계산서,매출총이익,4Q22,2022,Q4,2022 Q4,327877,백만원,2022Q4|연결손익계산서|매출총이익
연결손익계산서,판매비와관리비,4Q22,2022,Q4,2022 Q4,270237,백만원,2022Q4|연결손익계산서|판매비와관리비
