분류	항목	기간	수치	단위
당기순이익	YoY(%)	2Q22	-0.052	백만원
당기순이익	지배순이익	2Q22	"169,358"	백만원
매출액	매출액 (총계)	3Q22	"1,740,125"	백만원
매출액	QoQ(%)	3Q22	-0.001	백만원
매출액	YoY(%)	3Q22	0.017	백만원
매출액	실리콘	3Q22	"965,553"	백만원
매출액	건자재	3Q22	"277,320"	백만원
매출액	도료	3Q22	"366,031"	백만원
매출액	기타	3Q22	"131,221"	백만원
영업이익	영업이익 (총계)	3Q22	"96,380"	백만원
영업이익	영업이익률(%)	3Q22	0.006	백만원
영업이익	QoQ(%)	3Q22	-0.041	백만원
영업이익	YoY(%)	3Q22	-0.02	백만원
영업이익 - 실리콘	실리콘 영업이익	3Q22	"36,915"	백만원
영업이익 - 실리콘	영업이익률(%)	3Q22	0.004	백만원
영업이익 - 실리콘	QoQ(%)	3Q22	-0.063	백만원
영업이익 - 실리콘	YoY(%)	3Q22	-0.058	백만원
영업이익 - 건자재	건자재 영업이익	3Q22	"29,974"	백만원
영업이익 - 건자재	영업이익률(%)	3Q22	0.011	백만원
영업이익 - 건자재	QoQ(%)	3Q22	-0.021	백만원
영업이익 - 건자재	YoY(%)	3Q22	0.05	백만원
영업이익 - 도료	도료 영업이익	3Q22	"21,563"	백만원
영업이익 - 도료	영업이익률(%)	3Q22	0.006	백만원
영업이익 - 도료	QoQ(%)	3Q22	0.008	백만원
영업이익 - 도료	YoY(%)	3Q22	0.099	백만원
영업이익 - 기타	기타 영업이익	3Q22	"3,264"	백만원
영업이익 - 기타	영업이익률(%)	3Q22	0.003	백만원
영업이익 - 기타	QoQ(%)	3Q22	-0.041	백만원
영업이익 - 기타	YoY(%)	3Q22	-0.012	백만원
당기순이익	당기순이익 (총계)	3Q22	"-265,341"	백만원
당기순이익	당기순익률(%)	3Q22	-0.015	백만원
당기순이익	QoQ(%)	3Q22	-0.246	백만원
당기순이익	YoY(%)	3Q22	 적자지속 	백만원
당기순이익	지배순이익	3Q22	"-268,009"	백만원
매출액	매출액 (총계)	4Q22	"1,641,208"	백만원
매출액	QoQ(%)	4Q22	-0.006	백만원
매출액	YoY(%)	4Q22	0.009	백만원
매출액	실리콘	4Q22	"827,835"	백만원
매출액	건자재	4Q22	"303,182"	백만원
매출액	도료	4Q22	"374,739"	백만원
매출액	기타	4Q22	"135,452"	백만원
영업이익	영업이익 (총계)	4Q22	"57,641"	백만원
영업이익	영업이익률(%)	4Q22	0.004	백만원
영업이익	QoQ(%)	4Q22	-0.04	백만원
영업이익	YoY(%)	4Q22	-0.023	백만원
영업이익 - 실리콘	실리콘 영업이익	4Q22	"14,535"	백만원
영업이익 - 실리콘	영업이익률(%)	4Q22	0.002	백만원
영업이익 - 실리콘	QoQ(%)	4Q22	-0.061	백만원
영업이익 - 실리콘	YoY(%)	4Q22	-0.067	백만원
영업이익 - 건자재	건자재 영업이익	4Q22	"31,038"	백만원
영업이익 - 건자재	영업이익률(%)	4Q22	0.01	백만원
영업이익 - 건자재	QoQ(%)	4Q22	0.004	백만원
영업이익 - 건자재	YoY(%)	4Q22	0.044	백만원
영업이익 - 도료	도료 영업이익	4Q22	"10,014"	백만원
영업이익 - 도료	영업이익률(%)	4Q22	0.003	백만원
영업이익 - 도료	QoQ(%)	4Q22	-0.054	백만원
영업이익 - 도료	YoY(%)	4Q22	 흑자전환 	백만원
영업이익 - 기타	기타 영업이익	4Q22	"-3,357"	백만원
영업이익 - 기타	영업이익률(%)	4Q22	-0.003	백만원
영업이익 - 기타	QoQ(%)	4Q22	 적자전환 	백만원
영업이익 - 기타	YoY(%)	4Q22	 적자전환 	백만원
당기순이익	당기순이익 (총계)	4Q22	"79,606"	백만원
당기순이익	당기순익률(%)	4Q22	0.005	백만원
당기순이익	QoQ(%)	4Q22	-0.13	백만원
당기순이익	YoY(%)	4Q22	 흑자전환 	백만원
당기순이익	지배순이익	4Q22	"125,933"	백만원
매출액	매출액 (총계)	1Q23	"1,565"	백만원
매출액	QoQ(%)	1Q23	-0.005	백만원
매출액	YoY(%)	1Q23	-0.004	백만원
매출액	실리콘	1Q23	804	백만원
매출액	건자재	1Q23	289	백만원
매출액	도료	1Q23	347	백만원
매출액	기타	1Q23	125	백만원
영업이익	영업이익 (총계)	1Q23	76	백만원
영업이익	영업이익률(%)	1Q23	0.005	백만원
영업이익	QoQ(%)	1Q23	0.032	백만원
영업이익	YoY(%)	1Q23	-0.049	백만원
영업이익 - 실리콘	실리콘 영업이익	1Q23	13	백만원
영업이익 - 실리콘	영업이익률(%)	1Q23	0.002	백만원
영업이익 - 실리콘	QoQ(%)	1Q23	-0.009	백만원
영업이익 - 실리콘	YoY(%)	1Q23	-0.088	백만원
영업이익 - 건자재	건자재 영업이익	1Q23	35	백만원
영업이익 - 건자재	영업이익률(%)	1Q23	0.012	백만원
영업이익 - 건자재	QoQ(%)	1Q23	0.013	백만원
영업이익 - 건자재	YoY(%)	1Q23	0.066	백만원
영업이익 - 도료	도료 영업이익	1Q23	21	백만원
영업이익 - 도료	영업이익률(%)	1Q23	0.006	백만원
영업이익 - 도료	QoQ(%)	1Q23	0.109	백만원
영업이익 - 도료	YoY(%)	1Q23	0.201	백만원
영업이익 - 기타	기타 영업이익	1Q23	-2	백만원
영업이익 - 기타	영업이익률(%)	1Q23	-0.001	백만원
영업이익 - 기타	QoQ(%)	1Q23	 적자지속 	백만원
영업이익 - 기타	YoY(%)	1Q23	 적자전환 	백만원
당기순이익	당기순이익 (총계)	1Q23	-15	백만원
당기순이익	당기순익률(%)	1Q23	-0.001	백만원
당기순이익	QoQ(%)	1Q23	 적자전환 	백만원
당기순이익	YoY(%)	1Q23	 적자전환 	백만원
당기순이익	지배순이익	1Q23	8	백만원
매출액	매출액 (총계)	2Q23	"1,588"	백만원
매출액	QoQ(%)	2Q23	0.002	백만원
매출액	YoY(%)	2Q23	-0.01	백만원
매출액	실리콘	2Q23	764	백만원
매출액	건자재	2Q23	257	백만원
매출액	도료	2Q23	425	백만원
매출액	기타	2Q23	141	백만원
영업이익	영업이익 (총계)	2Q23	90	백만원
영업이익	영업이익률(%)	2Q23	0.006	백만원
영업이익	QoQ(%)	2Q23	0.019	백만원
영업이익	YoY(%)	2Q23	-0.045	백만원
영업이익 - 실리콘	실리콘 영업이익	2Q23	-16	백만원
영업이익 - 실리콘	영업이익률(%)	2Q23	-0.002	백만원
영업이익 - 실리콘	QoQ(%)	2Q23	 적자전환 	백만원
영업이익 - 실리콘	YoY(%)	2Q23	 적자전환 	백만원
영업이익 - 건자재	건자재 영업이익	2Q23	48	백만원
영업이익 - 건자재	영업이익률(%)	2Q23	0.019	백만원
영업이익 - 건자재	QoQ(%)	2Q23	0.036	백만원
영업이익 - 건자재	YoY(%)	2Q23	0.026	백만원
영업이익 - 도료	도료 영업이익	2Q23	48	백만원
영업이익 - 도료	영업이익률(%)	2Q23	0.011	백만원
영업이익 - 도료	QoQ(%)	2Q23	0.127	백만원
영업이익 - 도료	YoY(%)	2Q23	0.138	백만원
영업이익 - 기타	기타 영업이익	2Q23	8	백만원
영업이익 - 기타	영업이익률(%)	2Q23	0.006	백만원
영업이익 - 기타	QoQ(%)	2Q23	 흑자전환 	백만원
영업이익 - 기타	YoY(%)	2Q23	0.046	백만원
당기순이익	당기순이익 (총계)	2Q23	67	백만원
당기순이익	당기순익률(%)	2Q23	0.004	백만원
당기순이익	QoQ(%)	2Q23	 흑자전환 	백만원
당기순이익	YoY(%)	2Q23	-0.063	백만원
당기순이익	지배순이익	2Q23	91	백만원
매출액	매출액 (총계)	3Q23	"1,553"	백만원
매출액	QoQ(%)	3Q23	-0.002	백만원
매출액	YoY(%)	3Q23	-0.011	백만원
매출액	실리콘	3Q23	700	백만원
매출액	건자재	3Q23	277	백만원
매출액	도료	3Q23	431	백만원
매출액	기타	3Q23	145	백만원
영업이익	영업이익 (총계)	3Q23	88	백만원
영업이익	영업이익률(%)	3Q23	0.006	백만원
영업이익	QoQ(%)	3Q23	-0.002	백만원
영업이익	YoY(%)	3Q23	-0.008	백만원
영업이익 - 실리콘	실리콘 영업이익	3Q23	-38	백만원
영업이익 - 실리콘	영업이익률(%)	3Q23	-0.006	백만원
영업이익 - 실리콘	QoQ(%)	3Q23	 적자지속 	백만원
영업이익 - 실리콘	YoY(%)	3Q23	 적자전환 	백만원
영업이익 - 건자재	건자재 영업이익	3Q23	59	백만원
영업이익 - 건자재	영업이익률(%)	3Q23	0.021	백만원
영업이익 - 건자재	QoQ(%)	3Q23	0.023	백만원
영업이익 - 건자재	YoY(%)	3Q23	0.096	백만원
영업이익 - 도료	도료 영업이익	3Q23	60	백만원
영업이익 - 도료	영업이익률(%)	3Q23	0.014	백만원
영업이익 - 도료	QoQ(%)	3Q23	0.027	백만원
영업이익 - 도료	YoY(%)	3Q23	0.18	백만원
영업이익 - 기타	기타 영업이익	3Q23	3	백만원
영업이익 - 기타	영업이익률(%)	3Q23	0.002	백만원
영업이익 - 기타	QoQ(%)	3Q23	-0.063	백만원
영업이익 - 기타	YoY(%)	3Q23	-0.007	백만원
당기순이익	당기순이익 (총계)	3Q23	11	백만원
당기순이익	당기순익률(%)	3Q23	0.001	백만원
당기순이익	QoQ(%)	3Q23	-0.083	백만원
당기순이익	YoY(%)	3Q23	 흑자전환 	백만원
당기순이익	지배순이익	3Q23	47	백만원
매출액	매출액 (총계)	4Q23	"1,582"	백만원
매출액	QoQ(%)	4Q23	0	백만원
매출액	YoY(%)	4Q23	-0.009	백만원
매출액	실리콘	4Q23	684	백만원
매출액	건자재	4Q23	295	백만원
매출액	도료	4Q23	454	백만원
매출액	기타	4Q23	150	백만원
영업이익	영업이익 (총계)	4Q23	58	백만원
영업이익	영업이익률(%)	4Q23	0.004	백만원
영업이익	QoQ(%)	4Q23	-0.036	백만원
영업이익	YoY(%)	4Q23	-0.04	백만원
영업이익 - 실리콘	실리콘 영업이익	4Q23	-42	백만원
영업이익 - 실리콘	영업이익률(%)	4Q23	-0.006	백만원
영업이익 - 실리콘	QoQ(%)	4Q23	 적자지속 	백만원
영업이익 - 실리콘	YoY(%)	4Q23	 적자전환 	백만원
영업이익 - 건자재	건자재 영업이익	4Q23	52	백만원
영업이익 - 건자재	영업이익률(%)	4Q23	0.018	백만원
영업이익 - 건자재	QoQ(%)	4Q23	0.01	백만원
영업이익 - 건자재	YoY(%)	4Q23	0.074	백만원
영업이익 - 도료	도료 영업이익	4Q23	47	백만원
영업이익 - 도료	영업이익률(%)	4Q23	0.01	백만원
영업이익 - 도료	QoQ(%)	4Q23	-0.002	백만원
영업이익 - 도료	YoY(%)	4Q23	0.117	백만원
