구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기말,전기말,전전기말
ifrs_AssetsAbstract자산 [abstract],자산,1,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,
ifrs_CurrentAssets   I. 유동자산,   유동자산,1-1,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_CurrentAssets,   I. 유동자산,"1,775,142,347,472","1,890,609,797,572","1,644,438,998,649"
ifrs_CashAndCashEquivalents      현금및현금성자산,      현금및현금성자산,1-1-01,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_CashAndCashEquivalents,      현금및현금성자산,"423,784,746,043","507,290,803,343","313,071,833,409"
entity00105271_udf_BS_201543175423177_CurrentAssets      단기금융상품,      단기금융상품,1-1-02,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201543175423177_CurrentAssets,      단기금융상품,"150,000,000,000","147,300,000,000","130,000,000,000"
ifrs_TradeAndOtherCurrentReceivables      매출채권,      매출채권,1-1-03,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_TradeAndOtherCurrentReceivables,      매출채권,"696,908,934,848","759,541,679,018","712,743,446,820"
entity00105271_udf_BS_201152693926218_CurrentAssets      기타채권,      기타채권,1-1-04,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152693926218_CurrentAssets,      기타채권,"33,510,061,061","27,621,833,459","23,159,637,269"
entity00105271_udf_BS_201152693945937_CurrentAssets      선급금,      선급금,1-1-06,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152693945937_CurrentAssets,      선급금,"22,670,985,175","13,743,639,780","12,788,414,449"
entity00105271_udf_BS_201152693942703_CurrentAssets      선급비용,      선급비용,1-1-07,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152693942703_CurrentAssets,      선급비용,"5,206,648,451","6,222,246,506","5,412,044,289"
entity00105271_udf_BS_201152694051531_CurrentAssets      유동만기보유금융자산,      기타유동금융자산,1-1-08,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152694051531_CurrentAssets,      유동만기보유금융자산,"1,384,314,733","1,470,078,050","278,252,071"
ifrs_Inventories      재고자산,      재고자산,1-1-10,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_Inventories,      재고자산,"441,676,657,161","427,419,517,416","446,985,370,342"
ifrs_NoncurrentAssets   Ⅱ. 비유동자산,   비유동자산,1-3,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_NoncurrentAssets,   Ⅱ. 비유동자산,"7,134,834,097,507","6,970,795,839,063","6,746,639,322,941"
dart_LongTermTradeAndOtherNonCurrentReceivablesGross      장기매출채권,      장기매출채권,1-3-01,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,      장기매출채권,"5,165,862,246","2,981,619,842","7,931,753,948"
entity00105271_udf_BS_20115269500687_NoncurrentAssets      기타채권,      기타채권,1-3-03,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_20115269500687_NoncurrentAssets,      기타채권,"82,043,003,651","83,433,936,462","58,501,547,097"
entity00105271_udf_BS_201152695016343_NoncurrentAssets      매도가능금융자산,      기타비유동금융자산,1-3-04,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152695016343_NoncurrentAssets,      매도가능금융자산,"3,281,827,215,969","3,149,289,928,803","3,090,955,729,830"
entity00105271_udf_BS_201152695012812_NoncurrentAssets      만기보유금융자산,      기타비유동금융자산,1-3-04,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152695012812_NoncurrentAssets,      만기보유금융자산,"7,726,397,787","7,680,490,152","3,329,817,693"
entity00105271_udf_BS_20115269501993_NoncurrentAssets      관계기업투자및공동기업투자,      관계기업 및 공동기업투자,1-3-05,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_20115269501993_NoncurrentAssets,      관계기업투자및공동기업투자,"292,389,749,463","292,389,749,463","256,557,674,198"
entity00105271_udf_BS_201152695017765_NoncurrentAssets      종속기업투자,      종속기업투자,1-3-06,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152695017765_NoncurrentAssets,      종속기업투자,"449,148,266,576","449,148,266,576","449,148,266,576"
entity00105271_udf_BS_201152695011125_NoncurrentAssets      비유동파생상품자산,      기타비유동금융자산,1-3-04,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152695011125_NoncurrentAssets,      비유동파생상품자산,"12,267,263,823","20,029,475,790","18,059,925,692"
ifrs_PropertyPlantAndEquipment      유형자산,      유형자산,1-3-08,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_PropertyPlantAndEquipment,      유형자산,"2,490,558,228,704","2,443,591,079,338","2,406,502,994,816"
ifrs_IntangibleAssetsOtherThanGoodwill      영업권 이외의 무형자산,      무형자산,1-3-09,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_IntangibleAssetsOtherThanGoodwill,      영업권 이외의 무형자산,"11,635,481,237","11,812,135,718","12,629,395,603"
ifrs_InvestmentProperty      투자부동산,      투자부동산,1-3-10,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_InvestmentProperty,      투자부동산,"500,118,463,993","500,282,316,587","443,022,217,488"
entity00105271_udf_BS_201731013133567_NoncurrentAssets      순확정급여자산,      순확정급여자산,1-3-11,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201731013133567_NoncurrentAssets,      순확정급여자산,"1,954,164,058","10,156,840,332",
ifrs_Assets   자산총계,   자산총계,1-4,"재무상태표, 유동/비유동법-별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_Assets,   자산총계,"8,909,976,444,979","8,861,405,636,635","8,391,078,321,590"
