항목,기간,수치,단위
영업이익,2021-12-31," 388,770,000,000 ",원
감가상각비,2021-12-31," 346,750,000,000 ",원
무형자산상각비,2021-12-31," 37,516,766,975 ",원
사용권자산상각비,2021-12-31," 24,186,606,105 ",원
대손상각비,2021-12-31,"-3,143,344,574 ",원
퇴직급여,2021-12-31," 84,994,486,345 ",원
EBITDA,2021-12-31," 879,074,000,000 ",원
당기순이익,2021-12-31,"-53,211,168,479 ",원
계속영업당기순손익,2021-12-31,"-53,211,168,479 ",원
자산총계,2021-12-31," 12,878,900,000,000 ",원
총차입금,2021-12-31," 4,691,760,000,000 ",원
차입금,2021-12-31," 4,588,860,000,000 ",원
리스부채,2021-12-31," 102,900,000,000 ",원
순차입금,2021-12-31," 3,544,920,000,000 ",원
현금및현금성자산,2021-12-31," 541,201,000,000 ",원
단기금융상품,2021-12-31," 604,745,000,000 ",원
조정,2021-12-31," 900,000,000 ",원
영업이익률,2021-12-31,6.60,%
EBITDA/매출액,2021-12-31,15.00,%
EBITDA/이자비용,2021-12-31,6.20,%
이자비용,2021-12-31," 142,369,000,000 ",원
총차입금/EBITDA(배),2021-12-31,5.30,배
순차입금/EBITDA(배),2021-12-31,4.00,배
부채비율,2021-12-31,139.60,%
부채총계,2021-12-31," 7,502,800,000,000 ",원
자본총계,2021-12-31," 5,376,070,000,000 ",원
차입금의존도,2021-12-31,36.40,%
OCF(총영업현금흐름),2021-12-31," 666,806,000,000 ",원
영업활동현금흐름,2021-12-31," 424,043,000,000 ",원
   영업활동으로인한자산ㆍ부채의변동,2021-12-31,"-347,285,000,000 ",원
   이자수취,2021-12-31," 6,378,040,084 ",원
   배당금수취,2021-12-31," 44,866,782,410 ",원
   이자지급,2021-12-31," 155,767,000,000 ",원
(-)운전자본투자,2021-12-31,"-347,285,000,000 ",원
NCF(순영업현금흐름),2021-12-31," 319,522,000,000 ",원
(-)자본적지출,2021-12-31," 259,280,000,000 ",원
   유형자산의 취득,2021-12-31," 254,402,000,000 ",원
   무형자산의 취득,2021-12-31," 4,877,377,737 ",원
(-)배당금지급,2021-12-31,"-45,948,918,000 ",원
FCF(잉여현금흐름),2021-12-31," 14,292,951,400 ",원
영업이익,2021-12-31," 388,770,000,000 ",원
이자순손익,2021-12-31,"-134,425,000,000 ",원
이자수익,2021-12-31," 7,943,512,245 ",원
이자비용,2021-12-31,"-142,369,000,000 ",원
배당순손익,2021-12-31," 44,866,782,410 ",원
외환관련순손익,2021-12-31," 23,411,895,000 ",원
외환차익,2021-12-31," 89,562,026,000 ",원
외화환산이익,2021-12-31," 81,213,064,000 ",원
외환차손,2021-12-31,"-72,839,860,000 ",원
외화환산손실,2021-12-31,"-74,523,335,000 ",원
파생상품관련순손익,2021-12-31," 70,835,191,484 ",원
파생상품평가이익,2021-12-31," 71,063,090,818 ",원
파생상품거래이익,2021-12-31," 878,003,585 ",원
파생상품거래손실,2021-12-31,"-1,105,902,919 ",원
투자자산관련순손익,2021-12-31,"-371,733,000,000 ",원
당기손익-공정가치측정금융자산평가이익,2021-12-31," 14,000,469,135 ",원
당기손익-공정가치측정금융자산처분이익,2021-12-31," 11,609,267,509 ",원
당기손익-공정가치측정금융자산평가손실,2021-12-31,"-397,338,000,000 ",원
당기손익-공정가치측정금융자산처분손실,2021-12-31,"-4,021,197 ",원
종속/관계기업지분관련순손익,2021-12-31," 193,802,000,000 ",원
지분법손익,2021-12-31," 191,595,000,000 ",원
지분법적용 투자주식손상차손,2021-12-31," 2,207,475,110 ",원
유무형리스자산관련순손익,2021-12-31,"-95,295,676,000 ",원
유형자산처분이익,2021-12-31," 19,773,896,000 ",원
유형자산손상차손환입,2021-12-31," 3,979,083,000 ",원
무형자산손상차손환입,2021-12-31," 1,558,607,000 ",원
무형자산처분이익,2021-12-31," 2,000,000 ",원
유형자산처분손실,2021-12-31,"-16,286,349,000 ",원
유형자산손상차손,2021-12-31,"-102,372,000,000 ",원
무형자산처분손실,2021-12-31,"-1,945,352,000 ",원
사용권자산처분손실,2021-12-31,"-5,252,000 ",원
기타 (+유무형리스자산관련순손익),2021-12-31,"-7,378,586,000 ",원
세전손익,2021-12-31," 112,854,000,000 ",원
매출액,2022-03-31," 1,637,580,000,000 ",원
영업이익,2022-03-31," 149,408,000,000 ",원
감가상각비,2022-03-31," 87,146,613,318 ",원
무형자산상각비,2022-03-31," 9,633,327,482 ",원
사용권자산상각비,2022-03-31," 6,904,183,716 ",원
대손상각비,2022-03-31," 267,217,980 ",원
퇴직급여,2022-03-31," 24,391,809,237 ",원
EBITDA,2022-03-31," 277,751,000,000 ",원
당기순이익,2022-03-31," 32,197,301,757 ",원
자산총계,2022-03-31," 13,419,300,000,000 ",원
총차입금,2022-03-31," 5,180,400,000,000 ",원
차입금,2022-03-31," 5,066,720,000,000 ",원
리스부채,2022-03-31," 113,687,000,000 ",원
순차입금,2022-03-31," 3,725,140,000,000 ",원
현금및현금성자산,2022-03-31," 328,396,000,000 ",원
단기금융상품,2022-03-31," 1,125,970,000,000 ",원
조정,2022-03-31," 900,000,000 ",원
영업이익률,2022-03-31,9.10,%
EBITDA/매출액,2022-03-31,17.00,%
EBITDA/이자비용,2022-03-31,7.70,%
이자비용,2022-03-31," 35,914,986,276 ",원
총차입금/EBITDA(배),2022-03-31,4.70,배
순차입금/EBITDA(배),2022-03-31,3.40,배
부채비율,2022-03-31,150.50,%
부채총계,2022-03-31," 8,061,670,000,000 ",원
자본총계,2022-03-31," 5,357,630,000,000 ",원
차입금의존도,2022-03-31,38.60,%
OCF(총영업현금흐름),2022-03-31," 192,396,000,000 ",원
영업활동현금흐름,2022-03-31,"-76,357,971,358 ",원
   영업활동으로인한자산ㆍ부채의변동,2022-03-31,"-312,685,000,000 ",원
   이자수취,2022-03-31," 530,491,755 ",원
   배당금수취,2022-03-31," 9,240,000 ",원
   이자지급,2022-03-31," 44,471,097,593 ",원
(-)운전자본투자,2022-03-31,"-312,685,000,000 ",원
NCF(순영업현금흐름),2022-03-31,"-120,289,000,000 ",원
(-)자본적지출,2022-03-31," 72,627,462,113 ",원
   유형자산의 취득,2022-03-31," 72,229,700,614 ",원
   무형자산의 취득,2022-03-31," 397,761,499 ",원
FCF(잉여현금흐름),2022-03-31,"-192,917,000,000 ",원
영업이익,2022-03-31," 149,408,000,000 ",원
세전손익,2022-03-31," 84,835,796,336 ",원
매출액,2022-06-30," 3,393,460,000,000 ",원
영업이익,2022-06-30," 313,641,000,000 ",원
감가상각비,2022-06-30," 165,594,000,000 ",원
무형자산상각비,2022-06-30," 20,416,759,348 ",원
사용권자산상각비,2022-06-30," 13,400,067,364 ",원
대손상각비,2022-06-30,"-760,230,411 ",원
퇴직급여,2022-06-30," 48,184,375,093 ",원
EBITDA,2022-06-30," 560,476,000,000 ",원
당기순이익,2022-06-30," 214,397,000,000 ",원
자산총계,2022-06-30," 13,933,000,000,000 ",원
총차입금,2022-06-30," 5,485,130,000,000 ",원
차입금,2022-06-30," 5,369,420,000,000 ",원
리스부채,2022-06-30," 115,713,000,000 ",원
순차입금,2022-06-30," 3,883,050,000,000 ",원
현금및현금성자산,2022-06-30," 394,154,000,000 ",원
단기금융상품,2022-06-30," 1,207,030,000,000 ",원
조정,2022-06-30," 900,000,000 ",원
영업이익률,2022-06-30,9.20,%
EBITDA/매출액,2022-06-30,16.50,%
EBITDA/이자비용,2022-06-30,6.90,%
이자비용,2022-06-30," 80,985,239,855 ",원
총차입금/EBITDA(배),2022-06-30,4.90,배
순차입금/EBITDA(배),2022-06-30,3.50,배
부채비율,2022-06-30,150.30,%
부채총계,2022-06-30," 8,366,460,000,000 ",원
자본총계,2022-06-30," 5,566,570,000,000 ",원
차입금의존도,2022-06-30,39.40,%
OCF(총영업현금흐름),2022-06-30," 466,867,000,000 ",원
영업활동현금흐름,2022-06-30,"-40,044,012,159 ",원
   영업활동으로인한자산ㆍ부채의변동,2022-06-30,"-509,216,000,000 ",원
   이자수취,2022-06-30," 1,260,120,972 ",원
   배당금수취,2022-06-30," 77,806,866,798 ",원
   이자지급,2022-06-30," 81,372,041,144 ",원
(-)운전자본투자,2022-06-30,"-509,216,000,000 ",원
NCF(순영업현금흐름),2022-06-30,"-42,349,065,533 ",원
(-)자본적지출,2022-06-30," 162,535,000,000 ",원
   유형자산의 취득,2022-06-30," 159,342,000,000 ",원
   무형자산의 취득,2022-06-30," 3,193,891,197 ",원
(-)배당금지급,2022-06-30,"-45,948,918,000 ",원
FCF(잉여현금흐름),2022-06-30,"-250,833,000,000 ",원
영업이익,2022-06-30," 313,641,000,000 ",원
이자순손익,2022-06-30,"-78,454,594,051 ",원
이자수익,2022-06-30," 2,530,645,949 ",원
이자비용,2022-06-30,"-80,985,240,000 ",원
배당순손익,2022-06-30," 76,275,384,998 ",원
외환관련순손익,2022-06-30," 20,611,651,000 ",원
외환차익,2022-06-30," 56,165,826,000 ",원
외화환산이익,2022-06-30," 76,760,513,000 ",원
외환차손,2022-06-30,"-37,792,274,000 ",원
외화환산손실,2022-06-30,"-74,522,414,000 ",원
파생상품관련순손익,2022-06-30," 24,772,903,008 ",원
파생상품평가이익,2022-06-30," 26,433,161,947 ",원
파생상품거래이익,2022-06-30," 1,960,530,061 ",원
파생상품평가손실,2022-06-30,"-892,520,000 ",원
파생상품거래손실,2022-06-30,"-2,728,269,000 ",원
투자자산관련순손익,2022-06-30," 4,490,498,436 ",원
당기손익-공정가치측정금융자산평가이익,2022-06-30," 71,973,266,287 ",원
당기손익-공정가치측정금융자산처분이익,2022-06-30," 10,899,249,149 ",원
당기손익-공정가치측정금융자산평가손실,2022-06-30,"-62,718,772,000 ",원
당기손익-공정가치측정금융자산처분손실,2022-06-30,"-15,663,245,000 ",원
종속/관계기업지분관련순손익,2022-06-30," 21,469,238,686 ",원
지분법손익,2022-06-30," 21,469,238,686 ",원
유무형리스자산관련순손익,2022-06-30,"-1,810,798,000 ",원
유형자산처분이익,2022-06-30," 1,674,418,000 ",원
사용권자산처분이익,2022-06-30," 15,035,000 ",원
유형자산손상차손환입,2022-06-30," 8,149,367,000 ",원
유형자산처분손실,2022-06-30,"-9,304,966,000 ",원
유형자산손상차손,2022-06-30,"-399,222,000 ",원
사용권자산손상차손,2022-06-30,"-78,000 ",원
무형자산처분손실,2022-06-30,"-1,945,352,000 ",원
기타 (+유무형리스자산관련순손익),2022-06-30,"-11,320,463,000 ",원
세전손익,2022-06-30," 364,536,000,000 ",원
매출액,2022-09-30," 5,133,590,000,000 ",원
영업이익,2022-09-30," 410,021,000,000 ",원
감가상각비,2022-09-30," 271,947,000,000 ",원
무형자산상각비,2022-09-30," 32,360,266,900 ",원
사용권자산상각비,2022-09-30," 20,192,967,926 ",원
대손상각비,2022-09-30,"-1,813,370,862 ",원
퇴직급여,2022-09-30," 64,694,628,584 ",원
EBITDA,2022-09-30," 797,403,000,000 ",원
당기순이익,2022-09-30,"-50,944,715,047 ",원
자산총계,2022-09-30," 13,588,100,000,000 ",원
총차입금,2022-09-30," 5,291,350,000,000 ",원
차입금,2022-09-30," 5,176,130,000,000 ",원
리스부채,2022-09-30," 115,222,000,000 ",원
순차입금,2022-09-30," 4,100,430,000,000 ",원
현금및현금성자산,2022-09-30," 467,291,000,000 ",원
단기금융상품,2022-09-30," 722,732,000,000 ",원
조정,2022-09-30," 900,000,000 ",원
영업이익률,2022-09-30,8.00,%
EBITDA/매출액,2022-09-30,15.50,%
EBITDA/이자비용,2022-09-30,6.20,%
이자비용,2022-09-30," 128,526,000,000 ",원
총차입금/EBITDA(배),2022-09-30,5.00,배
순차입금/EBITDA(배),2022-09-30,3.90,배
부채비율,2022-09-30,150.50,%
부채총계,2022-09-30," 8,164,670,000,000 ",원
자본총계,2022-09-30," 5,423,440,000,000 ",원
차입금의존도,2022-09-30,38.90,%
OCF(총영업현금흐름),2022-09-30," 621,105,000,000 ",원
영업활동현금흐름,2022-09-30," 166,892,000,000 ",원
   영업활동으로인한자산ㆍ부채의변동,2022-09-30,"-495,041,000,000 ",원
   이자수취,2022-09-30," 2,641,439,638 ",원
   배당금수취,2022-09-30," 78,419,432,870 ",원
   이자지급,2022-09-30," 121,889,000,000 ",원
(-)운전자본투자,2022-09-30,"-495,041,000,000 ",원
NCF(순영업현금흐름),2022-09-30," 126,064,000,000 ",원
(-)자본적지출,2022-09-30," 267,592,000,000 ",원
   유형자산의 취득,2022-09-30," 261,035,000,000 ",원
   무형자산의 취득,2022-09-30," 6,557,513,066 ",원
(-)배당금지급,2022-09-30,"-53,303,089,000 ",원
FCF(잉여현금흐름),2022-09-30,"-194,832,000,000 ",원
영업이익,2022-09-30," 410,021,000,000 ",원
이자순손익,2022-09-30,"-123,680,000,000 ",원
이자수익,2022-09-30," 4,846,535,000 ",원
이자비용,2022-09-30,"-128,526,000,000 ",원
배당순손익,2022-09-30," 76,880,011,000 ",원
외환관련순손익,2022-09-30," 33,317,546,000 ",원
외환차익,2022-09-30," 100,812,000,000 ",원
외화환산이익,2022-09-30," 87,352,517,000 ",원
외환차손,2022-09-30,"-63,221,274,000 ",원
외화환산손실,2022-09-30,"-91,625,515,000 ",원
파생상품관련순손익,2022-09-30," 40,207,420,000 ",원
파생상품평가이익,2022-09-30," 34,558,454,000 ",원
파생상품거래이익,2022-09-30," 9,525,555,000 ",원
파생상품평가손실,2022-09-30,"-581,166,000 ",원
파생상품거래손실,2022-09-30,"-3,295,423,000 ",원
투자자산관련순손익,2022-09-30,"-372,993,000,000 ",원
당기손익-공정가치측정금융자산평가이익,2022-09-30," 8,793,416,000 ",원
당기손익-공정가치측정금융자산처분이익,2022-09-30," 20,888,534,000 ",원
당기손익-공정가치측정금융자산평가손실,2022-09-30,"-387,012,000,000 ",원
당기손익-공정가치측정금융자산처분손실,2022-09-30,"-15,663,280,000 ",원
종속/관계기업지분관련순손익,2022-09-30," 21,420,069,359 ",원
지분법손익,2022-09-30," 21,420,069,359 ",원
유무형리스자산관련순손익,2022-09-30," 107,676,000 ",원
유형자산처분이익,2022-09-30," 1,852,266,000 ",원
사용권자산처분이익,2022-09-30," 16,389,000 ",원
유형자산손상차손환입,2022-09-30," 8,859,730,000 ",원
무형자산처분이익,2022-09-30," 91,757,000 ",원
유형자산처분손실,2022-09-30,"-9,938,658,000 ",원
유형자산손상차손,2022-09-30,"-407,638,000 ",원
무형자산처분손실,2022-09-30,"-364,802,000 ",원
사용권자산처분손실,2022-09-30,"-1,368,000 ",원
기타 (+유무형리스자산관련순손익),2022-09-30,"-23,873,312,000 ",원
세전손익,2022-09-30," 61,407,627,928 ",원
매출액,2022-12-31," 6,774,790,000,000 ",원
영업이익,2022-12-31," 467,662,000,000 ",원
감가상각비,2022-12-31," 362,623,000,000 ",원
무형자산상각비,2022-12-31," 43,377,772,888 ",원
사용권자산상각비,2022-12-31," 27,630,730,526 ",원
대손상각비,2022-12-31,"-103,064,007 ",원
퇴직급여,2022-12-31," 83,798,411,648 ",원
EBITDA,2022-12-31," 984,988,000,000 ",원
당기순이익,2022-12-31," 28,661,656,966 ",원
계속영업당기순손익,2022-12-31," 28,661,656,966 ",원
자산총계,2022-12-31," 13,118,500,000,000 ",원
총차입금,2022-12-31," 5,022,280,000,000 ",원
차입금,2022-12-31," 4,881,670,000,000 ",원
리스부채,2022-12-31," 140,612,000,000 ",원
순차입금,2022-12-31," 3,836,210,000,000 ",원
현금및현금성자산,2022-12-31," 776,748,000,000 ",원
단기금융상품,2022-12-31," 408,424,000,000 ",원
조정,2022-12-31," 900,000,000 ",원
영업이익률,2022-12-31,6.90,%
EBITDA/매출액,2022-12-31,14.50,%
EBITDA/이자비용,2022-12-31,5.50,%
이자비용,2022-12-31," 178,331,000,000 ",원
총차입금/EBITDA(배),2022-12-31,5.10,배
순차입금/EBITDA(배),2022-12-31,3.90,배
부채비율,2022-12-31,136.30,%
부채총계,2022-12-31," 7,567,350,000,000 ",원
자본총계,2022-12-31," 5,551,140,000,000 ",원
차입금의존도,2022-12-31,38.30,%
OCF(총영업현금흐름),2022-12-31," 745,970,000,000 ",원
영업활동현금흐름,2022-12-31," 384,566,000,000 ",원
   영업활동으로인한자산ㆍ부채의변동,2022-12-31,"-445,096,000,000 ",원
   이자수취,2022-12-31," 6,637,896,689 ",원
   배당금수취,2022-12-31," 78,419,432,870 ",원
   이자지급,2022-12-31," 168,750,000,000 ",원
(-)운전자본투자,2022-12-31,"-445,096,000,000 ",원
NCF(순영업현금흐름),2022-12-31," 300,873,000,000 ",원
(-)자본적지출,2022-12-31," 393,032,000,000 ",원
   유형자산의 취득,2022-12-31," 384,742,000,000 ",원
   무형자산의 취득,2022-12-31," 8,290,037,961 ",원
(-)배당금지급,2022-12-31,"-53,303,089,000 ",원
FCF(잉여현금흐름),2022-12-31,"-145,461,000,000 ",원
영업이익,2022-12-31," 467,662,000,000 ",원
이자순손익,2022-12-31,"-167,731,000,000 ",원
이자수익,2022-12-31," 10,600,038,000 ",원
이자비용,2022-12-31,"-178,331,000,000 ",원
배당순손익,2022-12-31," 76,887,951,000 ",원
외환관련순손익,2022-12-31,"-10,110,312,000 ",원
외환차익,2022-12-31," 137,203,000,000 ",원
외화환산이익,2022-12-31," 39,999,929,000 ",원
외환차손,2022-12-31,"-102,922,000,000 ",원
외화환산손실,2022-12-31,"-84,391,124,000 ",원
파생상품관련순손익,2022-12-31,"-17,418,579,000 ",원
파생상품평가이익,2022-12-31," 10,219,880,000 ",원
파생상품거래이익,2022-12-31," 14,684,267,000 ",원
파생상품평가손실,2022-12-31,"-38,504,740,000 ",원
파생상품거래손실,2022-12-31,"-3,817,986,000 ",원
투자자산관련순손익,2022-12-31,"-226,376,000,000 ",원
당기손익-공정가치측정금융자산평가이익,2022-12-31," 5,256,320,000 ",원
당기손익-공정가치측정금융자산처분이익,2022-12-31," 24,778,230,000 ",원
당기손익-공정가치측정금융자산평가손실,2022-12-31,"-240,735,000,000 ",원
당기손익-공정가치측정금융자산처분손실,2022-12-31,"-15,674,918,000 ",원
종속/관계기업지분관련순손익,2022-12-31," 25,053,021,457 ",원
지분법손익,2022-12-31," 25,053,021,457 ",원
유무형리스자산관련순손익,2022-12-31,"-64,505,865,000 ",원
유형자산처분이익,2022-12-31," 2,556,433,000 ",원
사용권자산처분이익,2022-12-31," 21,355,000 ",원
유형자산손상차손환입,2022-12-31," 1,860,977,000 ",원
무형자산손상차손환입,2022-12-31," 113,091,000 ",원
무형자산처분이익,2022-12-31," 91,757,000 ",원
유형자산처분손실,2022-12-31,"-11,196,311,000 ",원
유형자산손상차손,2022-12-31,"-52,526,946,000 ",원
사용권자산손상차손,2022-12-31,"-1,490,334,000 ",원
무형자산처분손실,2022-12-31,"-374,937,000 ",원
무형자산손상차손,2022-12-31,"-87,171,000 ",원
사용권자산처분손실,2022-12-31,"-1,368,000 ",원
영업권손상차손,2022-12-31,"-3,472,411,000 ",원
기타 (+유무형리스자산관련순손익),2022-12-31," 28,493,096,000 ",원
세전손익,2022-12-31," 111,954,000,000 ",원
매출액,2023-03-31," 1,564,940,000,000 ",원
영업이익,2023-03-31," 75,827,748,802 ",원
감가상각비,2023-03-31," 88,366,788,397 ",원
무형자산상각비,2023-03-31," 15,455,790,648 ",원
사용권자산상각비,2023-03-31," 7,069,896,232 ",원
대손상각비,2023-03-31," 1,289,994,897 ",원
퇴직급여,2023-03-31," 18,190,342,722 ",원
EBITDA,2023-03-31," 206,201,000,000 ",원
당기순이익,2023-03-31,"-15,452,013,086 ",원
자산총계,2023-03-31," 13,304,900,000,000 ",원
총차입금,2023-03-31," 5,236,610,000,000 ",원
차입금,2023-03-31," 5,096,570,000,000 ",원
리스부채,2023-03-31," 140,034,000,000 ",원
순차입금,2023-03-31," 3,916,480,000,000 ",원
현금및현금성자산,2023-03-31," 830,351,000,000 ",원
단기금융상품,2023-03-31," 488,875,000,000 ",원
조정,2023-03-31," 900,000,000 ",원
영업이익률,2023-03-31,4.80,%
EBITDA/매출액,2023-03-31,13.20,%
EBITDA/이자비용,2023-03-31,4.00,%
이자비용,2023-03-31," 51,779,300,541 ",원
총차입금/EBITDA(배),2023-03-31,6.30,배
순차입금/EBITDA(배),2023-03-31,4.70,배
부채비율,2023-03-31,140.40,%
부채총계,2023-03-31," 7,771,260,000,000 ",원
자본총계,2023-03-31," 5,533,650,000,000 ",원
차입금의존도,2023-03-31,39.40,%
OCF(총영업현금흐름),2023-03-31," 108,417,000,000 ",원
영업활동현금흐름,2023-03-31," 19,425,330,231 ",원
   영업활동으로인한자산ㆍ부채의변동,2023-03-31,"-128,279,000,000 ",원
   이자수취,2023-03-31," 9,399,698,142 ",원
   배당금수취,2023-03-31," 143,500,000 ",원
   이자지급,2023-03-31," 48,830,069,488 ",원
(-)운전자본투자,2023-03-31,"-128,279,000,000 ",원
NCF(순영업현금흐름),2023-03-31,"-19,861,541,115 ",원
(-)자본적지출,2023-03-31," 120,788,000,000 ",원
   유형자산의 취득,2023-03-31," 114,720,000,000 ",원
   무형자산의 취득,2023-03-31," 6,067,449,393 ",원
FCF(잉여현금흐름),2023-03-31,"-140,649,000,000 ",원
영업이익,2023-03-31," 75,827,748,802 ",원
세전손익,2023-03-31," 28,085,267,844 ",원
매출액,2023-06-30," 3,153,290,000,000 ",원
영업이익,2023-06-30," 166,211,000,000 ",원
감가상각비,2023-06-30," 175,657,000,000 ",원
무형자산상각비,2023-06-30," 26,697,246,540 ",원
사용권자산상각비,2023-06-30," 14,104,140,222 ",원
대손상각비,2023-06-30," 4,364,318,290 ",원
퇴직급여,2023-06-30," 35,187,298,621 ",원
EBITDA,2023-06-30," 422,222,000,000 ",원
당기순이익,2023-06-30," 51,871,870,062 ",원
자산총계,2023-06-30," 13,404,800,000,000 ",원
총차입금,2023-06-30," 5,413,390,000,000 ",원
차입금,2023-06-30," 5,280,830,000,000 ",원
리스부채,2023-06-30," 132,559,000,000 ",원
순차입금,2023-06-30," 3,898,650,000,000 ",원
현금및현금성자산,2023-06-30," 973,610,000,000 ",원
단기금융상품,2023-06-30," 540,230,000,000 ",원
조정,2023-06-30," 900,000,000 ",원
영업이익률,2023-06-30,5.30,%
EBITDA/매출액,2023-06-30,13.40,%
EBITDA/이자비용,2023-06-30,3.40,%
이자비용,2023-06-30," 125,281,000,000 ",원
총차입금/EBITDA(배),2023-06-30,6.40,배
순차입금/EBITDA(배),2023-06-30,4.60,배
부채비율,2023-06-30,142.60,%
부채총계,2023-06-30," 7,879,080,000,000 ",원
자본총계,2023-06-30," 5,525,690,000,000 ",원
차입금의존도,2023-06-30,40.40,%
OCF(총영업현금흐름),2023-06-30," 282,434,000,000 ",원
영업활동현금흐름,2023-06-30," 284,586,000,000 ",원
   영업활동으로인한자산ㆍ부채의변동,2023-06-30,"-50,891,226,015 ",원
   이자수취,2023-06-30," 16,708,173,719 ",원
   배당금수취,2023-06-30," 45,126,834,400 ",원
   이자지급,2023-06-30," 114,877,000,000 ",원
(-)운전자본투자,2023-06-30,"-50,891,226,015 ",원
NCF(순영업현금흐름),2023-06-30," 231,543,000,000 ",원
(-)자본적지출,2023-06-30," 193,841,000,000 ",원
   유형자산의 취득,2023-06-30," 185,709,000,000 ",원
   무형자산의 취득,2023-06-30," 8,132,147,566 ",원
(-)배당금지급,2023-06-30," 51,479,197,000 ",원
FCF(잉여현금흐름),2023-06-30," 89,181,457,224 ",원
영업이익,2023-06-30," 166,211,000,000 ",원
이자순손익,2023-06-30,"-110,458,000,000 ",원
이자수익,2023-06-30," 14,822,796,000 ",원
이자비용,2023-06-30,"-125,281,000,000 ",원
배당순손익,2023-06-30," 43,826,683,000 ",원
외환관련순손익,2023-06-30,"-6,512,890,000 ",원
외환차익,2023-06-30," 53,049,324,000 ",원
외화환산이익,2023-06-30," 99,604,677,000 ",원
외환차손,2023-06-30,"-49,659,296,000 ",원
외화환산손실,2023-06-30,"-109,508,000,000 ",원
파생상품관련순손익,2023-06-30," 47,585,434,000 ",원
파생상품평가이익,2023-06-30," 44,563,278,000 ",원
파생상품거래이익,2023-06-30," 5,237,800,000 ",원
파생상품평가손실,2023-06-30,"-1,083,532,000 ",원
파생상품거래손실,2023-06-30,"-1,132,112,000 ",원
투자자산관련순손익,2023-06-30," 33,347,529,000 ",원
당기손익-공정가치측정금융자산평가이익,2023-06-30," 153,090,000,000 ",원
당기손익-공정가치측정금융자산처분이익,2023-06-30," 27,556,018,000 ",원
당기손익-공정가치측정금융자산평가손실,2023-06-30,"-146,790,000,000 ",원
당기손익-공정가치측정금융자산처분손실,2023-06-30,"-528,441,000 ",원
종속/관계기업지분관련순손익,2023-06-30,"-19,304,862,734 ",원
지분법손익,2023-06-30,"-19,304,862,734 ",원
유무형리스자산관련순손익,2023-06-30," 9,180,924,000 ",원
유형자산처분이익,2023-06-30," 17,050,365,000 ",원
사용권자산처분이익,2023-06-30," 18,077,000 ",원
유형자산손상차손환입,2023-06-30," 896,975,000 ",원
유형자산처분손실,2023-06-30,"-5,304,572,000 ",원
유형자산손상차손,2023-06-30,"-3,260,087,000 ",원
무형자산처분손실,2023-06-30,"-219,834,000 ",원
기타 (+유무형리스자산관련순손익),2023-06-30,"-17,407,595,000 ",원
세전손익,2023-06-30," 146,449,000,000 ",원
매출액,2023-09-30," 4,706,010,000,000 ",원
영업이익,2023-09-30," 254,641,000,000 ",원
감가상각비,2023-09-30," 264,211,000,000 ",원
무형자산상각비,2023-09-30," 38,088,101,904 ",원
사용권자산상각비,2023-09-30," 21,313,775,632 ",원
대손상각비,2023-09-30," 4,565,019,403 ",원
퇴직급여,2023-09-30," 52,331,063,680 ",원
EBITDA,2023-09-30," 635,150,000,000 ",원
당기순이익,2023-09-30," 63,109,834,860 ",원
자산총계,2023-09-30," 13,410,500,000,000 ",원
총차입금,2023-09-30," 5,479,580,000,000 ",원
차입금,2023-09-30," 5,349,820,000,000 ",원
리스부채,2023-09-30," 129,758,000,000 ",원
순차입금,2023-09-30," 3,933,760,000,000 ",원
현금및현금성자산,2023-09-30," 1,029,440,000,000 ",원
단기금융상품,2023-09-30," 514,967,000,000 ",원
조정,2023-09-30," 1,414,208,000 ",원
영업이익률,2023-09-30,5.40,%
EBITDA/매출액,2023-09-30,13.50,%
EBITDA/이자비용,2023-09-30,3.40,%
이자비용,2023-09-30," 188,276,000,000 ",원
총차입금/EBITDA(배),2023-09-30,6.50,배
순차입금/EBITDA(배),2023-09-30,4.60,배
부채비율,2023-09-30,144.00,%
부채총계,2023-09-30," 7,913,370,000,000 ",원
자본총계,2023-09-30," 5,497,180,000,000 ",원
차입금의존도,2023-09-30,40.90,%
OCF(총영업현금흐름),2023-09-30," 421,448,000,000 ",원
영업활동현금흐름,2023-09-30," 461,486,000,000 ",원
   영업활동으로인한자산ㆍ부채의변동,2023-09-30,"-63,659,013,736 ",원
   이자수취,2023-09-30," 24,788,259,046 ",원
   배당금수취,2023-09-30," 45,585,312,600 ",원
   이자지급,2023-09-30," 174,070,000,000 ",원
(-)운전자본투자,2023-09-30,"-63,659,013,736 ",원
NCF(순영업현금흐름),2023-09-30," 357,789,000,000 ",원
(-)자본적지출,2023-09-30," 320,395,000,000 ",원
   유형자산의 취득,2023-09-30," 311,329,000,000 ",원
   무형자산의 취득,2023-09-30," 9,066,723,322 ",원
(-)배당금지급,2023-09-30,"-58,833,368,000 ",원
FCF(잉여현금흐름),2023-09-30,"-21,439,719,851 ",원
영업이익,2023-09-30," 254,641,000,000 ",원
이자순손익,2023-09-30,"-164,400,000,000 ",원
이자수익,2023-09-30," 23,876,380,000 ",원
이자비용,2023-09-30,"-188,276,000,000 ",원
배당순손익,2023-09-30," 44,285,161,000 ",원
외환관련순손익,2023-09-30," 6,954,266,000 ",원
외환차익,2023-09-30," 72,884,925,000 ",원
외화환산이익,2023-09-30," 146,435,000,000 ",원
