분류,항목,기간,수치,단위
현금흐름표(연결),배당금수취,2023-12-31,45585312600,원
현금흐름표(연결),사업매각으로 인한 현금유입액,2023-12-31,913873157,원
현금흐름표(연결),재무활동현금흐름,2023-12-31,-1.61742E+11,원
현금흐름표(연결),단기차입금의 순증감,2023-12-31,5.5058E+11,원
현금흐름표(연결),유동성장기차입금의 상환,2023-12-31,-11095985000,원
현금흐름표(연결),장기차입금의 차입,2023-12-31,2.13816E+12,원
현금흐름표(연결),이자지급,2023-12-31,2.44394E+11,원
현금흐름표(연결),배당금지급,2023-12-31,-58833368000,원
현금흐름표(연결),사채의 발행,2023-12-31,3.1908E+11,원
현금흐름표(연결),사채의 상환,2023-12-31,6.7E+11,원
현금흐름표(연결),리스부채의 지급,2023-12-31,34749194579,원
현금흐름표(연결),장기차입금 상환,2023-12-31,-2.15049E+12,원
현금흐름표(연결),현금및현금성자산의순증가(감소),2023-12-31,2.71183E+11,원
현금흐름표(연결),기초현금및현금성자산,2023-12-31,7.76748E+11,원
현금흐름표(연결),외화표시현금및현금성자산의 환율변동효과 등,2023-12-31,-2788622760,원
현금흐름표(연결),기말현금및현금성자산,2023-12-31,1.04514E+12,원
현금흐름표(연결),영업활동현금흐름,2024-12-31,5.96801E+11,원
현금흐름표(연결),당기순이익(손실),2024-12-31,2.93295E+11,원
현금흐름표(연결),당기순이익조정을 위한 가감,2024-12-31,7.8287E+11,원
현금흐름표(연결),법인세비용,2024-12-31,1.76574E+11,원
현금흐름표(연결),이자비용,2024-12-31,3.47807E+11,원
현금흐름표(연결),이자수익,2024-12-31,36029843068,원
현금흐름표(연결),배당금수익,2024-12-31,-48520292501,원
현금흐름표(연결),금융보증비용,2024-12-31,1570292220,원
현금흐름표(연결),외화환산손실,2024-12-31,90768440509,원
현금흐름표(연결),외화환산이익,2024-12-31,1.1555E+11,원
현금흐름표(연결),파생상품평가손실,2024-12-31,1680641442,원
현금흐름표(연결),파생상품평가이익,2024-12-31,12063752856,원
현금흐름표(연결),파생상품거래손실,2024-12-31,6563806718,원
현금흐름표(연결),파생상품거래이익,2024-12-31,4736717094,원
현금흐름표(연결),당기손익인식금융자산평가손실,2024-12-31,2.58258E+11,원
현금흐름표(연결),당기손익인식금융자산평가이익,2024-12-31,3.42196E+11,원
현금흐름표(연결),금융자산처분손실,2024-12-31,399003418,원
현금흐름표(연결),금융자산처분이익,2024-12-31,11204628280,원
현금흐름표(연결),지분법손실,2024-12-31,1223062212,원
