기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,재평가이익,-908663,백만원,2025Q4|연결손익계산서|재평가이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 재평가이익 | 연결손익계산서 | 재평가이익 | 백만원,2025년 4분기 연결손익계산서 기준 재평가이익은 -908663백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,재평가잉여금,897100,백만원,2025Q4|연결손익계산서|재평가잉여금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 재평가잉여금 | 연결손익계산서 | 재평가잉여금 | 백만원,2025년 4분기 연결손익계산서 기준 재평가잉여금은 897100백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지배기업소유주지분,274837,백만원,2025Q4|연결손익계산서|지배기업소유주지분|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지배기업소유주지분 | 연결손익계산서 | 지배기업소유주지분 | 백만원,2025년 4분기 연결손익계산서 기준 지배기업소유주지분은 274837백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지배기업소유주지분,373739,백만원,2025Q4|연결손익계산서|지배기업소유주지분|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지배기업소유주지분 | 연결손익계산서 | 지배기업소유주지분 | 백만원,2025년 4분기 연결손익계산서 기준 지배기업소유주지분은 373739백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지분법손익,-4864,백만원,2025Q4|연결손익계산서|지분법손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법손익 | 연결손익계산서 | 지분법손익 | 백만원,2025년 4분기 연결손익계산서 기준 지분법손익은 -4864백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지분법이익잉여금 ?,6796,백만원,2025Q4|연결손익계산서|지분법이익잉여금 ?|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법이익잉여금 ? | 연결손익계산서 | 지분법이익잉여금 ? | 백만원,2025년 4분기 연결손익계산서 기준 지분법이익잉여금 ?은 6796백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지분법자본변동,285,백만원,2025Q4|연결손익계산서|지분법자본변동|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법자본변동 | 연결손익계산서 | 지분법자본변동 | 백만원,2025년 4분기 연결손익계산서 기준 지분법자본변동은 285백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지분법자본변동?,2915,백만원,2025Q4|연결손익계산서|지분법자본변동?|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법자본변동? | 연결손익계산서 | 지분법자본변동? | 백만원,2025년 4분기 연결손익계산서 기준 지분법자본변동?은 2915백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,총포괄손익,373739,백만원,2025Q4|연결손익계산서|총포괄손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 총포괄손익 | 연결손익계산서 | 총포괄손익 | 백만원,2025년 4분기 연결손익계산서 기준 총포괄손익은 373739백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,판매비와관리비,322188,백만원,2025Q4|연결손익계산서|판매비와관리비|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 판매비와관리비 | 연결손익계산서 | 판매비와관리비 | 백만원,2025년 4분기 연결손익계산서 기준 판매비와관리비은 322188백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,해외사업장순투자위험회피,-6348,백만원,2025Q4|연결손익계산서|해외사업장순투자위험회피|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 해외사업장순투자위험회피 | 연결손익계산서 | 해외사업장순투자위험회피 | 백만원,2025년 4분기 연결손익계산서 기준 해외사업장순투자위험회피은 -6348백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,해외사업환산손익 등,54681,백만원,2025Q4|연결손익계산서|해외사업환산손익 등|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 해외사업환산손익 등 | 연결손익계산서 | 해외사업환산손익 등 | 백만원,2025년 4분기 연결손익계산서 기준 해외사업환산손익 등은 54681백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,확정급여제도의 재측정요소,52117,백만원,2025Q4|연결손익계산서|확정급여제도의 재측정요소|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 확정급여제도의 재측정요소 | 연결손익계산서 | 확정급여제도의 재측정요소 | 백만원,2025년 4분기 연결손익계산서 기준 확정급여제도의 재측정요소은 52117백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,51248,백만원,2025Q4|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 후속기간에 당기손익으로 재분류되는 항목 | 연결손익계산서 | 후속기간에 당기손익으로 재분류되는 항목 | 백만원,2025년 4분기 연결손익계산서 기준 후속기간에 당기손익으로 재분류되는 항목은 51248백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,47655,백만원,2025Q4|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 후속기간에 당기손익으로 재분류되지 않는 항목 | 연결손익계산서 | 후속기간에 당기손익으로 재분류되지 않는 항목 | 백만원,2025년 4분기 연결손익계산서 기준 후속기간에 당기손익으로 재분류되지 않는 항목은 47655백만원이며 기준일은 2025-12-31입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,금융수익,542870,백만원,2025Q3|연결손익계산서|금융수익|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 금융수익 | 연결손익계산서 | 금융수익 | 백만원,2025년 3분기 연결손익계산서 기준 금융수익은 542870백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,금융원가,-178588,백만원,2025Q3|연결손익계산서|금융원가|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 금융원가 | 연결손익계산서 | 금융원가 | 백만원,2025년 3분기 연결손익계산서 기준 금융원가은 -178588백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,기본주당손익 (단위 : 원),44375,백만원,2025Q3|연결손익계산서|기본주당손익 (단위 : 원)|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기본주당손익 (단위 : 원) | 연결손익계산서 | 기본주당손익 (단위 : 원) | 백만원,2025년 3분기 연결손익계산서 기준 기본주당손익 (단위 : 원)은 44375백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,기타손실,-12011,백만원,2025Q3|연결손익계산서|기타손실|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타손실 | 연결손익계산서 | 기타손실 | 백만원,2025년 3분기 연결손익계산서 기준 기타손실은 -12011백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,기타영업외손익,-1951,백만원,2025Q3|연결손익계산서|기타영업외손익|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타영업외손익 | 연결손익계산서 | 기타영업외손익 | 백만원,2025년 3분기 연결손익계산서 기준 기타영업외손익은 -1951백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,기타이익,10059,백만원,2025Q3|연결손익계산서|기타이익|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타이익 | 연결손익계산서 | 기타이익 | 백만원,2025년 3분기 연결손익계산서 기준 기타이익은 10059백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,기타포괄손익,62521,백만원,2025Q3|연결손익계산서|기타포괄손익|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타포괄손익 | 연결손익계산서 | 기타포괄손익 | 백만원,2025년 3분기 연결손익계산서 기준 기타포괄손익은 62521백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),-1917,백만원,2025Q3|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 연결손익계산서 | 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 백만원,2025년 3분기 연결손익계산서 기준 기타포괄손익-공정가치측정 금융자산평가이익(손실)은 -1917백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,당기순손익,326338,백만원,2025Q3|연결손익계산서|당기순손익|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 당기순손익 | 연결손익계산서 | 당기순손익 | 백만원,2025년 3분기 연결손익계산서 기준 당기순손익은 326338백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,매출액,1622833,백만원,2025Q3|연결손익계산서|매출액|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 매출액 | 연결손익계산서 | 매출액 | 매출 | revenue | sales | 백만원,2025년 3분기 연결손익계산서 기준 매출액은 1622833백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,매출원가,1206255,백만원,2025Q3|연결손익계산서|매출원가|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 매출원가 | 연결손익계산서 | 매출원가 | 백만원,2025년 3분기 연결손익계산서 기준 매출원가은 1206255백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,매출총이익,416578,백만원,2025Q3|연결손익계산서|매출총이익|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 매출총이익 | 연결손익계산서 | 매출총이익 | 백만원,2025년 3분기 연결손익계산서 기준 매출총이익은 416578백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,법인세비용(수익),153050,백만원,2025Q3|연결손익계산서|법인세비용(수익)|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 법인세비용(수익) | 연결손익계산서 | 법인세비용(수익) | 백만원,2025년 3분기 연결손익계산서 기준 법인세비용(수익)은 153050백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,연결손익계산서,연결손익계산서,법인세비용차감전순손익,479389,백만원,2025Q3|연결손익계산서|법인세비용차감전순손익|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 법인세비용차감전순손익 | 연결손익계산서 | 법인세비용차감전순손익 | 백만원,2025년 3분기 연결손익계산서 기준 법인세비용차감전순손익은 479389백만원이며 기준일은 2025-09-30입니다.
