지표,산출기준,기간,수치,단위
자산총계,,2018-03-31," 10,223,917,265,282 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2018-03-31,6.10,%
당기순이익,,2018-03-31," 376,314,926,416 ",원
자기자본,,2018-03-31," 6,180,030,757,200 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2018-03-31,1003.10,%
당기순이익,,2018-03-31," 376,314,926,416 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2018-03-31,11.70,%
자산총계,,2018-03-31," 10,223,917,265,282 ",원
유동비율,(유동자산/유동부채)*100,2018-06-30,140.40,%
유동자산,,2018-06-30," 2,551,773,334,887 ",원
유동부채,,2018-06-30," 1,817,004,611,197 ",원
부채비율,(부채총계/자기자본)*100,2018-06-30,55.90,%
부채총계,,2018-06-30," 3,269,551,549,386 ",원
자기자본,,2018-06-30," 5,844,747,746,165 ",원
자기자본비율,(자기자본/총자산)*100,2018-06-30,64.10,%
자기자본,,2018-06-30," 5,844,747,746,165 ",원
자산총계,,2018-06-30," 9,114,299,295,551 ",원
차입금의존도,(차입금/총자산)*100,2018-06-30,19.70,%
차입금,,2018-06-30," 1,796,168,963,000 ",원
자산총계,,2018-06-30," 9,114,299,295,551 ",원
총자산이익률,(당기순이익/총자산)*100,2018-06-30,0.40,%
당기순이익,,2018-06-30," 40,957,834,221 ",원
자산총계,,2018-06-30," 9,114,299,295,551 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2018-06-30,0.70,%
당기순이익,,2018-06-30," 40,957,834,221 ",원
자기자본,,2018-06-30," 5,844,747,746,165 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2018-06-30,-60.70,%
당기순이익,,2018-06-30," 40,957,834,221 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2018-06-30,-9.70,%
자산총계,,2018-06-30," 9,114,299,295,551 ",원
유동비율,(유동자산/유동부채)*100,2018-09-30,148.60,%
유동자산,,2018-09-30," 2,521,621,158,553 ",원
유동부채,,2018-09-30," 1,696,367,483,104 ",원
부채비율,(부채총계/자기자본)*100,2018-09-30,52.90,%
부채총계,,2018-09-30," 3,237,463,720,716 ",원
자기자본,,2018-09-30," 6,123,261,453,276 ",원
자기자본비율,(자기자본/총자산)*100,2018-09-30,65.40,%
자기자본,,2018-09-30," 6,123,261,453,276 ",원
자산총계,,2018-09-30," 9,360,725,173,992 ",원
차입금의존도,(차입금/총자산)*100,2018-09-30,19.00,%
차입금,,2018-09-30," 1,781,039,961,000 ",원
자산총계,,2018-09-30," 9,360,725,173,992 ",원
총자산이익률,(당기순이익/총자산)*100,2018-09-30,3.80,%
당기순이익,,2018-09-30," 359,812,313,693 ",원
자산총계,,2018-09-30," 9,360,725,173,992 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2018-09-30,5.90,%
당기순이익,,2018-09-30," 359,812,313,693 ",원
자기자본,,2018-09-30," 6,123,261,453,276 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2018-09-30,104.60,%
당기순이익,,2018-09-30," 359,812,313,693 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2018-09-30,-6.10,%
자산총계,,2018-09-30," 9,360,725,173,992 ",원
유동비율,(유동자산/유동부채)*100,2018-12-31,186.00,%
유동자산,,2018-12-31," 2,645,608,937,749 ",원
유동부채,,2018-12-31," 1,422,168,944,016 ",원
부채비율,(부채총계/자기자본)*100,2018-12-31,56.20,%
부채총계,,2018-12-31," 3,224,071,784,111 ",원
자기자본,,2018-12-31," 5,741,346,635,246 ",원
자기자본비율,(자기자본/총자산)*100,2018-12-31,64.00,%
자기자본,,2018-12-31," 5,741,346,635,246 ",원
자산총계,,2018-12-31," 8,965,418,419,357 ",원
차입금의존도,(차입금/총자산)*100,2018-12-31,20.90,%
차입금,,2018-12-31," 1,875,678,001,000 ",원
자산총계,,2018-12-31," 8,965,418,419,357 ",원
총자산이익률,(당기순이익/총자산)*100,2018-12-31,-0.30,%
당기순이익,,2018-12-31,"-23,103,553,364 ",원
자산총계,,2018-12-31," 8,965,418,419,357 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2018-12-31,-0.40,%
당기순이익,,2018-12-31,"-23,103,553,364 ",원
자기자본,,2018-12-31," 5,741,346,635,246 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2018-12-31,적자전환,%
당기순이익,,2018-12-31,"-23,103,553,364 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2018-12-31,-6.10,%
자산총계,,2018-12-31," 8,965,418,419,357 ",원
유동비율,(유동자산/유동부채)*100,2019-03-31,181.70,%
유동자산,,2019-03-31," 2,699,461,310,526 ",원
유동부채,,2019-03-31," 1,485,564,943,549 ",원
부채비율,(부채총계/자기자본)*100,2019-03-31,57.60,%
부채총계,,2019-03-31," 3,292,249,561,935 ",원
자기자본,,2019-03-31," 5,714,921,425,530 ",원
자기자본비율,(자기자본/총자산)*100,2019-03-31,63.40,%
자기자본,,2019-03-31," 5,714,921,425,530 ",원
자산총계,,2019-03-31," 9,007,170,987,465 ",원
차입금의존도,(차입금/총자산)*100,2019-03-31,21.90,%
차입금,,2019-03-31," 1,968,416,742,000 ",원
자산총계,,2019-03-31," 9,007,170,987,465 ",원
총자산이익률,(당기순이익/총자산)*100,2019-03-31,0.40,%
당기순이익,,2019-03-31," 33,229,965,254 ",원
자산총계,,2019-03-31," 9,007,170,987,465 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2019-03-31,0.60,%
당기순이익,,2019-03-31," 33,229,965,254 ",원
자기자본,,2019-03-31," 5,714,921,425,530 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2019-03-31,-91.20,%
당기순이익,,2019-03-31," 33,229,965,254 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2019-03-31,-11.90,%
자산총계,,2019-03-31," 9,007,170,987,465 ",원
유동비율,(유동자산/유동부채)*100,2019-06-30,138.10,%
유동자산,,2019-06-30," 2,388,997,542,957 ",원
유동부채,,2019-06-30," 1,730,133,677,476 ",원
부채비율,(부채총계/자기자본)*100,2019-06-30,62.80,%
부채총계,,2019-06-30," 3,503,601,182,922 ",원
자기자본,,2019-06-30," 5,580,430,745,112 ",원
자기자본비율,(자기자본/총자산)*100,2019-06-30,61.40,%
자기자본,,2019-06-30," 5,580,430,745,112 ",원
자산총계,,2019-06-30," 9,084,031,928,034 ",원
