지표,산출기준,기간,수치,단위
유동비율,(유동자산/유동부채)*100,2022-06-30,150.00,%
유동자산,,2022-06-30," 4,604,773,485,862 ",원
유동부채,,2022-06-30," 3,069,456,080,516 ",원
부채비율,(부채총계/자기자본)*100,2022-06-30,150.30,%
부채총계,,2022-06-30," 8,366,463,332,738 ",원
자기자본,,2022-06-30," 5,566,568,815,503 ",원
자기자본비율,(자기자본/총자산)*100,2022-06-30,40.00,%
자기자본,,2022-06-30," 5,566,568,815,503 ",원
자산총계,,2022-06-30," 13,933,032,148,241 ",원
차입금의존도,(차입금/총자산)*100,2022-06-30,38.50,%
차입금,,2022-06-30," 5,369,416,998,000 ",원
자산총계,,2022-06-30," 13,933,032,148,241 ",원
총자산이익률,(당기순이익/총자산)*100,2022-06-30,1.50,%
당기순이익,,2022-06-30," 214,396,632,393 ",원
자산총계,,2022-06-30," 13,933,032,148,241 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2022-06-30,3.90,%
당기순이익,,2022-06-30," 214,396,632,393 ",원
자기자본,,2022-06-30," 5,566,568,815,503 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2022-06-30,-47.90,%
당기순이익,,2022-06-30," 214,396,632,393 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2022-06-30,2.50,%
자산총계,,2022-06-30," 13,933,032,148,241 ",원
유동비율,(유동자산/유동부채)*100,2022-09-30,159.50,%
유동자산,,2022-09-30," 4,303,363,807,323 ",원
유동부채,,2022-09-30," 2,697,212,451,974 ",원
부채비율,(부채총계/자기자본)*100,2022-09-30,150.50,%
부채총계,,2022-09-30," 8,164,670,647,524 ",원
자기자본,,2022-09-30," 5,423,435,959,601 ",원
자기자본비율,(자기자본/총자산)*100,2022-09-30,39.90,%
자기자본,,2022-09-30," 5,423,435,959,601 ",원
자산총계,,2022-09-30," 13,588,106,607,125 ",원
차입금의존도,(차입금/총자산)*100,2022-09-30,38.10,%
차입금,,2022-09-30," 5,176,126,891,000 ",원
자산총계,,2022-09-30," 13,588,106,607,125 ",원
총자산이익률,(당기순이익/총자산)*100,2022-09-30,-0.40,%
당기순이익,,2022-09-30,"-50,944,715,047 ",원
자산총계,,2022-09-30," 13,588,106,607,125 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2022-09-30,-0.90,%
당기순이익,,2022-09-30,"-50,944,715,047 ",원
자기자본,,2022-09-30," 5,423,435,959,601 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2022-09-30,적자전환,%
당기순이익,,2022-09-30,"-50,944,715,047 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2022-09-30,1.00,%
자산총계,,2022-09-30," 13,588,106,607,125 ",원
유동비율,(유동자산/유동부채)*100,2022-12-31,140.40,%
유동자산,,2022-12-31," 4,029,782,763,437 ",원
유동부채,,2022-12-31," 2,869,372,542,476 ",원
부채비율,(부채총계/자기자본)*100,2022-12-31,136.30,%
부채총계,,2022-12-31," 7,567,347,802,320 ",원
자기자본,,2022-12-31," 5,551,138,505,338 ",원
자기자본비율,(자기자본/총자산)*100,2022-12-31,42.30,%
자기자본,,2022-12-31," 5,551,138,505,338 ",원
자산총계,,2022-12-31," 13,118,486,307,658 ",원
차입금의존도,(차입금/총자산)*100,2022-12-31,37.20,%
차입금,,2022-12-31," 4,881,670,153,000 ",원
자산총계,,2022-12-31," 13,118,486,307,658 ",원
총자산이익률,(당기순이익/총자산)*100,2022-12-31,0.20,%
당기순이익,,2022-12-31," 28,661,656,966 ",원
자산총계,,2022-12-31," 13,118,486,307,658 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2022-12-31,0.50,%
당기순이익,,2022-12-31," 28,661,656,966 ",원
자기자본,,2022-12-31," 5,551,138,505,338 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2022-12-31,흑자전환,%
당기순이익,,2022-12-31," 28,661,656,966 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2022-12-31,1.90,%
자산총계,,2022-12-31," 13,118,486,307,658 ",원
유동비율,(유동자산/유동부채)*100,2023-03-31,120.40,%
유동자산,,2023-03-31," 4,221,561,500,916 ",원
유동부채,,2023-03-31," 3,507,062,739,917 ",원
부채비율,(부채총계/자기자본)*100,2023-03-31,140.40,%
부채총계,,2023-03-31," 7,771,258,660,368 ",원
자기자본,,2023-03-31," 5,533,652,339,853 ",원
자기자본비율,(자기자본/총자산)*100,2023-03-31,41.60,%
자기자본,,2023-03-31," 5,533,652,339,853 ",원
자산총계,,2023-03-31," 13,304,911,000,221 ",원
차입금의존도,(차입금/총자산)*100,2023-03-31,38.30,%
차입금,,2023-03-31," 5,096,574,549,000 ",원
자산총계,,2023-03-31," 13,304,911,000,221 ",원
총자산이익률,(당기순이익/총자산)*100,2023-03-31,-0.10,%
당기순이익,,2023-03-31,"-15,452,013,086 ",원
자산총계,,2023-03-31," 13,304,911,000,221 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2023-03-31,-0.30,%
당기순이익,,2023-03-31,"-15,452,013,086 ",원
자기자본,,2023-03-31," 5,533,652,339,853 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2023-03-31,적자전환,%
당기순이익,,2023-03-31,"-15,452,013,086 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2023-03-31,-0.90,%
자산총계,,2023-03-31," 13,304,911,000,221 ",원
유동비율,(유동자산/유동부채)*100,2023-06-30,122.90,%
유동자산,,2023-06-30," 4,296,128,539,384 ",원
유동부채,,2023-06-30," 3,494,210,950,332 ",원
부채비율,(부채총계/자기자본)*100,2023-06-30,142.60,%
부채총계,,2023-06-30," 7,879,075,702,269 ",원
자기자본,,2023-06-30," 5,525,694,562,971 ",원
자기자본비율,(자기자본/총자산)*100,2023-06-30,41.20,%
자기자본,,2023-06-30," 5,525,694,562,971 ",원
자산총계,,2023-06-30," 13,404,770,265,240 ",원
차입금의존도,(차입금/총자산)*100,2023-06-30,39.40,%
차입금,,2023-06-30," 5,280,827,923,000 ",원
자산총계,,2023-06-30," 13,404,770,265,240 ",원
총자산이익률,(당기순이익/총자산)*100,2023-06-30,0.40,%
당기순이익,,2023-06-30," 51,871,870,062 ",원
자산총계,,2023-06-30," 13,404,770,265,240 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2023-06-30,0.90,%
당기순이익,,2023-06-30," 51,871,870,062 ",원
자기자본,,2023-06-30," 5,525,694,562,971 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2023-06-30,-75.80,%
당기순이익,,2023-06-30," 51,871,870,062 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2023-06-30,-3.80,%
자산총계,,2023-06-30," 13,404,770,265,240 ",원
유동비율,(유동자산/유동부채)*100,2023-09-30,124.40,%
유동자산,,2023-09-30," 4,348,879,039,763 ",원
유동부채,,2023-09-30," 3,496,920,840,177 ",원
부채비율,(부채총계/자기자본)*100,2023-09-30,144.00,%
부채총계,,2023-09-30," 7,913,369,206,337 ",원
자기자본,,2023-09-30," 5,497,180,036,504 ",원
자기자본비율,(자기자본/총자산)*100,2023-09-30,41.00,%
자기자본,,2023-09-30," 5,497,180,036,504 ",원
자산총계,,2023-09-30," 13,410,549,242,841 ",원
차입금의존도,(차입금/총자산)*100,2023-09-30,39.90,%
차입금,,2023-09-30," 5,349,823,654,000 ",원
자산총계,,2023-09-30," 13,410,549,242,841 ",원
총자산이익률,(당기순이익/총자산)*100,2023-09-30,0.50,%
당기순이익,,2023-09-30," 63,109,834,860 ",원
자산총계,,2023-09-30," 13,410,549,242,841 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2023-09-30,1.10,%
당기순이익,,2023-09-30," 63,109,834,860 ",원
자기자본,,2023-09-30," 5,497,180,036,504 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2023-09-30,흑자전환,%
당기순이익,,2023-09-30," 63,109,834,860 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2023-09-30,-1.30,%
자산총계,,2023-09-30," 13,410,549,242,841 ",원
유동비율,(유동자산/유동부채)*100,2023-12-31,108.90,%
유동자산,,2023-12-31," 4,178,192,966,688 ",원
유동부채,,2023-12-31," 3,836,444,032,748 ",원
부채비율,(부채총계/자기자본)*100,2023-12-31,145.10,%
부채총계,,2023-12-31," 7,905,941,668,878 ",원
자기자본,,2023-12-31," 5,447,529,409,519 ",원
자기자본비율,(자기자본/총자산)*100,2023-12-31,40.80,%
자기자본,,2023-12-31," 5,447,529,409,519 ",원
자산총계,,2023-12-31," 13,353,471,078,397 ",원
차입금의존도,(차입금/총자산)*100,2023-12-31,38.60,%
차입금,,2023-12-31," 5,150,850,188,000 ",원
자산총계,,2023-12-31," 13,353,471,078,397 ",원
총자산이익률,(당기순이익/총자산)*100,2023-12-31,0.70,%
당기순이익,,2023-12-31," 92,502,625,102 ",원
자산총계,,2023-12-31," 13,353,471,078,397 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2023-12-31,1.70,%
당기순이익,,2023-12-31," 92,502,625,102 ",원
자기자본,,2023-12-31," 5,447,529,409,519 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2023-12-31,222.70,%
당기순이익,,2023-12-31," 92,502,625,102 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2023-12-31,1.80,%
자산총계,,2023-12-31," 13,353,471,078,397 ",원
유동비율,(유동자산/유동부채)*100,2024-03-31,125.00,%
유동자산,,2024-03-31," 4,390,977,840,982 ",원
유동부채,,2024-03-31," 3,512,623,880,202 ",원
부채비율,(부채총계/자기자본)*100,2024-03-31,141.40,%
부채총계,,2024-03-31," 8,261,675,122,684 ",원
자기자본,,2024-03-31," 5,841,810,358,266 ",원
자기자본비율,(자기자본/총자산)*100,2024-03-31,41.40,%
자기자본,,2024-03-31," 5,841,810,358,266 ",원
자산총계,,2024-03-31," 14,103,485,480,950 ",원
차입금의존도,(차입금/총자산)*100,2024-03-31,37.40,%
차입금,,2024-03-31," 5,276,565,487,000 ",원
자산총계,,2024-03-31," 14,103,485,480,950 ",원
총자산이익률,(당기순이익/총자산)*100,2024-03-31,3.20,%
당기순이익,,2024-03-31," 454,910,931,746 ",원
자산총계,,2024-03-31," 14,103,485,480,950 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2024-03-31,7.80,%
당기순이익,,2024-03-31," 454,910,931,746 ",원
자기자본,,2024-03-31," 5,841,810,358,266 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2024-03-31,흑자전환,%
당기순이익,,2024-03-31," 454,910,931,746 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2024-03-31,6.00,%
자산총계,,2024-03-31," 14,103,485,480,950 ",원
유동비율,(유동자산/유동부채)*100,2024-06-30,130.80,%
유동자산,,2024-06-30," 4,398,761,946,970 ",원
유동부채,,2024-06-30," 3,364,128,965,214 ",원
부채비율,(부채총계/자기자본)*100,2024-06-30,167.10,%
부채총계,,2024-06-30," 8,535,877,546,569 ",원
자기자본,,2024-06-30," 5,108,714,579,193 ",원
자기자본비율,(자기자본/총자산)*100,2024-06-30,37.40,%
자기자본,,2024-06-30," 5,108,714,579,193 ",원
자산총계,,2024-06-30," 13,644,592,125,762 ",원
차입금의존도,(차입금/총자산)*100,2024-06-30,41.00,%
차입금,,2024-06-30," 5,592,274,242,000 ",원
자산총계,,2024-06-30," 13,644,592,125,762 ",원
총자산이익률,(당기순이익/총자산)*100,2024-06-30,3.10,%
당기순이익,,2024-06-30," 422,070,049,637 ",원
자산총계,,2024-06-30," 13,644,592,125,762 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2024-06-30,8.30,%
당기순이익,,2024-06-30," 422,070,049,637 ",원
자기자본,,2024-06-30," 5,108,714,579,193 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2024-06-30,713.70,%
당기순이익,,2024-06-30," 422,070,049,637 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2024-06-30,1.80,%
자산총계,,2024-06-30," 13,644,592,125,762 ",원
유동비율,(유동자산/유동부채)*100,2024-09-30,131.30,%
유동자산,,2024-09-30," 4,372,544,177,119 ",원
유동부채,,2024-09-30," 3,331,172,498,453 ",원
부채비율,(부채총계/자기자본)*100,2024-09-30,164.20,%
부채총계,,2024-09-30," 8,392,005,581,995 ",원
자기자본,,2024-09-30," 5,111,353,471,138 ",원
자기자본비율,(자기자본/총자산)*100,2024-09-30,37.90,%
자기자본,,2024-09-30," 5,111,353,471,138 ",원
자산총계,,2024-09-30," 13,503,359,053,133 ",원
차입금의존도,(차입금/총자산)*100,2024-09-30,40.80,%
차입금,,2024-09-30," 5,516,006,893,000 ",원
자산총계,,2024-09-30," 13,503,359,053,133 ",원
총자산이익률,(당기순이익/총자산)*100,2024-09-30,2.80,%
당기순이익,,2024-09-30," 379,762,396,275 ",원
자산총계,,2024-09-30," 13,503,359,053,133 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2024-09-30,7.40,%
당기순이익,,2024-09-30," 379,762,396,275 ",원
자기자본,,2024-09-30," 5,111,353,471,138 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2024-09-30,501.70,%
당기순이익,,2024-09-30," 379,762,396,275 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2024-09-30,0.70,%
자산총계,,2024-09-30," 13,503,359,053,133 ",원
유동비율,(유동자산/유동부채)*100,2024-12-31,123.60,%
유동자산,,2024-12-31," 3,994,488,398,577 ",원
유동부채,,2024-12-31," 3,230,859,313,899 ",원
부채비율,(부채총계/자기자본)*100,2024-12-31,160.10,%
부채총계,,2024-12-31," 8,069,234,736,205 ",원
자기자본,,2024-12-31," 5,039,315,406,549 ",원
자기자본비율,(자기자본/총자산)*100,2024-12-31,38.40,%
자기자본,,2024-12-31," 5,039,315,406,549 ",원
자산총계,,2024-12-31," 13,108,550,142,754 ",원
차입금의존도,(차입금/총자산)*100,2024-12-31,39.60,%
차입금,,2024-12-31," 5,186,962,647,588 ",원
자산총계,,2024-12-31," 13,108,550,142,754 ",원
총자산이익률,(당기순이익/총자산)*100,2024-12-31,2.20,%
당기순이익,,2024-12-31," 293,294,512,467 ",원
자산총계,,2024-12-31," 13,108,550,142,754 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2024-12-31,5.80,%
당기순이익,,2024-12-31," 293,294,512,467 ",원
자기자본,,2024-12-31," 5,039,315,406,549 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2024-12-31,217.10,%
당기순이익,,2024-12-31," 293,294,512,467 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2024-12-31,-1.80,%
자산총계,,2024-12-31," 13,108,550,142,754 ",원
유동비율,(유동자산/유동부채)*100,2025-03-31,136.70,%
유동자산,,2025-03-31," 4,495,684,993,844 ",원
유동부채,,2025-03-31," 3,287,556,313,117 ",원
부채비율,(부채총계/자기자본)*100,2025-03-31,140.70,%
부채총계,,2025-03-31," 8,805,934,470,405 ",원
자기자본,,2025-03-31," 6,260,236,214,540 ",원
자기자본비율,(자기자본/총자산)*100,2025-03-31,41.60,%
자기자본,,2025-03-31," 6,260,236,214,540 ",원
자산총계,,2025-03-31," 15,066,170,684,945 ",원
차입금의존도,(차입금/총자산)*100,2025-03-31,37.40,%
차입금,,2025-03-31," 5,642,147,661,000 ",원
자산총계,,2025-03-31," 15,066,170,684,945 ",원
총자산이익률,(당기순이익/총자산)*100,2025-03-31,0.30,%
당기순이익,,2025-03-31," 44,050,087,099 ",원
자산총계,,2025-03-31," 15,066,170,684,945 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2025-03-31,0.70,%
당기순이익,,2025-03-31," 44,050,087,099 ",원
자기자본,,2025-03-31," 6,260,236,214,540 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2025-03-31,-90.30,%
당기순이익,,2025-03-31," 44,050,087,099 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2025-03-31,6.80,%
자산총계,,2025-03-31," 15,066,170,684,945 ",원
