기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,미지급법인세,156235,백만원,2025Q4|재무상태표|미지급법인세|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 미지급법인세 | 재무상태표 | 연결재무상태표 | 미지급법인세 | 백만원,2025년 4분기 연결재무상태표 기준 미지급법인세은 156235백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,부채 및 자본총계,16803559,백만원,2025Q4|재무상태표|부채 및 자본총계|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 부채 및 자본총계 | 재무상태표 | 연결재무상태표 | 부채 및 자본총계 | 백만원,2025년 4분기 연결재무상태표 기준 부채 및 자본총계은 16803559백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,부채총계,8979074,백만원,2025Q4|재무상태표|부채총계|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 부채총계 | 재무상태표 | 연결재무상태표 | 부채총계 | 총부채 | liabilities | total liabilities | 백만원,2025년 4분기 연결재무상태표 기준 부채총계은 8979074백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,비유동부채,4996627,백만원,2025Q4|재무상태표|비유동부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 비유동부채 | 재무상태표 | 연결재무상태표 | 비유동부채 | current liabilities | 백만원,2025년 4분기 연결재무상태표 기준 비유동부채은 4996627백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,비유동사채,2097836,백만원,2025Q4|재무상태표|비유동사채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 비유동사채 | 재무상태표 | 연결재무상태표 | 비유동사채 | 백만원,2025년 4분기 연결재무상태표 기준 비유동사채은 2097836백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,비유동자산,12820730,백만원,2025Q4|재무상태표|비유동자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 비유동자산 | 재무상태표 | 연결재무상태표 | 비유동자산 | current assets | 백만원,2025년 4분기 연결재무상태표 기준 비유동자산은 12820730백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,비유동충당부채,24881,백만원,2025Q4|재무상태표|비유동충당부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 비유동충당부채 | 재무상태표 | 연결재무상태표 | 비유동충당부채 | 백만원,2025년 4분기 연결재무상태표 기준 비유동충당부채은 24881백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,사용권자산,288758,백만원,2025Q4|재무상태표|사용권자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 사용권자산 | 재무상태표 | 연결재무상태표 | 사용권자산 | 백만원,2025년 4분기 연결재무상태표 기준 사용권자산은 288758백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,선급금,20684,백만원,2025Q4|재무상태표|선급금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 선급금 | 재무상태표 | 연결재무상태표 | 선급금 | 백만원,2025년 4분기 연결재무상태표 기준 선급금은 20684백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,선급비용,47205,백만원,2025Q4|재무상태표|선급비용|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 선급비용 | 재무상태표 | 연결재무상태표 | 선급비용 | 백만원,2025년 4분기 연결재무상태표 기준 선급비용은 47205백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,순확정급여부채,287082,백만원,2025Q4|재무상태표|순확정급여부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 순확정급여부채 | 재무상태표 | 연결재무상태표 | 순확정급여부채 | 백만원,2025년 4분기 연결재무상태표 기준 순확정급여부채은 287082백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,순확정급여자산,12047,백만원,2025Q4|재무상태표|순확정급여자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 순확정급여자산 | 재무상태표 | 연결재무상태표 | 순확정급여자산 | 백만원,2025년 4분기 연결재무상태표 기준 순확정급여자산은 12047백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,영업권,832267,백만원,2025Q4|재무상태표|영업권|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 영업권 | 재무상태표 | 연결재무상태표 | 영업권 | 백만원,2025년 4분기 연결재무상태표 기준 영업권은 832267백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,유동부채,3982446,백만원,2025Q4|재무상태표|유동부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 유동부채 | 재무상태표 | 연결재무상태표 | 유동부채 | current liabilities | 백만원,2025년 4분기 연결재무상태표 기준 유동부채은 3982446백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,유동성사채,1313396,백만원,2025Q4|재무상태표|유동성사채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 유동성사채 | 재무상태표 | 연결재무상태표 | 유동성사채 | 백만원,2025년 4분기 연결재무상태표 기준 유동성사채은 1313396백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,유동자산,3982830,백만원,2025Q4|재무상태표|유동자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 유동자산 | 재무상태표 | 연결재무상태표 | 유동자산 | current assets | 백만원,2025년 4분기 연결재무상태표 기준 유동자산은 3982830백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,유동충당부채,14106,백만원,2025Q4|재무상태표|유동충당부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 유동충당부채 | 재무상태표 | 연결재무상태표 | 유동충당부채 | 백만원,2025년 4분기 연결재무상태표 기준 유동충당부채은 14106백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,유형자산,4324029,백만원,2025Q4|재무상태표|유형자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 유형자산 | 재무상태표 | 연결재무상태표 | 유형자산 | 백만원,2025년 4분기 연결재무상태표 기준 유형자산은 4324029백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,이연법인세부채,1410256,백만원,2025Q4|재무상태표|이연법인세부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 이연법인세부채 | 재무상태표 | 연결재무상태표 | 이연법인세부채 | 백만원,2025년 4분기 연결재무상태표 기준 이연법인세부채은 1410256백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,이연법인세자산,17292,백만원,2025Q4|재무상태표|이연법인세자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 이연법인세자산 | 재무상태표 | 연결재무상태표 | 이연법인세자산 | 백만원,2025년 4분기 연결재무상태표 기준 이연법인세자산은 17292백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,이익잉여금,6926378,백만원,2025Q4|재무상태표|이익잉여금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 이익잉여금 | 재무상태표 | 연결재무상태표 | 이익잉여금 | 백만원,2025년 4분기 연결재무상태표 기준 이익잉여금은 6926378백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,자본금,48085,백만원,2025Q4|재무상태표|자본금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자본금 | 재무상태표 | 연결재무상태표 | 자본금 | 백만원,2025년 4분기 연결재무상태표 기준 자본금은 48085백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,자본잉여금,349759,백만원,2025Q4|재무상태표|자본잉여금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자본잉여금 | 재무상태표 | 연결재무상태표 | 자본잉여금 | 백만원,2025년 4분기 연결재무상태표 기준 자본잉여금은 349759백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,자본조정,-504350,백만원,2025Q4|재무상태표|자본조정|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자본조정 | 재무상태표 | 연결재무상태표 | 자본조정 | 백만원,2025년 4분기 연결재무상태표 기준 자본조정은 -504350백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,자본총계,7824486,백만원,2025Q4|재무상태표|자본총계|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자본총계 | 재무상태표 | 연결재무상태표 | 자본총계 | 백만원,2025년 4분기 연결재무상태표 기준 자본총계은 7824486백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,자산총계,16803559,백만원,2025Q4|재무상태표|자산총계|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 자산총계 | 재무상태표 | 연결재무상태표 | 자산총계 | 총자산 | assets | total assets | 백만원,2025년 4분기 연결재무상태표 기준 자산총계은 16803559백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,장기기타채권,48289,백만원,2025Q4|재무상태표|장기기타채권|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 장기기타채권 | 재무상태표 | 연결재무상태표 | 장기기타채권 | 백만원,2025년 4분기 연결재무상태표 기준 장기기타채권은 48289백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,장기매출채권,849,백만원,2025Q4|재무상태표|장기매출채권|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 장기매출채권 | 재무상태표 | 연결재무상태표 | 장기매출채권 | 백만원,2025년 4분기 연결재무상태표 기준 장기매출채권은 849백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,장기선급금,2320,백만원,2025Q4|재무상태표|장기선급금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 장기선급금 | 재무상태표 | 연결재무상태표 | 장기선급금 | 백만원,2025년 4분기 연결재무상태표 기준 장기선급금은 2320백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,장기선급비용,5224,백만원,2025Q4|재무상태표|장기선급비용|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 장기선급비용 | 재무상태표 | 연결재무상태표 | 장기선급비용 | 백만원,2025년 4분기 연결재무상태표 기준 장기선급비용은 5224백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,장기차입금,840861,백만원,2025Q4|재무상태표|장기차입금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 장기차입금 | 재무상태표 | 연결재무상태표 | 장기차입금 | 백만원,2025년 4분기 연결재무상태표 기준 장기차입금은 840861백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,재고자산,1529986,백만원,2025Q4|재무상태표|재고자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 재고자산 | 재무상태표 | 연결재무상태표 | 재고자산 | 백만원,2025년 4분기 연결재무상태표 기준 재고자산은 1529986백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,지배기업소유지분,7824486,백만원,2025Q4|재무상태표|지배기업소유지분|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지배기업소유지분 | 재무상태표 | 연결재무상태표 | 지배기업소유지분 | 백만원,2025년 4분기 연결재무상태표 기준 지배기업소유지분은 7824486백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,지분법적용 투자지분,465098,백만원,2025Q4|재무상태표|지분법적용 투자지분|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법적용 투자지분 | 재무상태표 | 연결재무상태표 | 지분법적용 투자지분 | 백만원,2025년 4분기 연결재무상태표 기준 지분법적용 투자지분은 465098백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,투자부동산,1030192,백만원,2025Q4|재무상태표|투자부동산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 투자부동산 | 재무상태표 | 연결재무상태표 | 투자부동산 | 백만원,2025년 4분기 연결재무상태표 기준 투자부동산은 1030192백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,현금및현금성자산,1193612,백만원,2025Q4|재무상태표|현금및현금성자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 현금및현금성자산 | 재무상태표 | 연결재무상태표 | 현금및현금성자산 | 현금성자산 | cash | cash and cash equivalents | 백만원,2025년 4분기 연결재무상태표 기준 현금및현금성자산은 1193612백만원이며 기준일은 2025-12-31입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,기타부채,787321,백만원,2025Q3|재무상태표|기타부채|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타부채 | 재무상태표 | 연결재무상태표 | 기타부채 | 백만원,2025년 3분기 연결재무상태표 기준 기타부채은 787321백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,기타부채,207993,백만원,2025Q3|재무상태표|기타부채|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타부채 | 재무상태표 | 연결재무상태표 | 기타부채 | 백만원,2025년 3분기 연결재무상태표 기준 기타부채은 207993백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,기타비유동금융자산,4530147,백만원,2025Q3|재무상태표|기타비유동금융자산|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타비유동금융자산 | 재무상태표 | 연결재무상태표 | 기타비유동금융자산 | 백만원,2025년 3분기 연결재무상태표 기준 기타비유동금융자산은 4530147백만원이며 기준일은 2025-09-30입니다.
2025-09-30,2025,Q3,2025 Q3,재무상태표,연결재무상태표,기타유동금융부채,299131,백만원,2025Q3|재무상태표|기타유동금융부채|백만원,2025 Q3 | 2025년 Q3 | 2025년 3분기 | 2025-09-30 기준 기타유동금융부채 | 재무상태표 | 연결재무상태표 | 기타유동금융부채 | 백만원,2025년 3분기 연결재무상태표 기준 기타유동금융부채은 299131백만원이며 기준일은 2025-09-30입니다.
