기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,short_context,keywords,query_text
2021-03-31,2021,Q1,2021 Q1,전사(공통),영업이익,영업이익률(%),6,%,2021 Q1 전사(공통) 영업이익 영업이익률(%) %,2021-03-31 | 2021 | Q1 | 2021 Q1 | 전사(공통) | 영업이익 | 영업이익률(%) | %,2021년 Q1 전사(공통) 영업이익 ; 2021 Q1 전사(공통) 영업이익 ; 2021-03-31 전사(공통) 영업이익 ; 전사(공통) 영업이익률(%) ; 전사(공통) 영업이익 %
2021-06-30,2021,Q2,2021 Q2,건자재,매출액,매출액,237701,백만원,2021 Q2 건자재 매출액 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 건자재 | 매출액 | 백만원,2021년 Q2 건자재 매출액 ; 2021 Q2 건자재 매출액 ; 2021-06-30 건자재 매출액 ; 건자재 매출액 백만원
2021-06-30,2021,Q2,2021 Q2,건자재,영업이익,QoQ(%),53,%,2021 Q2 건자재 영업이익 QoQ(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 건자재 | 영업이익 | QoQ(%) | %,2021년 Q2 건자재 영업이익 ; 2021 Q2 건자재 영업이익 ; 2021-06-30 건자재 영업이익 ; 건자재 QoQ(%) ; 건자재 영업이익 %
2021-06-30,2021,Q2,2021 Q2,건자재,영업이익,영업이익,21595,백만원,2021 Q2 건자재 영업이익 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 건자재 | 영업이익 | 백만원,2021년 Q2 건자재 영업이익 ; 2021 Q2 건자재 영업이익 ; 2021-06-30 건자재 영업이익 ; 건자재 영업이익 백만원
2021-06-30,2021,Q2,2021 Q2,건자재,영업이익,영업이익률(%),9,%,2021 Q2 건자재 영업이익 영업이익률(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 건자재 | 영업이익 | 영업이익률(%) | %,2021년 Q2 건자재 영업이익 ; 2021 Q2 건자재 영업이익 ; 2021-06-30 건자재 영업이익 ; 건자재 영업이익률(%) ; 건자재 영업이익 %
2021-06-30,2021,Q2,2021 Q2,기타,매출액,매출액,80964,백만원,2021 Q2 기타 매출액 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 기타 | 매출액 | 백만원,2021년 Q2 기타 매출액 ; 2021 Q2 기타 매출액 ; 2021-06-30 기타 매출액 ; 기타 매출액 백만원
2021-06-30,2021,Q2,2021 Q2,기타,영업이익,영업이익,-3451,백만원,2021 Q2 기타 영업이익 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 기타 | 영업이익 | 백만원,2021년 Q2 기타 영업이익 ; 2021 Q2 기타 영업이익 ; 2021-06-30 기타 영업이익 ; 기타 영업이익 백만원
2021-06-30,2021,Q2,2021 Q2,기타,영업이익,영업이익률(%),-4,%,2021 Q2 기타 영업이익 영업이익률(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 기타 | 영업이익 | 영업이익률(%) | %,2021년 Q2 기타 영업이익 ; 2021 Q2 기타 영업이익 ; 2021-06-30 기타 영업이익 ; 기타 영업이익률(%) ; 기타 영업이익 %
2021-06-30,2021,Q2,2021 Q2,도료,매출액,매출액,386421,백만원,2021 Q2 도료 매출액 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 도료 | 매출액 | 백만원,2021년 Q2 도료 매출액 ; 2021 Q2 도료 매출액 ; 2021-06-30 도료 매출액 ; 도료 매출액 백만원
2021-06-30,2021,Q2,2021 Q2,도료,영업이익,QoQ(%),52,%,2021 Q2 도료 영업이익 QoQ(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 도료 | 영업이익 | QoQ(%) | %,2021년 Q2 도료 영업이익 ; 2021 Q2 도료 영업이익 ; 2021-06-30 도료 영업이익 ; 도료 QoQ(%) ; 도료 영업이익 %
2021-06-30,2021,Q2,2021 Q2,도료,영업이익,영업이익,11476,백만원,2021 Q2 도료 영업이익 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 도료 | 영업이익 | 백만원,2021년 Q2 도료 영업이익 ; 2021 Q2 도료 영업이익 ; 2021-06-30 도료 영업이익 ; 도료 영업이익 백만원
2021-06-30,2021,Q2,2021 Q2,도료,영업이익,영업이익률(%),3,%,2021 Q2 도료 영업이익 영업이익률(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 도료 | 영업이익 | 영업이익률(%) | %,2021년 Q2 도료 영업이익 ; 2021 Q2 도료 영업이익 ; 2021-06-30 도료 영업이익 ; 도료 영업이익률(%) ; 도료 영업이익 %
2021-06-30,2021,Q2,2021 Q2,실리콘,매출액,매출액,807588,백만원,2021 Q2 실리콘 매출액 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 실리콘 | 매출액 | 백만원,2021년 Q2 실리콘 매출액 ; 2021 Q2 실리콘 매출액 ; 2021-06-30 실리콘 매출액 ; 실리콘 매출액 백만원
2021-06-30,2021,Q2,2021 Q2,실리콘,영업이익,QoQ(%),40,%,2021 Q2 실리콘 영업이익 QoQ(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 실리콘 | 영업이익 | QoQ(%) | %,2021년 Q2 실리콘 영업이익 ; 2021 Q2 실리콘 영업이익 ; 2021-06-30 실리콘 영업이익 ; 실리콘 QoQ(%) ; 실리콘 영업이익 %
2021-06-30,2021,Q2,2021 Q2,실리콘,영업이익,영업이익,79633,백만원,2021 Q2 실리콘 영업이익 백만원,2021-06-30 | 2021 | Q2 | 2021 Q2 | 실리콘 | 영업이익 | 백만원,2021년 Q2 실리콘 영업이익 ; 2021 Q2 실리콘 영업이익 ; 2021-06-30 실리콘 영업이익 ; 실리콘 영업이익 백만원
2021-06-30,2021,Q2,2021 Q2,실리콘,영업이익,영업이익률(%),10,%,2021 Q2 실리콘 영업이익 영업이익률(%) %,2021-06-30 | 2021 | Q2 | 2021 Q2 | 실리콘 | 영업이익 | 영업이익률(%) | %,2021년 Q2 실리콘 영업이익 ; 2021 Q2 실리콘 영업이익 ; 2021-06-30 실리콘 영업이익 ; 실리콘 영업이익률(%) ; 실리콘 영업이익 %
