재무계정,사업부,상세항목,기간,수치,단위
매출액,전사(공통),매출액,2021-03-31,1362496816,천원
매출액,실리콘,매출액,2021-03-31,761956856,천원
매출액,건자재,매출액,2021-03-31,204203170,천원
매출액,도료,매출액,2021-03-31,317569307,천원
매출액,기타,매출액,2021-03-31,78767483,천원
영업이익,전사(공통),영업이익,2021-03-31,77353482,천원
영업이익,전사(공통),영업이익률(%),2021-03-31,5.68,%
영업이익,실리콘,영업이익,2021-03-31,56691384,천원
영업이익,실리콘,영업이익률(%),2021-03-31,7.44,%
영업이익,건자재,영업이익,2021-03-31,14111317,천원
영업이익,건자재,영업이익률(%),2021-03-31,6.91,%
영업이익,도료,영업이익,2021-03-31,7557405,천원
영업이익,도료,영업이익률(%),2021-03-31,2.38,%
영업이익,기타,영업이익,2021-03-31,-5537631,천원
영업이익,기타,영업이익률(%),2021-03-31,-7.03,%
당기순이익,전사(공통),당기순이익,2021-03-31,30431138,천원
당기순이익,전사(공통),당기순익률(%),2021-03-31,2.23,%
매출액,전사(공통),매출액,2021-06-30,1512674056,천원
매출액,전사(공통),QoQ(%),2021-06-30,11.02,%
매출액,실리콘,매출액,2021-06-30,807587877,천원
매출액,건자재,매출액,2021-06-30,237700559,천원
매출액,도료,매출액,2021-06-30,386421233,천원
매출액,기타,매출액,2021-06-30,80964387,천원
영업이익,전사(공통),영업이익,2021-06-30,116987233,천원
영업이익,전사(공통),영업이익률(%),2021-06-30,7.73,%
영업이익,전사(공통),QoQ(%),2021-06-30,51.24,%
영업이익,실리콘,영업이익,2021-06-30,79632687,천원
영업이익,실리콘,영업이익률(%),2021-06-30,9.86,%
영업이익,실리콘,QoQ(%),2021-06-30,40.47,%
영업이익,건자재,영업이익,2021-06-30,21595430,천원
영업이익,건자재,영업이익률(%),2021-06-30,9.09,%
영업이익,건자재,QoQ(%),2021-06-30,53.04,%
영업이익,도료,영업이익,2021-06-30,11476361,천원
영업이익,도료,영업이익률(%),2021-06-30,2.97,%
영업이익,도료,QoQ(%),2021-06-30,51.86,%
영업이익,기타,영업이익,2021-06-30,-3450653,천원
영업이익,기타,영업이익률(%),2021-06-30,-4.26,%
당기순이익,전사(공통),당기순이익,2021-06-30,380919064,천원
당기순이익,전사(공통),당기순익률(%),2021-06-30,25.18,%
당기순이익,전사(공통),QoQ(%),2021-06-30,1151.74,%
당기순이익,전사(공통),당기순이익,2021-06-30,411350202,천원
매출액,전사(공통),매출액,2021-09-30,1489988424,천원
매출액,전사(공통),QoQ(%),2021-09-30,-1.5,%
매출액,실리콘,매출액,2021-09-30,783742979,천원
매출액,건자재,매출액,2021-09-30,234175748,천원
매출액,도료,매출액,2021-09-30,377040919,천원
매출액,기타,매출액,2021-09-30,95028778,천원
영업이익,전사(공통),영업이익,2021-09-30,120038930,천원
영업이익,전사(공통),영업이익률(%),2021-09-30,8.06,%
영업이익,전사(공통),QoQ(%),2021-09-30,2.61,%
영업이익,실리콘,영업이익,2021-09-30,88344492,천원
영업이익,실리콘,영업이익률(%),2021-09-30,11.27,%
영업이익,실리콘,QoQ(%),2021-09-30,10.94,%
영업이익,건자재,영업이익,2021-09-30,20017751,천원
영업이익,건자재,영업이익률(%),2021-09-30,8.55,%
영업이익,건자재,QoQ(%),2021-09-30,-7.31,%
영업이익,도료,영업이익,2021-09-30,10864205,천원
영업이익,도료,영업이익률(%),2021-09-30,2.88,%
영업이익,도료,QoQ(%),2021-09-30,-5.33,%
영업이익,기타,영업이익,2021-09-30,3697497,천원
영업이익,기타,영업이익률(%),2021-09-30,3.89,%
당기순이익,전사(공통),당기순이익,2021-09-30,-232380271,천원
당기순이익,전사(공통),당기순익률(%),2021-09-30,-15.6,%
당기순이익,전사(공통),QoQ(%),2021-09-30,-161.01,%
당기순이익,전사(공통),당기순이익,2021-09-30,178969931,천원
매출액,전사(공통),매출액,2021-12-31,1509739996,천원
매출액,전사(공통),QoQ(%),2021-12-31,1.33,%
매출액,실리콘,매출액,2021-12-31,767003888,천원
매출액,건자재,매출액,2021-12-31,261864076,천원
매출액,도료,매출액,2021-12-31,376424555,천원
매출액,기타,매출액,2021-12-31,104447477,천원
영업이익,전사(공통),영업이익,2021-12-31,74390123,천원
영업이익,전사(공통),영업이익률(%),2021-12-31,4.93,%
영업이익,전사(공통),QoQ(%),2021-12-31,-38.03,%
영업이익,실리콘,영업이익,2021-12-31,44487892,천원
영업이익,실리콘,영업이익률(%),2021-12-31,5.8,%
영업이익,실리콘,QoQ(%),2021-12-31,-49.64,%
영업이익,건자재,영업이익,2021-12-31,21545879,천원
영업이익,건자재,영업이익률(%),2021-12-31,8.23,%
영업이익,건자재,QoQ(%),2021-12-31,7.63,%
영업이익,도료,영업이익,2021-12-31,-3608136,천원
영업이익,도료,영업이익률(%),2021-12-31,-0.96,%
영업이익,기타,영업이익,2021-12-31,1518684,천원
영업이익,기타,영업이익률(%),2021-12-31,1.45,%
영업이익,기타,QoQ(%),2021-12-31,-58.93,%
당기순이익,전사(공통),당기순이익,2021-12-31,-232181099,천원
당기순이익,전사(공통),당기순익률(%),2021-12-31,-15.38,%
당기순이익,전사(공통),QoQ(%),2021-12-31,-0.09,%
당기순이익,전사(공통),당기순이익,2021-12-31,-53211168,천원
매출액,전사(공통),매출액,2022-03-31,1637578460,천원
매출액,전사(공통),QoQ(%),2022-03-31,8.47,%
매출액,전사(공통),YoY(%),2022-03-31,20.19,%
매출액,실리콘,매출액,2022-03-31,938388044,천원
매출액,건자재,매출액,2022-03-31,249719561,천원
매출액,도료,매출액,2022-03-31,357059787,천원
매출액,기타,매출액,2022-03-31,92411068,천원
영업이익,전사(공통),영업이익,2022-03-31,149407771,천원
영업이익,전사(공통),영업이익률(%),2022-03-31,9.12,%
영업이익,전사(공통),QoQ(%),2022-03-31,100.84,%
영업이익,전사(공통),YoY(%),2022-03-31,93.15,%
영업이익,실리콘,영업이익,2022-03-31,111477864,천원
영업이익,실리콘,영업이익률(%),2022-03-31,11.88,%
영업이익,실리콘,QoQ(%),2022-03-31,150.58,%
영업이익,실리콘,YoY(%),2022-03-31,96.64,%
영업이익,건자재,영업이익,2022-03-31,21089766,천원
영업이익,건자재,영업이익률(%),2022-03-31,8.45,%
영업이익,건자재,QoQ(%),2022-03-31,-2.12,%
영업이익,건자재,YoY(%),2022-03-31,49.45,%
영업이익,도료,영업이익,2022-03-31,6967734,천원
영업이익,도료,영업이익률(%),2022-03-31,1.95,%
영업이익,도료,YoY(%),2022-03-31,-7.8,%
영업이익,기타,영업이익,2022-03-31,2260650,천원
영업이익,기타,영업이익률(%),2022-03-31,2.45,%
영업이익,기타,QoQ(%),2022-03-31,48.86,%
영업이익,연결조정,영업이익,2022-03-31,7611757,천원
당기순이익,전사(공통),당기순이익,2022-03-31,32197302,천원
당기순이익,전사(공통),당기순익률(%),2022-03-31,1.97,%
당기순이익,전사(공통),YoY(%),2022-03-31,5.8,%
당기순이익,전사(공통),당기순이익,2022-03-31,63918633,천원
당기순이익,전사(공통),당기순이익,2022-03-31,-31721331,천원
당기순이익,전사(공통),지배순이익,2022-03-31,6580389,천원
매출액,전사(공통),매출액,2022-06-30,1755882430,천원
매출액,전사(공통),QoQ(%),2022-06-30,7.22,%
매출액,전사(공통),YoY(%),2022-06-30,16.08,%
매출액,실리콘,매출액,2022-06-30,977330660,천원
매출액,건자재,매출액,2022-06-30,283284908,천원
매출액,도료,매출액,2022-06-30,388189636,천원
매출액,기타,매출액,2022-06-30,107077226,천원
영업이익,전사(공통),영업이익,2022-06-30,164233643,천원
영업이익,전사(공통),영업이익률(%),2022-06-30,9.35,%
영업이익,전사(공통),QoQ(%),2022-06-30,9.92,%
영업이익,전사(공통),YoY(%),2022-06-30,40.39,%
영업이익,실리콘,영업이익,2022-06-30,98546483,천원
영업이익,실리콘,영업이익률(%),2022-06-30,10.08,%
영업이익,실리콘,QoQ(%),2022-06-30,-11.6,%
영업이익,실리콘,YoY(%),2022-06-30,23.75,%
영업이익,건자재,영업이익,2022-06-30,37691507,천원
영업이익,건자재,영업이익률(%),2022-06-30,13.31,%
영업이익,건자재,QoQ(%),2022-06-30,78.72,%
영업이익,건자재,YoY(%),2022-06-30,74.53,%
영업이익,도료,영업이익,2022-06-30,20045074,천원
영업이익,도료,영업이익률(%),2022-06-30,5.16,%
영업이익,도료,QoQ(%),2022-06-30,187.68,%
영업이익,도료,YoY(%),2022-06-30,74.66,%
영업이익,기타,영업이익,2022-06-30,5570242,천원
영업이익,기타,영업이익률(%),2022-06-30,5.2,%
영업이익,기타,QoQ(%),2022-06-30,14640.0,%
영업이익,연결조정,영업이익,2022-06-30,2380337,천원
당기순이익,전사(공통),당기순이익,2022-06-30,182199330,천원
당기순이익,전사(공통),당기순익률(%),2022-06-30,10.38,%
당기순이익,전사(공통),QoQ(%),2022-06-30,465.88,%
당기순이익,전사(공통),YoY(%),2022-06-30,-52.17,%
당기순이익,전사(공통),당기순이익,2022-06-30,53747417,천원
당기순이익,전사(공통),당기순이익,2022-06-30,128451913,천원
당기순이익,전사(공통),지배순이익,2022-06-30,169357939,천원
매출액,전사(공통),매출액,2022-09-30,1740125205,천원
매출액,전사(공통),QoQ(%),2022-09-30,-0.9,%
매출액,전사(공통),YoY(%),2022-09-30,16.79,%
매출액,실리콘,매출액,2022-09-30,965553358,천원
매출액,건자재,매출액,2022-09-30,277320076,천원
매출액,도료,매출액,2022-09-30,366030711,천원
