,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
누적 기준,제출시점 기준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
01,매출액," 768,902,200,313 "," 1,652,977,053,858 "," 2,545,282,538,350 "," 3,426,493,950,897 "," 805,678,990,528 "," 1,691,417,573,234 "," 2,502,166,124,716 "," 3,347,335,867,897 "," 694,541,847,291 "," 1,481,194,851,666 "," 2,231,120,356,032 "," 2,396,603,742,545 "," 550,688,087,187 "," 1,125,094,572,105 "," 1,672,326,835,067 "," 2,071,850,765,816 "," 504,267,223,505 "," 1,084,898,153,642 "," 1,656,012,473,794 "," 2,286,587,749,601 "," 591,633,937,664 "," 1,282,742,678,292 "," 1,968,696,854,424 "," 2,701,705,574,558 "," 698,957,765,208 "," 1,445,428,612,456 "," 2,201,427,047,946 ","2,999,516,590,144","761,600,275,908","1,617,359,237,641","2,365,888,859,507","3,126,930,489,610","700,063,856,807","1,483,047,996,384","2,229,163,112,119"
02,매출원가," 586,609,171,452 "," 1,258,750,858,251 "," 1,944,334,043,213 "," 2,640,466,753,771 "," 636,589,318,573 "," 1,316,503,739,564 "," 1,943,466,975,474 "," 2,613,941,983,816 "," 547,800,539,204 "," 1,152,539,016,962 "," 1,735,545,987,758 "," 1,835,602,312,989 "," 429,514,129,693 "," 875,237,394,100 "," 1,300,270,753,813 "," 1,612,415,176,979 "," 403,673,542,242 "," 864,781,443,403 "," 1,323,907,607,939 "," 1,831,285,968,247 "," 470,560,922,097 "," 1,004,677,718,278 "," 1,548,223,197,617 "," 2,130,014,379,740 "," 553,162,693,303 "," 1,094,624,661,901 "," 1,641,286,162,816 ","2,228,294,440,066","570,438,139,728","1,208,633,008,410","1,773,286,122,765","2,342,960,485,833","536,699,185,956","1,131,285,911,128","1,693,501,240,295"
03,매출총이익," 182,293,028,861 "," 394,226,195,607 "," 600,948,495,137 "," 786,027,197,126 "," 169,089,671,955 "," 374,913,833,670 "," 558,699,149,242 "," 733,393,884,081 "," 146,741,308,087 "," 328,655,834,704 "," 495,574,368,274 "," 561,001,429,556 "," 121,173,957,494 "," 249,857,178,005 "," 372,056,081,254 "," 459,435,588,837 "," 100,593,681,263 "," 220,116,710,239 "," 332,104,865,855 "," 455,301,781,354 "," 121,073,015,567 "," 278,064,960,014 "," 420,473,656,807 "," 571,691,194,818 "," 145,795,071,905 "," 350,803,950,555 "," 560,140,885,130 ","771,222,150,078","191,162,136,180","408,726,229,231","592,602,736,742","783,970,003,777","163,364,670,851","351,762,085,256","535,661,871,824"
04,판매비와관리비," 120,862,944,766 "," 249,317,930,842 "," 364,226,638,298 "," 509,774,704,851 "," 120,479,659,934 "," 251,623,914,116 "," 363,836,423,965 "," 504,770,128,878 "," 120,903,900,236 "," 249,218,402,824 "," 367,409,764,717 "," 421,520,061,501 "," 94,900,098,224 "," 191,692,622,444 "," 286,776,849,640 "," 362,925,221,578 "," 89,436,695,878 "," 186,695,403,643 "," 272,231,944,005 "," 375,414,148,612 "," 95,815,650,221 "," 191,664,221,952 "," 282,469,785,612 "," 393,899,852,735 "," 94,556,380,017 "," 201,918,053,425 "," 300,985,714,824 ","425,939,314,282","102,979,561,110","218,414,562,696","325,982,251,562","446,957,401,233","101,661,533,122","206,877,931,096","312,550,485,120"
05,영업이익," 61,430,084,095 "," 144,908,264,765 "," 236,721,856,839 "," 276,252,492,275 "," 48,610,012,021 "," 123,289,919,554 "," 194,862,725,277 "," 228,623,755,203 "," 25,837,407,851 "," 79,437,431,880 "," 128,164,603,557 "," 139,481,368,055 "," 26,273,859,270 "," 58,164,555,561 "," 85,279,231,614 "," 96,510,367,259 "," 11,156,985,385 "," 33,421,306,596 "," 59,872,921,850 "," 79,887,632,742 "," 25,257,365,346 "," 86,400,738,062 "," 138,003,871,195 "," 177,791,342,083 "," 51,238,691,888 "," 148,885,897,130 "," 259,155,170,306 ","345,282,835,796","88,182,575,070","190,311,666,535","266,620,485,180","337,012,602,544","61,703,137,729","144,884,154,160","223,111,386,704"
06,순금융손익,"-21,588,641,656 ","-15,105,523,249 ","-19,804,535,131 ","-142,786,687,703 "," 447,537,372,005 ","-76,059,935,325 "," 277,359,779,116 ","-246,145,888,856 "," 32,637,420,003 ","-171,047,199,504 ","-288,812,209,977 ","-10,809,760,152 ","-536,366,560,571 ","-40,087,799,879 ","-246,590,366,811 "," 451,968,695,507 ","-42,628,287,718 "," 182,380,611,133 ","-194,450,121,936 ","-313,596,752,986 ","-56,442,956,136 "," 63,274,903,846 ","-338,411,739,359 ","-219,730,935,877 "," 721,455,346 "," 82,039,775,601 "," 99,252,241,751 ","326,719,940,991","617,436,196,645","542,256,849,536","505,753,729,789","272,886,090,865","17,367,569,794","1,212,959,073,194","1,609,988,771,787"
06-01,금융수익," 58,932,479,418 "," 67,378,629,914 "," 76,442,821,145 "," 287,747,401,990 "," 502,163,013,178 "," 204,381,781,608 "," 423,605,408,534 "," 315,670,471,089 "," 108,580,511,722 "," 118,875,806,057 "," 136,056,404,775 "," 182,027,451,879 "," 113,759,978,757 "," 260,862,878,318 "," 144,697,098,500 "," 689,069,179,580 "," 220,909,463,044 "," 258,880,400,861 "," 168,622,362,829 "," 188,751,220,586 "," 114,126,654,114 "," 223,599,211,893 "," 220,561,370,243 "," 256,143,445,149 "," 145,009,778,092 "," 313,762,986,348 "," 336,716,105,533 ","612,312,695,992","687,489,222,676","651,162,297,027","664,545,380,066","738,446,859,330","142,894,843,671","1,345,176,023,589","1,876,377,118,291"
06-02,금융원가,"-80,521,121,074 ","-82,484,153,163 "," 96,247,356,276 "," 430,534,089,693 "," 54,625,641,173 ","-280,441,716,933 "," 146,245,629,418 "," 561,816,359,945 "," 75,943,091,719 "," 289,923,005,561 "," 424,868,614,752 "," 192,837,212,031 "," 650,126,539,328 "," 300,950,678,197 "," 391,287,465,311 "," 237,100,484,073 "," 263,537,750,762 "," 76,499,789,728 "," 363,072,484,765 "," 502,347,973,572 "," 170,569,610,250 "," 160,324,308,047 "," 558,973,109,602 "," 475,874,381,026 "," 144,288,322,746 "," 231,723,210,747 ","-237,463,863,782 ","285,592,755,001","70,053,026,031","108,905,447,491","158,791,650,277","465,560,768,465","125,527,273,877","132,216,950,395","266,388,346,504"
07,기타영업외손익,"-99,649,936 "," 3,398,766,756 "," 2,814,216,911 ","-124,842,443,333 "," 1,594,738,418 "," 5,422,052,869 "," 18,207,167,361 "," 6,334,024,452 ","-4,452,059,927 ","-883,406,987 "," 431,840,820 ","-219,475,151,457 "," 1,338,699,527 "," 2,158,890,613 "," 82,877,300,315 "," 214,191,839,959 "," 34,755,865,571 "," 41,768,342,617 "," 45,821,218,854 "," 119,473,280,177 "," 4,743,004,605 "," 8,252,436,943 "," 7,952,123,870 "," 49,858,506,432 "," 19,719,720,296 "," 19,391,660,369 "," 28,470,628,300 ","33,379,866,706","7,074,071,349","13,694,841,622","22,496,543,542","28,444,946,280","30,044,019,333","30,845,005,817","40,962,818,053"
07-01,기타이익," 9,287,074,710 "," 19,778,186,505 "," 30,001,879,288 "," 47,972,388,193 "," 9,771,222,760 "," 19,451,521,018 "," 38,323,645,692 "," 51,467,692,971 "," 6,988,195,971 "," 24,073,583,148 "," 32,946,269,817 "," 86,755,345,069 "," 6,255,469,288 "," 12,888,090,847 "," 100,721,496,579 "," 257,364,294,107 "," 37,480,031,948 "," 50,800,985,824 "," 60,705,442,545 "," 137,447,141,631 "," 9,238,575,558 "," 22,076,751,353 "," 33,357,897,727 "," 85,078,222,576 "," 29,164,625,875 "," 44,875,879,041 "," 55,635,052,006 ","69,102,511,103","10,408,325,521","25,042,601,287","36,605,296,957","50,951,770,487","43,699,354,642","56,438,936,038","69,400,699,679"
07-02,기타손실,"-9,386,724,646 ","-16,379,419,749 "," 27,187,662,377 "," 172,814,831,526 "," 8,176,484,342 ","-14,029,468,149 "," 20,116,478,331 "," 45,133,668,519 "," 11,440,255,898 "," 24,956,990,135 "," 32,514,428,997 "," 306,230,496,526 "," 4,916,769,761 "," 10,729,200,234 "," 17,844,196,264 "," 43,172,454,148 "," 2,724,166,377 "," 9,032,643,207 "," 14,884,223,691 "," 17,973,861,454 "," 4,495,570,953 "," 13,824,314,410 "," 25,405,773,857 "," 35,219,716,144 "," 9,444,905,579 "," 25,484,218,672 ","-27,164,423,706 ","35,722,644,397","3,334,254,172","11,347,759,665","14,108,753,415","22,506,824,207","13,655,335,309","25,593,930,221","28,437,881,626"
08,법인세비용차감전이익," 39,741,792,503 "," 133,201,508,272 "," 219,731,538,619 "," 8,623,361,239 "," 497,742,122,444 "," 52,652,037,098 "," 490,429,671,754 ","-11,188,109,201 "," 54,022,767,927 ","-92,493,174,611 ","-160,215,765,600 ","-90,803,543,554 ","-508,754,001,774 "," 20,235,646,295 ","-78,433,834,882 "," 762,670,902,725 "," 3,284,563,238 "," 257,570,260,346 ","-88,755,981,232 ","-114,235,840,067 ","-26,442,586,185 "," 157,928,078,851 ","-192,455,744,294 "," 7,918,912,638 "," 71,679,867,530 "," 250,317,333,100 "," 386,878,040,357 ","705,382,643,493","712,692,843,064","746,263,357,693","794,870,758,511","638,343,639,689","109,114,726,856","1,388,688,233,171","1,874,062,976,544"
