분류,항목,기간,수치,단위
재무상태표(연결),부채및자본총계,2021-12-31,1.28789E+13,원
재무상태표(연결),유동자산,2022-12-31,4.02978E+12,원
재무상태표(연결),현금및현금성자산,2022-12-31,7.76748E+11,원
재무상태표(연결),단기금융상품,2022-12-31,4.08424E+11,원
재무상태표(연결),매출채권,2022-12-31,1.07738E+12,원
재무상태표(연결),기타채권,2022-12-31,1.23926E+11,원
재무상태표(연결),선급금,2022-12-31,16748692808,원
재무상태표(연결),선급비용,2022-12-31,43757887283,원
재무상태표(연결),기타유동금융자산,2022-12-31,3839800045,원
재무상태표(연결),미수법인세환급액,2022-12-31,2855826160,원
재무상태표(연결),재고자산,2022-12-31,1.5761E+12,원
재무상태표(연결),비유동자산,2022-12-31,9.0887E+12,원
재무상태표(연결),장기매출채권,2022-12-31,808741341,원
재무상태표(연결),기타채권,2022-12-31,84658653465,원
재무상태표(연결),기타비유동금융자산,2022-12-31,2.38644E+12,원
재무상태표(연결),지분법적용투자지분,2022-12-31,8.92453E+11,원
재무상태표(연결),사용권자산,2022-12-31,1.90271E+11,원
재무상태표(연결),유형자산,2022-12-31,3.5348E+12,원
재무상태표(연결),무형자산,2022-12-31,4.24374E+11,원
재무상태표(연결),영업권,2022-12-31,8.72427E+11,원
재무상태표(연결),투자부동산,2022-12-31,6.46051E+11,원
재무상태표(연결),이연법인세자산,2022-12-31,15416596562,원
재무상태표(연결),순확정급여자산,2022-12-31,41000012834,원
재무상태표(연결),자산총계,2022-12-31,1.31185E+13,원
재무상태표(연결),유동부채,2022-12-31,2.86937E+12,원
재무상태표(연결),매입채무,2022-12-31,7.113E+11,원
재무상태표(연결),기타부채,2022-12-31,7.8897E+11,원
재무상태표(연결),단기차입금,2022-12-31,5.14339E+11,원
재무상태표(연결),유동성장기차입금,2022-12-31,10544148235,원
재무상태표(연결),유동성사채,2022-12-31,6.69746E+11,원
재무상태표(연결),유동충당부채,2022-12-31,7380477101,원
재무상태표(연결),미지급법인세,2022-12-31,1.67093E+11,원
재무상태표(연결),비유동부채,2022-12-31,4.69798E+12,원
재무상태표(연결),장기차입금,2022-12-31,2.88855E+12,원
재무상태표(연결),비유동사채,2022-12-31,7.98494E+11,원
재무상태표(연결),기타부채,2022-12-31,2.16277E+11,원
재무상태표(연결),기타비유동금융부채,2022-12-31,57445318831,원
재무상태표(연결),순확정급여부채,2022-12-31,2.55145E+11,원
