기준일,연도,분기,기간표준,지표,수치,단위,산출기준,search_tag,search_text,fact_text
2024-12-31,2024,Q4,2024 Q4,자산총계,13406267.0,백만원,,2024Q4|주요재무지표|자산총계|백만원,2024 Q4 | 2024년 Q4 | 2024년 4분기 | 2024-12-31 기준 자산총계 | 주요재무지표 | 자산총계 | total assets | 총자산 | assets | 백만원,2024년 4분기 주요재무지표 기준 자산총계은 13406267.0백만원입니다.
2024-12-31,2024,Q4,2024 Q4,차입금의존도,38.7,%,(차입금/총자산)*100,2024Q4|주요재무지표|차입금의존도|%,2024 Q4 | 2024년 Q4 | 2024년 4분기 | 2024-12-31 기준 차입금의존도 | 주요재무지표 | 차입금의존도 | borrowings dependence | borrowings | debt | % | (차입금/총자산)*100,2024년 4분기 주요재무지표 기준 차입금의존도은 38.7%입니다. 산출기준은 (차입금/총자산)*100입니다.
2024-12-31,2024,Q4,2024 Q4,차입금,5186963.0,백만원,,2024Q4|주요재무지표|차입금|백만원,2024 Q4 | 2024년 Q4 | 2024년 4분기 | 2024-12-31 기준 차입금 | 주요재무지표 | 차입금 | borrowings dependence | borrowings | debt | 백만원,2024년 4분기 주요재무지표 기준 차입금은 5186963.0백만원입니다.
2024-12-31,2024,Q4,2024 Q4,총자산이익률,2.4,%,(당기순이익/총자산)*100,2024Q4|주요재무지표|총자산이익률|%,2024 Q4 | 2024년 Q4 | 2024년 4분기 | 2024-12-31 기준 총자산이익률 | 주요재무지표 | 총자산이익률 | % | (당기순이익/총자산)*100,2024년 4분기 주요재무지표 기준 총자산이익률은 2.4%입니다. 산출기준은 (당기순이익/총자산)*100입니다.
2024-12-31,2024,Q4,2024 Q4,당기순이익,326551.0,백만원,,2024Q4|주요재무지표|당기순이익|백만원,2024 Q4 | 2024년 Q4 | 2024년 4분기 | 2024-12-31 기준 당기순이익 | 주요재무지표 | 당기순이익 | 백만원,2024년 4분기 주요재무지표 기준 당기순이익은 326551.0백만원입니다.
2024-12-31,2024,Q4,2024 Q4,자기자본순이익률(roe),6.2,%,(당기순이익/자기자본)*100,2024Q4|주요재무지표|자기자본순이익률(roe)|%,2024 Q4 | 2024년 Q4 | 2024년 4분기 | 2024-12-31 기준 자기자본순이익률(roe) | 주요재무지표 | 자기자본순이익률(roe) | equity | 자본 | % | (당기순이익/자기자본)*100,2024년 4분기 주요재무지표 기준 자기자본순이익률(roe)은 6.2%입니다. 산출기준은 (당기순이익/자기자본)*100입니다.
2024-12-31,2024,Q4,2024 Q4,당기순이익증가율,253.0,%,((당기-전기순이익)/전기순이익)*100,2024Q4|주요재무지표|당기순이익증가율|%,2024 Q4 | 2024년 Q4 | 2024년 4분기 | 2024-12-31 기준 당기순이익증가율 | 주요재무지표 | 당기순이익증가율 | % | ((당기-전기순이익)/전기순이익)*100,2024년 4분기 주요재무지표 기준 당기순이익증가율은 253.0%입니다. 산출기준은 ((당기-전기순이익)/전기순이익)*100입니다.
2024-12-31,2024,Q4,2024 Q4,총자산증가율,0.4,%,((당기말-전기말총자산)/전기말총자산)*100,2024Q4|주요재무지표|총자산증가율|%,2024 Q4 | 2024년 Q4 | 2024년 4분기 | 2024-12-31 기준 총자산증가율 | 주요재무지표 | 총자산증가율 | % | ((당기말-전기말총자산)/전기말총자산)*100,2024년 4분기 주요재무지표 기준 총자산증가율은 0.4%입니다. 산출기준은 ((당기말-전기말총자산)/전기말총자산)*100입니다.
2025-12-31,2025,Q4,2025 Q4,유동비율,100.0,%,(유동자산/유동부채)*100,2025Q4|주요재무지표|유동비율|%,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 유동비율 | 주요재무지표 | 유동비율 | current ratio | % | (유동자산/유동부채)*100,2025년 4분기 주요재무지표 기준 유동비율은 100.0%입니다. 산출기준은 (유동자산/유동부채)*100입니다.
2025-12-31,2025,Q4,2025 Q4,유동자산,3982830.0,백만원,,2025Q4|주요재무지표|유동자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 유동자산 | 주요재무지표 | 유동자산 | current assets | 백만원,2025년 4분기 주요재무지표 기준 유동자산은 3982830.0백만원입니다.
