기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,search_tag,search_text,fact_text,수치표시
2024-06-30,2024,Q2,2024 Q2,실리콘,매출액,매출액,785149,백만원,2024Q2|실리콘|매출액|매출액|백만원,2024 Q2 | 2024년 Q2 | 2024년 2분기 | 2024-06-30 기준 실리콘 매출액 | 사업부 | 부문정보 | 실리콘 | 매출액 | 실리콘사업부 | silicone | 매출 | sales | revenue | 백만원,2024년 2분기 사업부 부문정보 기준 실리콘의 매출액은 785149백만원이며 기준일은 2024-06-30입니다.,785149
2024-06-30,2024,Q2,2024 Q2,실리콘,영업이익,영업이익,18405,백만원,2024Q2|실리콘|영업이익|영업이익|백만원,2024 Q2 | 2024년 Q2 | 2024년 2분기 | 2024-06-30 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 2분기 사업부 부문정보 기준 실리콘의 영업이익은 18405백만원이며 기준일은 2024-06-30입니다.,18405
2024-06-30,2024,Q2,2024 Q2,실리콘,영업이익,영업이익률(%),2.34,%,2024Q2|실리콘|영업이익|영업이익률(%)|%,2024 Q2 | 2024년 Q2 | 2024년 2분기 | 2024-06-30 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 영업이익률(%) | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2024년 2분기 사업부 부문정보 기준 실리콘의 영업이익률(%)은 2%이며 기준일은 2024-06-30입니다.,2.34
2024-06-30,2024,Q2,2024 Q2,연결조정,영업이익,영업이익,4073,백만원,2024Q2|연결조정|영업이익|영업이익|백만원,2024 Q2 | 2024년 Q2 | 2024년 2분기 | 2024-06-30 기준 연결조정 영업이익 | 사업부 | 부문정보 | 연결조정 | 영업이익 | 조정 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 2분기 사업부 부문정보 기준 연결조정의 영업이익은 4073백만원이며 기준일은 2024-06-30입니다.,4073
2024-06-30,2024,Q2,2024 Q2,전사(공통),매출액,매출액,1778728,백만원,2024Q2|전사(공통)|매출액|매출액|백만원,2024 Q2 | 2024년 Q2 | 2024년 2분기 | 2024-06-30 기준 전사(공통) 매출액 | 사업부 | 부문정보 | 전사(공통) | 매출액 | 전사 | 공통 | 매출 | sales | revenue | 백만원,2024년 2분기 사업부 부문정보 기준 전사(공통)의 매출액은 1778728백만원이며 기준일은 2024-06-30입니다.,1778728
2024-06-30,2024,Q2,2024 Q2,전사(공통),영업이익,영업이익,140561,백만원,2024Q2|전사(공통)|영업이익|영업이익|백만원,2024 Q2 | 2024년 Q2 | 2024년 2분기 | 2024-06-30 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 2분기 사업부 부문정보 기준 전사(공통)의 영업이익은 140561백만원이며 기준일은 2024-06-30입니다.,140561
2024-06-30,2024,Q2,2024 Q2,전사(공통),영업이익,영업이익률(%),7.90,%,2024Q2|전사(공통)|영업이익|영업이익률(%)|%,2024 Q2 | 2024년 Q2 | 2024년 2분기 | 2024-06-30 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 영업이익률(%) | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2024년 2분기 사업부 부문정보 기준 전사(공통)의 영업이익률(%)은 8%이며 기준일은 2024-06-30입니다.,7.90
2024-03-31,2024,Q1,2024 Q1,건자재,매출액,매출액,264531,백만원,2024Q1|건자재|매출액|매출액|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 건자재 매출액 | 사업부 | 부문정보 | 건자재 | 매출액 | 건재 | 건자재사업부 | 매출 | sales | revenue | 백만원,2024년 1분기 사업부 부문정보 기준 건자재의 매출액은 264531백만원이며 기준일은 2024-03-31입니다.,264531
2024-03-31,2024,Q1,2024 Q1,건자재,영업이익,영업이익,44442,백만원,2024Q1|건자재|영업이익|영업이익|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 1분기 사업부 부문정보 기준 건자재의 영업이익은 44442백만원이며 기준일은 2024-03-31입니다.,44442
2024-03-31,2024,Q1,2024 Q1,건자재,영업이익,영업이익률(%),16.80,%,2024Q1|건자재|영업이익|영업이익률(%)|%,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 영업이익률(%) | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2024년 1분기 사업부 부문정보 기준 건자재의 영업이익률(%)은 17%이며 기준일은 2024-03-31입니다.,16.80
2024-03-31,2024,Q1,2024 Q1,기타,매출액,매출액,166269,백만원,2024Q1|기타|매출액|매출액|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 기타 매출액 | 사업부 | 부문정보 | 기타 | 매출액 | other | 매출 | sales | revenue | 백만원,2024년 1분기 사업부 부문정보 기준 기타의 매출액은 166269백만원이며 기준일은 2024-03-31입니다.,166269
2024-03-31,2024,Q1,2024 Q1,기타,영업이익,영업이익,-987,백만원,2024Q1|기타|영업이익|영업이익|백만원,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | other | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2024년 1분기 사업부 부문정보 기준 기타의 영업이익은 -987백만원이며 기준일은 2024-03-31입니다.,-987
2024-03-31,2024,Q1,2024 Q1,기타,영업이익,영업이익률(%),-0.59,%,2024Q1|기타|영업이익|영업이익률(%)|%,2024 Q1 | 2024년 Q1 | 2024년 1분기 | 2024-03-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | 영업이익률(%) | other | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2024년 1분기 사업부 부문정보 기준 기타의 영업이익률(%)은 -1%이며 기준일은 2024-03-31입니다.,-0.59
