재무제표,계정과목,기간,금액,단위
연결손익계산서,판매비와관리비,4Q22," 270,237 ",백만원
연결손익계산서,영업이익,4Q22," 57,641 ",백만원
연결손익계산서,지분법손익,4Q22," 3,633 ",백만원
연결손익계산서,순금융손익,4Q22," 50,418 ",백만원
연결손익계산서,금융수익,4Q22," 215,267 ",백만원
연결손익계산서,금융원가,4Q22," 164,849 ",백만원
연결손익계산서,기타영업외손익,4Q22,"-61,145 ",백만원
연결손익계산서,기타이익,4Q22," 14,604 ",백만원
연결손익계산서,기타손실,4Q22,"-75,749 ",백만원
연결손익계산서,법인세비용차감전순손익,4Q22," 50,546 ",백만원
연결손익계산서,법인세비용(수익),4Q22,"-29,060 ",백만원
연결손익계산서,당기순손익,4Q22," 79,606 ",백만원
연결손익계산서,기타포괄손익,4Q22," 48,096 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,4Q22,"-155,882 ",백만원
연결손익계산서,지분법자본변동?,4Q22,"-31,980 ",백만원
연결손익계산서,현금흐름위험회피,4Q22,"-2,173 ",백만원
연결손익계산서,해외사업환산손익 등,4Q22,"-121,730 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,4Q22," 197,521 ",백만원
연결손익계산서,확정급여제도의 재측정요소,4Q22," 179,862 ",백만원
연결손익계산서,지분법이익잉여금 ?,4Q22," 25,883 ",백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),4Q22,"-1,767 ",백만원
연결손익계산서,총포괄손익,4Q22," 127,703 ",백만원
연결손익계산서,지배기업소유주지분,4Q22," 125,933 ",백만원
연결손익계산서,비지배지분,4Q22,"-46,327 ",백만원
연결손익계산서,지배기업소유주지분,4Q22," 123,841 ",백만원
연결손익계산서,비지배지분,4Q22," 3,861 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),4Q22," 17,124 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),4Q22," 17,124 ",백만원
연결손익계산서,매출액,1Q23," 1,564,943 ",백만원
연결손익계산서,매출원가,1Q23," 1,251,543 ",백만원
연결손익계산서,매출총이익,1Q23," 313,399 ",백만원
연결손익계산서,판매비와관리비,1Q23," 237,572 ",백만원
연결손익계산서,영업이익,1Q23," 75,828 ",백만원
연결손익계산서,지분법손익,1Q23,"-14,433 ",백만원
연결손익계산서,순금융손익,1Q23,"-36,761 ",백만원
연결손익계산서,금융수익,1Q23," 194,455 ",백만원
연결손익계산서,금융원가,1Q23,"-231,216 ",백만원
연결손익계산서,기타영업외손익,1Q23," 3,451 ",백만원
연결손익계산서,기타이익,1Q23," 30,736 ",백만원
연결손익계산서,기타손실,1Q23,"-27,284 ",백만원
연결손익계산서,법인세비용차감전순손익,1Q23," 28,085 ",백만원
연결손익계산서,법인세비용(수익),1Q23," 43,537 ",백만원
연결손익계산서,당기순손익,1Q23,"-15,452 ",백만원
연결손익계산서,기타포괄손익,1Q23," 49,445 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q23," 48,850 ",백만원
연결손익계산서,지분법자본변동?,1Q23," 11,297 ",백만원
연결손익계산서,현금흐름위험회피,1Q23,"-22,247 ",백만원
연결손익계산서,해외사업환산손익 등,1Q23," 59,800 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q23, 595 ,백만원
연결손익계산서,확정급여제도의 재측정요소,1Q23, 59 ,백만원
연결손익계산서,지분법이익잉여금 ?,1Q23,-634 ,백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q23," 1,170 ",백만원
연결손익계산서,총포괄손익,1Q23," 33,993 ",백만원
연결손익계산서,지배기업소유주지분,1Q23," 8,137 ",백만원
연결손익계산서,비지배지분,1Q23,"-23,589 ",백만원
연결손익계산서,지배기업소유주지분,1Q23," 53,101 ",백만원
연결손익계산서,비지배지분,1Q23,"-19,108 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),1Q23," 1,106 ",백만원
