data_type,account_name,date,year,quarter,value_raw
재무상태표,순확정급여자산,2021-12-31,2021,Q4,"22,848,003,937"
재무상태표,자산총계,2021-12-31,2021,Q4,"8,810,372,411,563"
재무상태표,부채,2021-12-31,2021,Q4,
재무상태표,유동부채,2021-12-31,2021,Q4,"1,715,523,114,900"
재무상태표,매입채무,2021-12-31,2021,Q4,"240,105,182,264"
재무상태표,매입채무 및 기타유동채무,2021-12-31,2021,Q4,
재무상태표,기타부채,2021-12-31,2021,Q4,"466,083,524,411"
재무상태표,단기차입금,2021-12-31,2021,Q4,"817,644,847,183"
재무상태표,유동성장기차입금,2021-12-31,2021,Q4,"180,000,000,000"
재무상태표,유동성사채,2021-12-31,2021,Q4,
재무상태표,유동파생상품부채,2021-12-31,2021,Q4,
재무상태표,유동충당부채,2021-12-31,2021,Q4,"6,543,508,678"
재무상태표,기타유동금융부채,2021-12-31,2021,Q4,
재무상태표,미지급법인세,2021-12-31,2021,Q4,"5,146,052,364"
재무상태표,소유주분배예정부채집단,2021-12-31,2021,Q4,
재무상태표,비유동부채,2021-12-31,2021,Q4,"2,041,225,422,163"
재무상태표,장기차입금,2021-12-31,2021,Q4,"434,820,785,180"
재무상태표,비유동사채,2021-12-31,2021,Q4,"1,168,017,831,632"
재무상태표,기타부채,2021-12-31,2021,Q4,"75,852,031,602"
재무상태표,기타비유동금융부채,2021-12-31,2021,Q4,"18,940,578,202"
재무상태표,순확정급여부채,2021-12-31,2021,Q4,
재무상태표,기타장기종업원급여부채,2021-12-31,2021,Q4,"3,662,089,146"
재무상태표,비유동충당부채,2021-12-31,2021,Q4,"688,118,390"
재무상태표,이연법인세부채,2021-12-31,2021,Q4,"339,243,988,011"
재무상태표,종업원급여부채,2021-12-31,2021,Q4,
재무상태표,부채총계,2021-12-31,2021,Q4,"3,756,748,537,063"
재무상태표,자본,2021-12-31,2021,Q4,
재무상태표,자본금,2021-12-31,2021,Q4,"48,084,660,000"
재무상태표,자본잉여금,2021-12-31,2021,Q4,"553,070,812,612"
재무상태표,자본조정,2021-12-31,2021,Q4,"-204,952,835,010"
재무상태표,기타포괄손익누계액,2021-12-31,2021,Q4,"-22,922,712,751"
재무상태표,이익잉여금,2021-12-31,2021,Q4,"4,680,343,949,649"
재무상태표,자본총계,2021-12-31,2021,Q4,"5,053,623,874,500"
재무상태표,부채및자본총계,2021-12-31,2021,Q4,"8,810,372,411,563"
재무상태표,nan,2021-12-31,2021,Q4,
재무상태표,"검증1 (부채, 자본)",2021-12-31,2021,Q4,TRUE
재무상태표,검증2 (자산),2021-12-31,2021,Q4,TRUE
재무상태표,nan,2021-12-31,2021,Q4,
재무상태표,nan,2021-12-31,2021,Q4,
재무상태표,자산,2022-12-31,2022,Q4,
재무상태표,유동자산,2022-12-31,2022,Q4,"1,971,791,807,530"
재무상태표,현금및현금성자산,2022-12-31,2022,Q4,"501,584,853,199"
재무상태표,단기금융상품,2022-12-31,2022,Q4,"390,186,832,314"
재무상태표,매출채권,2022-12-31,2022,Q4,"551,255,319,157"
재무상태표,기타채권,2022-12-31,2022,Q4,"48,579,081,276"
재무상태표,매출채권 및 기타유동채권,2022-12-31,2022,Q4,
재무상태표,선급금,2022-12-31,2022,Q4,"4,708,451,708"
재무상태표,선급비용,2022-12-31,2022,Q4,"14,396,287,908"
재무상태표,기타유동금융자산,2022-12-31,2022,Q4,"3,839,800,045"
재무상태표,미수법인세환급액,2022-12-31,2022,Q4,
재무상태표,재고자산,2022-12-31,2022,Q4,"457,241,181,923"
재무상태표,매각예정분류자산,2022-12-31,2022,Q4,
재무상태표,소유주분배예정자산집단,2022-12-31,2022,Q4,
재무상태표,비유동자산,2022-12-31,2022,Q4,"6,831,287,805,678"
재무상태표,장기매출채권,2022-12-31,2022,Q4,"808,741,341"
재무상태표,장기매출채권 및 기타비유동채권,2022-12-31,2022,Q4,
재무상태표,기타채권,2022-12-31,2022,Q4,"43,202,291,291"
재무상태표,기타비유동금융자산,2022-12-31,2022,Q4,"2,287,108,976,126"
재무상태표,관계기업 및 공동기업투자,2022-12-31,2022,Q4,"554,703,016,618"
재무상태표,종속기업투자,2022-12-31,2022,Q4,"1,588,015,168,606"
재무상태표,사용권자산,2022-12-31,2022,Q4,"31,189,472,910"
재무상태표,유형자산,2022-12-31,2022,Q4,"1,682,697,449,284"
재무상태표,무형자산,2022-12-31,2022,Q4,"8,450,245,144"
재무상태표,투자부동산,2022-12-31,2022,Q4,"594,112,431,524"
재무상태표,순확정급여자산,2022-12-31,2022,Q4,"41,000,012,834"
재무상태표,자산총계,2022-12-31,2022,Q4,"8,803,079,613,208"
재무상태표,부채,2022-12-31,2022,Q4,
재무상태표,유동부채,2022-12-31,2022,Q4,"1,872,544,279,648"
재무상태표,매입채무,2022-12-31,2022,Q4,"256,239,414,238"
재무상태표,매입채무 및 기타유동채무,2022-12-31,2022,Q4,
재무상태표,기타부채,2022-12-31,2022,Q4,"504,319,209,654"
재무상태표,단기차입금,2022-12-31,2022,Q4,"423,861,355,943"
재무상태표,유동성장기차입금,2022-12-31,2022,Q4,
재무상태표,유동성사채,2022-12-31,2022,Q4,"669,746,220,249"
재무상태표,유동파생상품부채,2022-12-31,2022,Q4,
재무상태표,유동충당부채,2022-12-31,2022,Q4,"2,296,822,974"
재무상태표,기타유동금융부채,2022-12-31,2022,Q4,
재무상태표,미지급법인세,2022-12-31,2022,Q4,"16,081,256,590"
재무상태표,소유주분배예정부채집단,2022-12-31,2022,Q4,
재무상태표,비유동부채,2022-12-31,2022,Q4,"2,018,562,713,035"
재무상태표,장기차입금,2022-12-31,2022,Q4,"809,051,135,291"
재무상태표,비유동사채,2022-12-31,2022,Q4,"798,493,507,745"
재무상태표,기타부채,2022-12-31,2022,Q4,"75,177,211,215"
재무상태표,기타비유동금융부채,2022-12-31,2022,Q4,"57,445,318,831"
재무상태표,순확정급여부채,2022-12-31,2022,Q4,
재무상태표,기타장기종업원급여부채,2022-12-31,2022,Q4,"3,850,894,422"
재무상태표,비유동충당부채,2022-12-31,2022,Q4,"660,389,728"
재무상태표,이연법인세부채,2022-12-31,2022,Q4,"273,884,255,803"
재무상태표,종업원급여부채,2022-12-31,2022,Q4,
