기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,영업이익,103444,백만원,2025년1분기_순분기|연결손익계산서|영업이익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 영업이익 | 연결손익계산서 | 순분기 | 영업이익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 영업이익은(는) 103444백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,재평가이익,907418,백만원,2025년1분기_순분기|연결손익계산서|재평가이익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 재평가이익 | 연결손익계산서 | 순분기 | 재평가이익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 재평가이익은(는) 907418백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,지배기업소유주지분,44050,백만원,2025년1분기_순분기|연결손익계산서|지배기업소유주지분|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 지배기업소유주지분 | 연결손익계산서 | 순분기 | 지배기업소유주지분 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 지배기업소유주지분은(는) 44050백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,지배기업소유주지분,1060461,백만원,2025년1분기_순분기|연결손익계산서|지배기업소유주지분|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 지배기업소유주지분 | 연결손익계산서 | 순분기 | 지배기업소유주지분 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 지배기업소유주지분은(는) 1060461백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,지분법손익,6099,백만원,2025년1분기_순분기|연결손익계산서|지분법손익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 지분법손익 | 연결손익계산서 | 순분기 | 지분법손익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 지분법손익은(는) 6099백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,지분법이익잉여금,1026,백만원,2025년1분기_순분기|연결손익계산서|지분법이익잉여금|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 지분법이익잉여금 | 연결손익계산서 | 순분기 | 지분법이익잉여금 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 지분법이익잉여금은(는) 1026백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,지분법자본변동,45323,백만원,2025년1분기_순분기|연결손익계산서|지분법자본변동|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 지분법자본변동 | 연결손익계산서 | 순분기 | 지분법자본변동 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 지분법자본변동은(는) 45323백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,지분법자본변동,3690,백만원,2025년1분기_순분기|연결손익계산서|지분법자본변동|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 지분법자본변동 | 연결손익계산서 | 순분기 | 지분법자본변동 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 지분법자본변동은(는) 3690백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,총포괄손익,1060461,백만원,2025년1분기_순분기|연결손익계산서|총포괄손익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 총포괄손익 | 연결손익계산서 | 순분기 | 총포괄손익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 총포괄손익은(는) 1060461백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,판매비와관리비,291466,백만원,2025년1분기_순분기|연결손익계산서|판매비와관리비|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 판매비와관리비 | 연결손익계산서 | 순분기 | 판매비와관리비 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 판매비와관리비은(는) 291466백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,해외사업환산손익 등,61223,백만원,2025년1분기_순분기|연결손익계산서|해외사업환산손익 등|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 해외사업환산손익 등 | 연결손익계산서 | 순분기 | 해외사업환산손익 등 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 해외사업환산손익 등은(는) 61223백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,64913,백만원,2025년1분기_순분기|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 후속기간에 당기손익으로 재분류되는 항목 | 연결손익계산서 | 순분기 | 후속기간에 당기손익으로 재분류되는 항목 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 후속기간에 당기손익으로 재분류되는 항목은(는) 64913백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,951498,백만원,2025년1분기_순분기|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 후속기간에 당기손익으로 재분류되지 않는 항목 | 연결손익계산서 | 순분기 | 후속기간에 당기손익으로 재분류되지 않는 항목 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 후속기간에 당기손익으로 재분류되지 않는 항목은(는) 951498백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,금융수익,1327922,백만원,2025년2분기_순분기|연결손익계산서|금융수익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 금융수익 | 연결손익계산서 | 순분기 | 금융수익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 금융수익은(는) 1327922백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,금융원가,-198639,백만원,2025년2분기_순분기|연결손익계산서|금융원가|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 금융원가 | 연결손익계산서 | 순분기 | 금융원가 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 금융원가은(는) -198639백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,기타손실,-17595,백만원,2025년2분기_순분기|연결손익계산서|기타손실|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 기타손실 | 연결손익계산서 | 순분기 | 기타손실 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 기타손실은(는) -17595백만원입니다.
