순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
2-1,   유동부채,"1,641,337,595,307 ","2,323,008,240,238 ","2,461,725,168,877 ","2,603,527,421,142 ","2,380,723,124,439 ","1,817,004,611,197 ","1,696,367,483,104 ","1,422,168,944,016 ","1,485,564,943,549 ","1,730,133,677,476 ","2,061,091,782,620 ","2,916,784,567,953 ","3,290,027,511,591 ","3,389,983,026,097 ","2,951,209,725,706 ","3,014,059,194,900 ","3,157,950,561,484 ","3,144,610,675,894 ","3,245,584,251,915 ","2,699,971,576,814 ","3,077,569,330,023 ","3,069,456,080,516 ","2,697,212,451,974 ","2,869,372,542,476 ","3,507,062,739,917 ","3,494,210,950,332 ","3,496,920,840,177 ","3,836,444,032,748 ","3,512,623,880,202 ","3,364,128,965,214 ","3,331,172,498,453 ","3,230,859,313,899 ","3,287,556,313,117 ","3,073,266,095,889 ","4,085,188,052,756 "
2-1-01,      매입채무,"262,406,572,769 ","305,179,822,317 ",0 ,0 ,0 ,"325,553,930,809 ","293,539,171,113 ","268,390,899,279 ","222,779,697,816 ","246,739,065,747 ","249,848,676,893 ","218,349,729,831 ","560,402,874,701 ","475,023,264,098 ","470,887,856,560 ","557,472,597,249 ","620,825,832,583 ","679,977,314,787 ","655,854,184,077 ","788,460,412,243 ","825,003,233,465 ","830,156,714,086 ","774,492,343,583 ","711,299,651,337 ","673,641,348,692 ","664,095,611,808 ","659,567,095,431 ","647,424,598,087 ","679,488,853,009 ","797,652,419,372 ","722,109,104,206 ","770,281,368,251 ","726,303,830,340 ","713,029,616,573 ","670,278,362,059 "
2-1-02,      매입채무 및 기타유동채무,0 ,0 ,"601,835,828,741 ","1,012,755,908,960 ","674,971,440,118 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2-1-03,      기타부채,"325,453,674,820 ","286,535,910,577 ",0 ,0 ,0 ,"363,785,312,444 ","283,133,509,378 ","340,228,168,898 ","339,528,753,917 ","296,184,471,279 ","294,404,627,331 ","1,205,865,372,060 ","428,429,299,966 ","538,560,778,158 ","580,818,722,651 ","629,979,324,888 ","648,990,860,749 ","635,077,709,025 ","682,440,371,565 ","747,507,289,768 ","781,245,525,885 ","743,330,654,602 ","833,396,704,941 ","788,970,268,988 ","788,269,636,297 ","733,002,239,419 ","720,287,932,165 ","756,534,133,095 ","767,301,789,222 ","771,170,599,385 ","788,303,149,421 ","817,905,836,527 ","845,877,930,847 ","752,419,925,026 ","787,321,310,435 "
2-1-04,      단기차입금,"1,019,796,403,973 ","1,693,100,060,064 ","1,812,136,686,888 ","1,557,884,641,227 ","951,594,258,682 ","786,605,773,853 ","768,254,609,948 ","564,361,597,681 ","657,138,604,559 ","1,046,147,502,528 ","1,180,875,299,436 ","1,190,212,175,405 ","1,624,547,248,332 ","1,671,916,458,266 ","1,362,577,979,719 ","972,445,145,838 ","1,324,034,598,147 ","1,317,352,857,888 ","1,322,391,393,212 ","842,904,954,141 ","908,175,698,646 ","860,033,972,969 ","534,984,785,154 ","514,339,273,963 ","1,029,631,906,754 ","992,103,179,475 ","995,063,724,494 ","1,217,352,890,343 ","1,062,722,709,394 ","898,223,237,114 ","937,948,960,030 ","910,081,138,384 ","1,008,542,409,166 ","976,434,864,749 ","995,194,048,632 "
2-1-05,      유동성장기차입금,0 ,0 ,0 ,0 ,"309,248,295,140 ","201,691,274,860 ","201,822,783,760 ","101,830,365,280 ","101,944,457,010 ","101,926,761,540 ","101,689,579,410 ","101,026,827,390 ","111,158,004,510 ","110,062,058,874 ","110,736,093,777 ","109,173,870,469 ","109,568,743,348 ","89,539,197,162 ","189,955,610,160 ","189,935,035,994 ","190,147,061,404 ","110,779,127,558 ","11,886,186,230 ","10,544,148,235 ","411,082,300,000 ","450,542,800,000 ","451,774,800,000 ","553,484,414,966 ","286,454,988,008 ","249,607,074,740 ","243,863,354,515 ","150,080,700,000 ","12,465,250,000 ","11,529,400,000 ","11,918,700,000 "
2-1-06,      유동성사채,0 ,0 ,0 ,0 ,"380,067,877,655 ",0 ,0 ,0 ,0 ,0 ,"199,936,798,799 ","199,953,500,839 ","499,701,110,198 ","499,790,197,316 ","299,877,571,567 ","579,747,850,589 ","279,858,083,809 ","279,918,905,035 ","279,979,726,261 ",0 ,"199,890,045,130 ","349,778,511,748 ","349,846,699,951 ","669,746,220,249 ","469,846,388,336 ","519,761,610,931 ","519,858,277,906 ","369,805,196,612 ","369,893,482,355 ","439,748,482,982 ","439,853,201,141 ","319,909,993,834 ","464,798,166,010 ","469,645,831,017 ","1,170,380,851,575 "
2-1-07,      유동파생상품부채,"56,722,623 ","6,143,301,760 ","4,354,918,211 ","23,847,411,791 ","25,116,588,344 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2-1-08,      유동충당부채,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,450,421,578 ","7,359,324,079 ","8,366,362,596 ","13,833,054,041 ","14,084,447,890 ","13,906,908,722 ","10,975,110,673 ","10,505,335,906 ","13,853,885,764 ","8,733,301,857 ","8,735,587,535 ","7,380,477,101 ","8,017,847,657 ","7,984,018,452 ","13,347,628,707 ","21,080,877,716 ","21,292,878,819 ","32,872,295,143 ","31,000,834,776 ","32,737,475,143 ","32,723,049,435 ","19,599,889,699 ","19,844,552,300 "
2-1-09,      기타유동금융부채,0 ,0 ,0 ,0 ,0 ,"1,938,405,137 ",0 ,0 ,"30,978,504 ","612,752,005 ","1,152,627,388 ","889,320,316 ","3,167,673,118 ","2,339,218,898 ","657,519,548 ","255,925,566 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"164,369,968,258 ","168,939,656,348 ",0 ,0 ,0 ,0 ,0 ,"299,131,326,000 "
