,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
01,영업활동현금흐름," 70,505,356,520 "," 207,302,714,834 "," 241,076,811,336 "," 332,894,207,480 "," 108,642,823,155 "," 282,769,894,255 "," 380,036,202,501 "," 538,975,696,847 "," 34,347,076,054 "," 62,027,480,218 "," 180,135,631,742 "," 274,779,646,909 "," 97,207,339,265 "," 213,099,114,601 "," 325,470,876,814 "," 679,854,398,097 "," 1,573,667,237 "," 120,009,038,614 "," 234,275,920,029 "," 424,043,437,081 ","-76,357,971,358 ","-40,044,012,159 "," 166,891,856,843 "," 384,566,370,763 "," 19,425,330,231 "," 284,585,684,235 "," 461,485,591,556 "," 788,266,331,197 "," 113,737,759,016 "," 323,626,764,715 "," 457,715,443,443 "," 596,801,288,316 "," 109,138,484,734 "," 276,312,624,338 "," 411,601,339,981 "
01-01,   당기순이익(손실)," 34,114,104,962 "," 104,150,709,029 "," 175,880,073,623 "," 42,299,633,566 "," 376,314,926,417 "," 40,957,834,221 "," 359,812,313,693 ","-23,103,553,364 "," 33,229,965,254 ","-93,267,236,684 ","-187,868,087,099 ","-221,877,261,778 ","-270,247,362,636 "," 78,133,372,429 ","-47,718,164,514 "," 560,873,030,681 "," 30,431,137,644 "," 411,350,202,183 "," 178,969,931,072 ","-53,211,168,479 "," 32,197,301,757 "," 214,396,632,393 ","-50,944,715,047 "," 28,661,656,966 ","-15,452,013,086 "," 51,871,870,062 "," 63,109,834,860 "," 92,502,625,102 "," 454,910,931,746 "," 422,070,049,637 "," 379,762,396,275 "," 293,294,512,467 "," 44,050,087,099 "," 937,320,802,442 "," 1,263,659,266,611 "
01-02,   당기순이익조정을 위한 가감," 82,058,016,560 "," 163,626,686,980 "," 271,240,498,496 "," 515,143,426,066 ","-243,709,368,985 "," 265,687,867,327 "," 102,088,004,363 "," 591,516,537,008 "," 71,525,447,118 "," 355,615,073,529 "," 573,770,296,834 "," 680,632,113,049 "," 426,692,699,736 "," 248,526,372,416 "," 519,129,567,575 "," 96,201,592,536 "," 176,772,511,490 "," 47,961,880,272 "," 528,512,542,948 "," 961,734,289,444 "," 255,564,226,937 "," 358,088,755,734 "," 871,103,450,325 "," 974,397,772,782 "," 215,961,932,364 "," 371,212,914,463 "," 578,994,107,122 "," 759,553,455,622 ","-195,817,888,243 "," 132,575,222,383 "," 419,760,675,537 "," 782,870,426,884 "," 231,454,391,719 ","-381,423,746,397 ","-461,028,888,115 "
01-02-01,      법인세비용," 10,596,030,130 "," 37,945,478,917 "," 66,381,921,912 "," 51,563,770,123 "," 128,774,208,371 "," 31,844,337,906 "," 143,071,181,460 "," 10,809,137,076 "," 17,217,749,080 ","-16,600,475,739 ","-30,538,373,999 "," 32,281,107,023 ","-107,552,591,219 "," 42,659,997,542 "," 28,680,526,165 "," 180,042,564,495 "," 34,055,941,723 "," 210,833,602,043 "," 162,965,226,157 "," 166,064,904,559 "," 52,638,494,579 "," 150,139,821,801 "," 112,352,342,975 "," 83,292,295,663 "," 43,537,280,930 "," 94,576,871,266 "," 148,306,993,928 "," 151,933,153,754 "," 172,150,731,498 "," 212,318,365,706 "," 247,525,448,822 "," 176,574,132,226 "," 31,345,333,788 "," 404,843,251,027 "," 557,893,566,927 "
01-02-02,      이자비용," 12,298,092,376 "," 25,150,216,154 "," 38,834,306,217 "," 53,024,085,109 "," 15,738,444,271 "," 33,515,314,835 "," 45,928,393,759 "," 60,755,165,874 "," 14,220,795,526 "," 30,331,944,119 "," 47,064,908,730 "," 63,526,320,738 "," 46,097,170,649 "," 85,225,880,558 "," 124,897,538,693 "," 162,284,764,422 "," 35,746,748,771 "," 66,040,191,161 "," 102,359,690,111 "," 142,368,820,756 "," 35,914,986,276 "," 80,985,239,855 "," 128,526,192,152 "," 178,331,353,299 "," 51,779,300,541 "," 125,280,746,280 "," 188,276,027,309 "," 254,644,522,493 "," 66,011,168,987 "," 158,362,703,777 "," 252,569,532,629 "," 347,806,538,134 "," 78,864,286,522 "," 157,799,216,066 "," 248,051,716,899 "
01-02-03,      이자수익,"-3,584,604,324 ","-7,547,009,169 "," 11,755,438,013 "," 16,641,574,179 "," 5,333,938,151 "," 12,582,838,948 "," 16,533,144,455 "," 24,792,516,834 "," 7,711,234,075 "," 14,558,711,721 "," 20,278,545,814 "," 27,235,930,246 "," 5,949,433,010 "," 11,478,714,998 "," 16,030,903,253 "," 19,862,672,394 "," 1,848,496,492 "," 5,927,285,238 "," 7,634,459,080 "," 7,943,512,245 "," 1,243,583,877 "," 2,530,645,949 "," 4,846,534,843 "," 10,600,038,049 "," 6,824,389,334 "," 14,822,795,855 "," 23,876,380,421 "," 33,625,432,678 "," 9,658,645,465 "," 18,904,689,017 "," 26,889,278,757 "," 36,029,843,068 "," 4,696,690,836 "," 9,880,689,353 "," 16,720,771,623 "
01-02-04,      배당금수익,"-12,430,011,507 ","-12,492,807,520 ","-12,434,629,200 ","-12,434,629,199 ","-38,316,207,000 ","-39,169,494,337 ","-39,069,494,337 ","-39,069,494,337 ","-37,769,141,650 ","-37,769,141,650 ","-37,770,064,650 ","-37,770,064,650 ","-37,116,222,160 ","-37,116,222,160 ","-37,116,222,160 ","-37,116,222,160 ","-44,203,652,510 ","-44,203,694,370 ","-44,776,561,370 ","-44,866,782,410 ","-76,131,392,910 ","-76,275,384,998 ","-76,880,011,070 ","-76,887,951,070 ","-43,826,682,900 ","-43,826,682,900 ","-44,285,161,100 ","-44,285,161,100 ","-48,061,814,300 ","-48,061,814,300 ","-48,520,292,501 ","-48,520,292,501 ","-62,913,240,801 ","-62,913,240,801 ","-72,129,691,068 "
01-02-05,      금융보증비용, - , - , - ," 162,195,596,876 ", - , - , - ," 3,643,328,850 ", - , - , - , - ," 17,787,346,425 "," 29,564,731,640 "," 30,438,397,903 "," 29,529,096,832 "," 1,438,494,246 "," 2,862,442,550 "," 4,538,778,409 "," 6,097,039,541 "," 1,598,461,836 "," 4,373,367,419 "," 7,331,480,778 "," 7,536,864,629 "," 341,521,283 "," 693,948,706 "," 1,072,890,854 "," 1,373,619,740 "," 357,067,656 "," 738,751,554 "," 1,056,624,834 "," 1,570,292,220 "," 384,901,990 "," 717,701,081 "," 1,118,686,378 "
