01-02-06,      금융보증수익, - , - , - , - , - , - , - , - , - ,"-768,466,182 ","-2,296,065,594 ","-3,811,745,772 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-07,      외화환산손실," 15,978,921,942 "," 2,915,842,406 "," 2,914,111,705 "," 21,419,455,617 "," 2,449,793,118 "," 12,107,752,946 "," 16,436,588,344 "," 16,572,574,183 "," 4,932,924,308 "," 11,214,676,698 "," 17,395,382,959 "," 12,823,493,609 "," 20,753,501,723 "," 27,241,327,741 "," 39,157,159,876 "," 59,039,248,052 "," 25,396,218,861 "," 35,228,363,262 "," 47,033,158,178 "," 74,523,335,379 "," 53,177,175,508 "," 74,522,414,964 "," 91,625,514,825 "," 84,391,123,554 "," 51,826,153,426 "," 109,507,594,675 "," 146,644,509,641 "," 76,665,382,000 "," 34,257,709,371 "," 73,110,048,212 "," 61,784,404,419 "," 90,768,440,509 "," 49,263,888,632 "," 129,158,898,762 "," 110,771,252,274 "
01-02-08,      외화환산이익," 28,154,545,358 "," 27,324,078,687 "," 27,838,182,106 "," 41,421,457,593 "," 7,010,326,052 "," 18,897,235,326 "," 5,220,078,684 "," 4,380,547,936 "," 8,460,454,350 "," 6,095,902,217 "," 7,417,390,421 "," 5,576,752,362 "," 20,742,013,881 "," 19,590,202,962 "," 28,227,914,071 "," 45,106,108,836 "," 44,148,561,385 "," 48,987,645,152 "," 53,068,109,515 "," 81,213,064,366 "," 51,609,492,877 "," 76,760,513,173 "," 87,352,516,584 "," 39,999,929,025 "," 38,497,854,616 "," 99,604,677,294 "," 146,435,095,282 "," 40,311,070,454 "," 45,192,809,769 "," 98,332,534,798 "," 33,018,116,557 "," 115,549,856,929 "," 37,598,454,168 "," 72,396,163,409 "," 67,748,456,405 "
01-02-09,      통화스왑평가손실," 25,204,535,018 "," 18,433,136,996 "," 15,852,819,103 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-10,      통화스왑평가이익,"-4,564,320,916 ","-3,224,905,372 "," 2,567,708,006 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-11,      파생상품평가손실," 36,697,647 "," 728,000,018 "," 1,752,280,038 "," 43,471,976,636 "," 6,559,770,939 "," 7,867,856,282 "," 3,509,654,984 "," 6,806,609,792 "," 2,008,364,876 "," 6,825,929,135 "," 11,368,397,529 "," 29,600,717,364 "," 7,377,840,420 "," 6,646,830,500 "," 629,606,650 "," 173,297,276 ", - , - ," 488,425,994 ", - ," 323,785,615 "," 892,519,602 "," 581,166,163 "," 38,504,740,629 "," 2,795,048,158 "," 1,083,531,962 "," 1,325,087,372 "," 113,131,493,043 "," 4,887,012,992 "," 815,408,840 "," 1,272,405,253 "," 1,680,641,442 "," 747,510,157 ", - ," 73,656,401,000 "
01-02-12,      파생상품평가이익," 77,599,884 "," 631,610,257 "," 529,760,303 "," 9,720,169,261 "," 4,433,269,571 "," 3,957,431,112 "," 945,341,485 "," 3,152,695,956 "," 1,488,175,026 "," 5,545,997,604 "," 8,905,478,354 "," 3,714,192,926 "," 46,203,167,655 "," 57,734,077,029 "," 53,031,340,440 "," 43,471,181,686 "," 17,881,496,533 "," 36,726,004,707 "," 52,871,793,226 "," 71,063,090,818 "," 14,833,964,679 "," 26,433,161,947 "," 34,558,454,145 "," 10,219,879,779 "," 28,988,941,184 "," 44,563,277,600 "," 63,443,772,148 "," 13,101,778,412 "," 6,092,540,860 "," 9,047,744,673 "," 6,437,056,326 "," 12,063,752,856 ", - ," 227,476,327 "," 5,442,258,956 "
01-02-13,      파생상품거래손실," 325,890,946 "," 523,686,469 "," 655,713,875 "," 793,255,696 "," 29,995,448 "," 137,379,015 "," 2,323,018,688 "," 2,353,155,675 "," 32,191,793 "," 179,455,731 "," 449,113,272 "," 769,126,983 "," 235,048,732 "," 1,319,012,096 "," 8,098,638,464 "," 8,626,435,125 "," 796,005,339 "," 1,005,856,832 "," 1,096,652,808 "," 1,105,902,919 "," 2,092,135,127 "," 2,728,269,361 "," 3,295,422,827 "," 3,817,986,416 "," 661,904,338 "," 1,132,111,768 "," 1,654,588,749 "," 2,156,788,239 "," 516,697,022 "," 5,575,931,124 "," 6,066,940,996 "," 6,563,806,718 "," 744,623,362 "," 908,583,734 "," 908,583,734 "
01-02-14,      파생상품거래이익," 639,317,204 "," 1,345,718,695 "," 1,977,230,167 "," 2,698,964,598 "," 760,812,686 "," 3,233,940,377 "," 3,870,529,111 "," 4,518,777,500 "," 670,267,243 "," 1,367,179,885 "," 1,973,708,169 "," 2,585,673,040 "," 573,783,702 "," 1,599,836,865 "," 6,828,129,848 "," 6,770,262,800 "," 232,258,009 "," 326,081,079 "," 346,368,770 "," 878,003,585 "," 505,912,710 "," 1,960,530,061 "," 9,525,555,242 "," 14,684,267,490 "," 2,833,888,780 "," 5,237,800,178 "," 8,327,689,503 "," 11,118,752,767 "," 663,974,161 "," 3,538,976,948 "," 4,150,604,963 "," 4,736,717,094 "," 5,394,589,387 "," 5,489,203,680 "," 5,604,632,773 "
01-02-15,      당기손익인식금융자산평가손실, - , - , - ," 90,885,136,565 "," 29,243,472,860 "," 210,010,491,920 "," 58,085,064,925 "," 446,180,097,508 "," 53,667,546,080 "," 236,254,550,620 "," 338,191,833,430 "," 69,573,316,770 "," 589,057,848,625 "," 209,906,847,346 "," 279,229,110,030 "," 92,586,850,666 "," 230,447,792,645 "," 25,656,849,520 "," 277,255,738,058 "," 397,338,283,272 "," 126,627,077,660 "," 62,718,772,117 "," 387,011,763,496 "," 240,735,205,904 "," 94,022,533,975 "," 146,789,966,092 "," 114,966,665,863 "," 22,608,838,229 "," 15,340,981,393 "," 7,271,651,135 "," 10,989,481,303 "," 258,258,126,187 "," 74,806,620,625 "," 2,642,041,461 "," 673,394,622 "
01-02-16,      당기손익인식금융자산평가이익, - , - , - ," 184,950,825,564 ","-438,705,181,670 "," 60,471,824,510 "," 272,223,357,110 "," 148,889,575,678 "," 35,956,413,070 "," 220,576,975 "," 59,967,050 "," 52,360,131,111 ", - ," 130,593,055,102 "," 5,102,649,613 "," 521,267,541,249 "," 139,884,232,957 "," 152,278,405,023 "," 27,225,077,626 "," 14,000,469,135 "," 3,795,814,411 "," 71,973,266,287 "," 8,793,416,474 "," 5,256,319,793 "," 33,350,116,755 "," 153,089,918,339 "," 129,659,192,646 "," 452,438,333,769 "," 514,488,151,114 "," 351,859,641,400 "," 367,288,694,786 "," 342,195,674,089 "," 52,388,940,842 "," 1,223,076,939,504 "," 1,719,765,712,580 "
01-02-17,      금융자산처분손실, - ," 1,000 "," 1,000 "," 1,000 "," 14,850 "," 9,182,378 "," 9,183,378 "," 9,183,378 ", - ," 799,036,868 "," 2,773,028,242 "," 6,333,956,970 "," 202,978,099 "," 202,978,099 "," 202,978,099 "," 202,978,099 "," 4,021,197 "," 4,021,197 "," 4,021,197 "," 4,021,197 "," 15,663,240,224 "," 15,663,245,224 "," 15,663,279,614 "," 15,674,917,512 "," 528,440,655 "," 528,440,655 "," 528,440,655 "," 528,440,655 "," 391,982,158 "," 391,982,158 "," 391,982,158 "," 399,003,418 "," 6,283,929,636 "," 7,732,564,364 "," 7,732,564,364 "
01-02-18,      금융자산처분이익, - ,"-3,567,723,605 "," 3,567,723,605 "," 1,147,723,605 ","-1,126,588,196 "," 42,267,744,256 "," 50,033,248,141 "," 50,033,248,141 "," 2,076,454,596 "," 3,319,753,713 "," 3,319,753,713 "," 4,095,129,938 "," 102,341,768 "," 102,341,768 "," 1,170,642,770 "," 3,438,305,457 ", - ," 209,038,805 "," 3,761,535,657 "," 11,609,267,509 "," 5,888,846,591 "," 10,899,249,149 "," 20,888,533,882 "," 24,778,229,892 "," 13,465,589,995 "," 27,556,018,215 "," 28,976,554,664 "," 29,823,775,485 "," 3,661,008,366 "," 6,108,891,488 "," 7,745,604,982 "," 11,204,628,280 "," 543,203,313 "," 3,606,805,428 "," 4,832,581,986 "
01-02-19,      종속기업/관계기업/공동기업투자처분손실, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 3,404,786 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-20,      지분법손실," 7,637,383,583 "," 14,230,218,339 "," 20,581,232,553 "," 25,570,190,836 "," 73,665,184 ", - , - , - , - ," 18,925,548,341 "," 61,247,995,663 "," 252,526,895,020 ", - , - , - , - ," 199,569,992 ", - , - , - ," 57,708,468 ", - , - ," 2,254,201,543 "," 22,072,971,754 "," 30,231,939,789 "," 49,504,748,668 "," 256,009,750,506 "," 6,367,016,602 "," 1,132,459,005 "," 1,055,988,536 "," 1,223,062,212 "," 2,393,046,757 "," 9,754,579,382 "," 13,782,600,021 "
01-02-21,      지분법이익,"-7,046,803,828 ","-11,326,629,893 "," 15,414,729,277 "," 15,933,317,732 "," 7,281,826,113 "," 13,544,214,479 "," 16,604,207,962 "," 16,631,711,225 "," 6,900,691,420 "," 14,797,631,435 "," 19,158,389,600 "," 18,541,989,385 "," 17,229,038,659 "," 24,993,356,474 "," 29,437,399,779 "," 11,213,434,522 "," 7,548,020,497 "," 241,571,424,679 "," 244,398,369,882 "," 191,594,760,466 "," 11,826,026,861 "," 21,469,238,686 "," 21,420,069,359 "," 27,307,223,000 "," 7,639,826,086 "," 10,927,077,055 "," 15,706,322,473 "," 55,707,242,219 "," 3,733,916,371 "," 64,170,607,222 "," 71,272,138,554 "," 73,557,895,466 "," 8,492,397,884 "," 18,638,556,963 "," 22,461,555,814 "
01-02-22,      감가상각비," 50,930,657,067 "," 103,524,767,168 "," 162,058,181,326 "," 220,584,084,175 "," 58,147,798,493 "," 121,974,055,773 "," 185,194,103,649 "," 248,048,366,478 "," 60,473,621,039 "," 119,031,395,272 "," 176,716,372,024 "," 231,383,147,375 "," 92,756,119,996 "," 188,468,785,410 "," 276,746,069,892 "," 359,278,397,820 "," 88,415,511,699 "," 167,701,083,821 "," 254,987,089,974 "," 346,749,844,985 "," 87,146,613,318 "," 165,593,578,794 "," 271,947,406,280 "," 362,623,045,355 "," 88,366,788,397 "," 175,657,299,270 "," 264,211,491,984 "," 364,948,047,550 "," 92,653,890,525 "," 183,203,724,460 "," 271,410,751,100 "," 364,887,715,803 "," 95,227,179,759 "," 185,127,480,388 "," 274,808,313,961 "
01-02-23,      운휴자산상각비," 1,036,156 "," 121,562,173 "," 301,833,110 "," 462,828,254 "," 159,898,931 "," 160,935,090 "," 161,971,246 "," 163,006,402 "," 236,170,861 "," 2,631,008,218 "," 3,415,937,448 "," 4,138,783,618 "," 306,735,968 ", - , - ," 5,643,596,090 "," 348,112,815 "," 795,448,380 "," 2,231,718,776 "," 5,066,145,563 "," 152,190,043 "," 304,380,086 "," 456,570,127 "," 608,760,171 "," 129,786,340 "," 259,397,603 "," 1,424,097,782 "," 522,612,333 "," 130,527,164 "," 261,054,328 "," 391,581,490 "," 522,164,021 "," 164,361,548 "," 394,890,960 "," 1,702,455,781 "
01-02-24,      무형자산상각비," 390,107,766 "," 748,723,697 "," 1,106,959,046 "," 1,333,127,276 "," 316,649,239 "," 639,804,189 "," 972,468,471 "," 1,295,942,405 "," 404,032,718 "," 817,160,458 "," 1,334,364,246 "," 1,829,032,097 "," 11,853,221,120 "," 17,454,059,824 "," 33,970,835,537 "," 35,624,860,527 "," 633,080,418 "," 17,721,476,866 "," 27,200,007,722 "," 37,516,766,975 "," 9,633,327,482 "," 20,416,759,348 "," 32,360,266,900 "," 43,377,772,888 "," 15,455,790,648 "," 26,697,246,540 "," 38,088,101,904 "," 46,594,590,760 "," 12,560,405,250 "," 24,478,599,580 "," 36,076,174,519 "," 48,314,823,390 "," 12,507,984,745 "," 24,645,387,822 "," 36,566,795,328 "
01-02-25,      사용권자산상각비, - , - , - , - , - , - , - , - ," 381,620,490 "," 1,489,354,064 "," 5,179,039,823 "," 7,247,801,757 "," 6,549,967,088 "," 13,214,617,540 "," 19,025,118,522 "," 25,274,621,561 "," 6,478,457,923 "," 12,735,514,220 "," 16,955,508,781 "," 24,186,606,105 "," 6,904,183,716 "," 13,400,067,364 "," 20,192,967,926 "," 27,630,730,526 "," 7,069,896,232 "," 14,104,140,222 "," 21,313,775,632 "," 32,056,621,203 "," 7,059,709,367 "," 14,375,029,356 "," 21,726,861,255 "," 28,535,175,165 "," 7,955,589,548 "," 15,670,537,497 "," 23,251,159,212 "
01-02-26,      대손상각비," 4,095,306,208 "," 5,214,197,833 "," 4,485,502,042 "," 7,704,609,025 "," 5,815,252,937 "," 12,568,577,531 "," 9,702,710,557 "," 13,531,630,584 "," 4,973,727,457 "," 6,547,236,100 "," 6,330,181,934 "," 5,434,336,700 "," 2,063,057,715 ","-748,660,170 ","-170,072,515 ","-372,035,255 "," 1,047,783,421 "," 1,289,955,292 ", - ,"-3,143,344,574 "," 267,217,980 ","-760,230,411 ","-1,813,370,862 ","-103,064,007 "," 1,289,994,897 "," 4,364,318,290 "," 4,565,019,403 "," 5,404,934,202 "," 583,334,785 "," 1,196,725,970 "," 361,773,763 ","-617,507,963 "," 191,120,063 "," 1,325,540,986 "," 1,612,677,795 "
01-02-27,      기타의 대손상각비, - , - , - ," 15,930,350,834 ", - ," 979,112,416 "," 853,112,416 "," 1,544,570,053 "," 303,049,966 "," 595,331,659 "," 1,279,886,150 "," 1,246,601,822 "," 1,199,377,229 "," 1,011,424,810 "," 732,643,034 ","-1,112,086,196 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-28,      퇴직급여," 10,613,484,400 "," 19,556,054,715 "," 28,558,326,890 "," 35,451,759,769 "," 9,324,849,787 "," 18,350,025,515 "," 27,381,182,089 "," 35,854,546,011 "," 11,593,035,818 "," 20,220,021,094 "," 30,037,914,391 "," 43,361,935,217 "," 13,247,091,249 "," 27,724,948,613 "," 45,285,734,542 "," 83,196,194,378 "," 23,199,747,291 "," 41,487,200,551 "," 69,297,023,015 "," 84,994,486,345 "," 24,391,809,237 "," 48,184,375,093 "," 64,694,628,584 "," 83,798,411,648 "," 18,190,342,722 "," 35,187,298,621 "," 52,331,063,680 "," 68,949,770,117 "," 19,382,942,519 "," 38,431,665,201 "," 58,287,458,521 "," 76,480,020,579 "," 22,827,127,457 "," 42,947,746,773 "," 62,637,337,961 "
01-02-29,      기타장기종업원급여," 95,148,006 "," 190,296,012 "," 285,444,018 "," 486,530,398 "," 100,382,734 "," 200,765,468 "," 301,148,202 "," 442,614,649 "," 96,067,575 "," 192,135,150 "," 288,202,725 "," 1,519,618,962 "," 288,048,674 "," 559,982,480 "," 857,585,469 "," 3,233,806,293 "," 214,813,240 "," 367,680,753 "," 657,852,258 "," 450,171,403 "," 245,995,980 "," 498,845,168 "," 761,474,664 ","-5,074,541,289 "," 570,211,364 "," 1,147,117,587 "," 1,723,446,504 "," 3,104,628,907 "," 376,574,168 "," 758,656,728 "," 1,142,308,736 "," 2,601,961,504 "," 459,702,536 "," 914,169,711 "," 1,362,164,706 "
01-02-30,      유형자산처분손실," 469,410,603 "," 741,460,857 "," 809,747,170 "," 947,739,013 "," 23,454,329 "," 30,124,028 "," 710,917,316 "," 809,842,335 "," 4,730,770 "," 277,585,809 "," 563,454,491 "," 845,641,033 "," 649,956,369 "," 1,465,382,547 "," 4,611,233,876 "," 6,913,544,709 "," 6,582,219,801 "," 14,418,515,887 "," 14,962,764,736 "," 16,286,349,052 "," 8,326,037,232 "," 9,304,965,617 "," 9,938,658,286 "," 11,196,311,134 "," 4,801,180,155 "," 5,304,571,871 "," 1,305,336,415 "," 3,983,212,033 "," 199,092,028 "," 288,179,508 "," 373,816,167 "," 8,353,173,458 "," 1,384,412,497 "," 1,719,262,743 "," 5,868,102,748 "
01-02-31,      무형자산처분손실," 16,670,969 "," 22,360,533 "," 24,276,082 "," 34,004,862 "," 57,321,537 "," 124,879,253 "," 129,115,104 "," 168,892,566 "," 17,328,651 "," 57,678,352 "," 88,373,237 "," 148,821,227 "," 30,941,294 "," 43,028,101 "," 66,101,703 "," 76,738,065 "," 1,408,376,237 "," 1,519,533,041 "," 1,579,982,380 "," 1,945,352,173 "," 922,200 "," 47,017,819 "," 364,802,004 "," 374,936,533 "," 10,423,248 "," 219,833,663 "," 3,212,930,603 "," 3,238,272,818 "," 3,518,232 "," 198,944,575 "," 636,239,413 "," 654,006,977 "," 12,473,002 "," 25,691,029 "," 47,028,538 "
01-02-32,      유형자산처분이익,"-40,556,018 ","-1,072,687,134 "," 1,512,512,996 "," 1,611,290,118 "," 38,432,835 "," 98,380,460 "," 1,018,731,846 "," 1,151,493,535 "," 80,642,675 "," 9,545,748,161 "," 10,043,566,694 "," 10,242,329,775 "," 189,251,882 "," 657,912,087 "," 1,731,347,095 "," 4,987,906,502 "," 15,096,146,987 "," 17,914,502,765 "," 19,435,329,923 "," 19,773,895,549 "," 280,087,871 "," 1,674,418,203 "," 1,852,266,413 "," 2,556,432,502 "," 14,548,456,540 "," 17,050,364,956 "," 17,866,587,057 "," 18,601,564,420 "," 253,930,805 "," 743,858,418 "," 1,558,342,654 "," 4,263,659,964 "," 151,254,033 "," 683,176,065 "," 1,970,509,486 "
01-02-33,      무형자산처분이익, - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 52,000,000 "," 52,000,000 ", - , - ," 2,000,000 "," 2,000,000 ", - ," 91,756,966 "," 91,756,966 "," 91,756,966 ", - , - , - , - , - , - , - , - , - , - ," 18,240,342 "
01-02-34,      사용권자산처분이익, - , - , - , - , - , - , - , - , - , - , - , - ,"-97,782 "," 27,493,829 "," 27,762,745 "," 26,961,112 "," 3,185,007 "," 36,989,221 "," 35,568,844 ", - ," 12,726,051 "," 15,035,173 "," 16,389,178 "," 21,355,425 "," 16,864,553 "," 18,076,556 "," 34,224,578 "," 34,248,422 ", - ," 38,214,429 "," 37,903,898 "," 47,476,709 "," 30,102,267 "," 127,380,383 "," 128,491,045 "
01-02-35,      지분법적용투자주식처분이익, - , - , - , - ,"-94,512,160 "," 643,764,946 "," 643,764,946 "," 643,764,946 ", - , - , - , - ," 102,373,367,502 "," 102,373,367,502 "," 102,373,367,502 "," 102,373,367,502 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-36,      지분법적용투자주식처분손실, - , - , - , - , - , - ," 949,757,004 "," 949,757,004 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-37,      투자부동산처분이익, - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 78,973,635,000 "," 78,973,635,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-38,      투자부동산처분손실, - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 747,143,743 "," 747,143,743 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-39,      사업처분이익, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"-124,750,446,787 ", - ,"-1,312,999,253 ", - ,"-1,344,352,038 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-40,      중단영업처분이익, - , - , - , - , - , - , - , - , - , - , - , - ,"-46,794,252,877 "," 46,794,252,877 "," 46,794,252,877 "," 46,794,252,877 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-41,      수선비 등," 188,592,085 "," 580,287,934 "," 1,866,335,103 "," 2,224,211,686 "," 645,205,130 "," 1,025,461,560 "," 1,986,405,453 "," 4,023,668,155 "," 289,364,689 "," 596,162,393 "," 1,108,457,508 "," 1,983,730,055 "," 394,651,336 "," 394,675,352 "," 293,184,050 "," 3,720,934,836 "," 379,956,052 "," 3,983,309,073 "," 5,363,339,825 "," 7,716,443,809 "," 840,692,688 "," 8,950,285,508 "," 2,980,059,468 "," 2,899,498,630 "," 113,879,548 "," 1,086,833,728 "," 1,977,653,386 "," 3,708,545,092 "," 373,747,739 "," 1,448,393,989 "," 1,580,397,949 "," 3,421,449,468 "," 105,948,858 "," 382,480,441 "," 3,227,434,938 "
01-02-42,      손상차손환입,"-1,595,677,036 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-43,      유형자산손상차손환입, - ,"-1,595,677,036 "," 2,097,935,755 "," 2,097,935,755 ", - , - , - , - ," 281,069,043 "," 690,530,144 "," 690,530,144 "," 42,378,187,480 ", - , - ," 711,207,116 "," 1,039,419,425 "," 5,201,579,859 "," 11,157,346,843 "," 11,290,023,021 "," 3,979,082,529 "," 7,964,361,750 "," 8,149,367,340 "," 8,859,729,759 "," 1,860,977,056 "," 745,638,592 "," 896,975,228 "," 1,033,923,936 "," 1,037,449,580 ", - , - , - , - , - , - , - 
