차입금 (단위: 천원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 합? 계 ," 1,931,262,270 "," 2,103,819,505 "," 2,222,510,844 "," 2,248,606,009 "," 2,449,134,965 "," 1,796,168,963 "," 1,781,039,961 "," 1,875,678,001 "," 1,968,416,742 "," 2,357,172,033 "," 2,491,531,730 "," 2,499,968,579 "," 4,945,562,751 "," 5,087,036,179 "," 4,639,060,937 "," 4,356,258,065 "," 4,878,885,949 "," 5,002,091,636 "," 5,098,292,929 "," 4,588,864,087 "," 5,066,717,399 "," 5,369,416,998 "," 5,176,126,891 "," 4,881,670,153 "," 5,096,574,549 "," 5,280,827,923 "," 5,349,823,654 "," 5,150,850,188 "," 5,276,565,487 "," 5,592,274,242 "," 5,516,006,893 "," 5,186,962,648 "," 5,642,147,661 "," 5,225,879,144 "," 5,059,496,063 "
,,,,,,,54.47%,35.52%,38.56%,48.71%,59.50%,59.65%,45.20%,44.85%,38.22%,38.14%,35.12%,33.72%,35.16%,22.51%,25.62%,24.59%,17.32%,24.47%,37.49%,37.16%,36.76%,41.56%,32.58%,28.39%,29.40%,26.61%,26.33%,27.89%,43.04%
리스부채 (단위: 천원),,,,,,,,,,,," 624,290,578 ",,,,,,,,"-232,606,022 ",,,,,,,,,,,,,,,
구? 분,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
유동부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
? 리스부채,,,,,,,,,," 2,779,900 "," 6,540,831 ","3,952,418","16,668,530","18,566,259","18,552,843","17,913,194","15,810,164","17,535,542","19,216,607","22,000,409","24,228,583","24,922,724","25,591,398","25,119,951","22,907,157","22,604,833","21,750,757","22,144,789","22,818,603","24,335,584","23,448,069","25,072,354","24,915,437","24,902,942","25,532,549"
비유동부채　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
? 리스부채,,,,,,,,," 4,959,228 "," 4,258,556 "," 4,704,775 ","5,547,980","79,777,202","72,088,300","72,615,628","68,985,474","72,062,142","70,245,779","71,728,507","80,900,050","89,458,681","90,790,568","89,630,657","115,492,008","117,126,664","109,954,374","108,007,457","127,481,454","125,341,525","124,446,094","121,398,675","128,435,227","137,808,461","129,739,624","129,311,395"
총 리스부채, - , - , - , - , - , - , - , - ," 4,959,228 "," 7,038,456 "," 11,245,606 "," 9,500,398 "," 96,445,732 "," 90,654,559 "," 91,168,471 "," 86,898,668 "," 87,872,306 "," 87,781,321 "," 90,945,114 "," 102,900,459 "," 113,687,264 "," 115,713,292 "," 115,222,055 "," 140,611,959 "," 140,033,821 "," 132,559,207 "," 129,758,214 "," 149,626,243 "," 148,160,128 "," 148,781,678 "," 144,846,744 "," 153,507,581 "," 162,723,898 "," 154,642,566 "," 154,843,944 "
? 1년 이내,,,,,,,,,,,,"4,141,112",,,,"24,973,314",,,,,,,,,,,,,,,,,,,
? 1년 초과 5년 미만,,,,,,,,,,,,"3,697,639",,,,"55,979,325",,,,,,,,,,,,,,,,,,,
? 5년 초과,,,,,,,,,,,,"4,269,424",,,,"48,583,853",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국공채 (단위: 천원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구? 분,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
1년 내," 1,384,315 "," 440,291 "," 134,463 "," 117,100 "," 98,920 "," 122,948 "," 148,359 "," 976,631 "," 965,005 "," 1,675,726 "," 1,637,728 "," 770,507 "," 853,454 "," 5,521,542 "," 5,685,673 "," 5,796,890 "," 5,734,596 "," 551,123 "," 419,955 "," 305,421 "," 282,271 "," 159,819 "," 188,324 "," 212,182 "," 252,033 "," 147,752 "," 182,216 "," 173,652 "," 158,209 "," 233,128 "," 157,830 "," 144,789 "," 131,122 "," 102,667 "," 85,373 "
1년 초과 5년 내," 7,594,223 "," 7,809,781 "," 7,841,149 "," 7,803,215 "," 7,788,706 "," 7,859,254 "," 7,891,628 "," 7,048,324 "," 7,084,316 "," 6,357,413 "," 6,445,466 "," 6,465,032 "," 6,383,373 "," 1,071,121 "," 925,158 "," 819,005 "," 788,374 "," 625,096 "," 595,830 "," 614,544 "," 605,668 "," 515,037 "," 455,074 "," 432,526 "," 415,573 "," 392,421 "," 303,974 "," 340,610 "," 319,742 "," 226,976 "," 209,588 "," 203,231 "," 192,767 "," 126,441 "," 126,434 "
5년 초과," 132,175 "," 109,193 "," 127,560 "," 127,681 "," 144,366 "," 192,941 "," 177,788 "," 178,615 "," 131,311 "," 131,707 "," 113,970 "," 131,785 "," 112,800 "," 48,246 "," 31,521 "," 31,195 "," 43,676 "," 43,740 "," 43,419 "," 25,860 "," 45,650 "," 39,584 "," 39,694 "," 39,807 "," 39,807 "," 24,467 "," 25,161 ",,,,,,,,
합 계," 9,110,713 "," 8,359,265 "," 8,103,172 "," 8,047,996 "," 8,031,992 "," 8,175,143 "," 8,217,775 "," 8,203,570 "," 8,180,632 "," 8,164,846 "," 8,197,164 "," 7,367,324 "," 7,349,627 "," 6,640,909 "," 6,642,352 "," 6,647,090 "," 6,566,646 "," 1,219,959 "," 1,059,204 "," 945,825 "," 933,589 "," 714,440 "," 683,092 "," 684,515 "," 707,413 "," 564,640 "," 511,351 "," 514,262 "," 477,951 "," 460,104 "," 367,418 "," 348,020 "," 323,889 "," 229,108 "," 211,807 "
만기도래,,,,,,,,,,,," 976,135 ",,,," 770,110 ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차입원가 자본화 (단위: 백만원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구? 분,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
차입원가 자본화, 697 ," 1,629 "," 2,092 "," 2,822 ", 831 ," 1,091 "," 1,129 "," 1,224 ", 343 ," 1,037 "," 1,945 "," 2,282 ", 260 , 518 , 613 , 691 , 191 , 283 , 313 , 354 , 100 , 257 , 468 , 907 , 371 , 967 ," 1,730 "," 3,379 ", 581 ," 1,293 "," 2,014 "," 2,602 ", 739 ," 1,619 "," 2,256 "
"검색어1) 차입금에서 발생한 차입원가 중 ###백만원(전기 : ___백만원)을 자본화하여 유형자산의 취득원가에 포함하였으며, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
검색어2) 유효이자율법에 의한 사채 상각액 등 ___백만원과 자본화 차입원가 ###백만원이 포함되어 있습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
검색어3) 차입금에서 발생한 차입원가는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
