기준일,연도,기간표준,카테고리,세부항목,핵심값,단위,비고_상세설명,search_tag,search_text,fact_text
상시,상시,상시,IR정보,IR담당자_부,장원석 프로,-,KCC IR 담당자(부)입니다.,상시|IR정보|담당자|장원석,IR 담당자 | 장원석 프로 | IR 담당자(부) | KCC IR 연락망 | 주식 담당자,KCC의 IR 담당자(부)는 장원석 프로입니다.
상시,상시,상시,IR정보,IR담당자_정,정연규 책임,-,KCC IR 담당자(정)입니다.,상시|IR정보|담당자|정연규,IR 담당자 | 정연규 책임 | IR 담당자(정) | KCC IR 연락망 | 주식 담당자,KCC의 IR 담당자(정)는 정연규 책임입니다.
2025-12-31,2025,2025년말,주요원재료,실리콘_MOM,"1,008,857",백만원,"매입유형: 원재료 외 | 품목: 메탈 실리콘 외 | 구체적용도: 실리콘 | 비율: 32.72% | 주요매입처: Global Ferro, MGC and XINAN 외",2025년말|주요원재료|실리콘|MOM,"2025년말 | 2025-12-31 기준 주요원재료 | 실리콘 부문 | 대상회사 MOM | 메탈 실리콘 외 | Global Ferro, MGC and XINAN 외 | 원재료 매입액","2025년말 기준 실리콘 부문(MOM)의 주요 매입 품목은 메탈 실리콘 외 등(실리콘)입니다. 매입액은 1,008,857백만원(비율 32.72%)이며, 주요 매입처는 Global Ferro, MGC and XINAN 외입니다."
2024-12-31,2024,2024년말,주요원재료,건자재_케이씨씨,"599,060",백만원,매입유형: 원재료 외 | 품목: 석고지 외 | 구체적용도: 석고보드 외 | 비율: 17.45% | 주요매입처: 아세아제지㈜ 외,2024년말|주요원재료|건자재|케이씨씨,2024년말 | 2024-12-31 기준 주요원재료 | 건자재 부문 | 대상회사 케이씨씨 | 석고지 외 | 아세아제지㈜ 외 | 원재료 매입액,"2024년말 기준 건자재 부문(케이씨씨)의 주요 매입 품목은 석고지 외 등(석고보드 외)입니다. 매입액은 599,060백만원(비율 17.45%)이며, 주요 매입처는 아세아제지㈜ 외입니다."
2024-12-31,2024,2024년말,주요원재료,기타_KCSKCVN,"17,023",백만원,"매입유형: 원재료 외 | 품목: ALUMINA 외 | 구체적용도: AM 외 | 비율: 0.5% | 주요매입처: DAEHAN CERAMICS CO., LTD 외",2024년말|주요원재료|기타|KCSKCVN,"2024년말 | 2024-12-31 기준 주요원재료 | 기타 부문 | 대상회사 KCSKCVN | ALUMINA 외 | DAEHAN CERAMICS CO., LTD 외 | 원재료 매입액","2024년말 기준 기타 부문(KCSKCVN)의 주요 매입 품목은 ALUMINA 외 등(AM 외)입니다. 매입액은 17,023백만원(비율 0.5%)이며, 주요 매입처는 DAEHAN CERAMICS CO., LTD 외입니다."
2024-12-31,2024,2024년말,주요원재료,기타_케이씨씨,"163,545",백만원,매입유형: 원재료 외 | 품목: 콜레마나이트 외 | 구체적용도: 장섬유 외 | 비율: 4.77% | 주요매입처: 경희케미칼 외,2024년말|주요원재료|기타|케이씨씨,2024년말 | 2024-12-31 기준 주요원재료 | 기타 부문 | 대상회사 케이씨씨 | 콜레마나이트 외 | 경희케미칼 외 | 원재료 매입액,"2024년말 기준 기타 부문(케이씨씨)의 주요 매입 품목은 콜레마나이트 외 등(장섬유 외)입니다. 매입액은 163,545백만원(비율 4.77%)이며, 주요 매입처는 경희케미칼 외입니다."
2024-12-31,2024,2024년말,주요원재료,도료_KCC(HK)KCK,"257,460",백만원,"매입유형: 원재료 외 | 품목: ZINC DUST 외 | 구체적용도: 도료 | 비율: 7.5% | 주요매입처: ETERNAL CHEMICAL INDUSTRY (CHINA) CO., LTD. 외",2024년말|주요원재료|도료|KCC(HK)KCK,"2024년말 | 2024-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCC(HK)KCK | ZINC DUST 외 | ETERNAL CHEMICAL INDUSTRY (CHINA) CO., LTD. 외 | 원재료 매입액","2024년말 기준 도료 부문(KCC(HK)KCK)의 주요 매입 품목은 ZINC DUST 외 등(도료)입니다. 매입액은 257,460백만원(비율 7.5%)이며, 주요 매입처는 ETERNAL CHEMICAL INDUSTRY (CHINA) CO., LTD. 외입니다."
2024-12-31,2024,2024년말,주요원재료,도료_KCG,"67,598",백만원,"매입유형: 원재료 외 | 품목: ZINC DUST 외 | 구체적용도: 도료 | 비율: 1.97% | 주요매입처: ETERNAL MATERIALS INDUSTRY (GUANGDONG) CO., LTD. 외",2024년말|주요원재료|도료|KCG,"2024년말 | 2024-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCG | ZINC DUST 외 | ETERNAL MATERIALS INDUSTRY (GUANGDONG) CO., LTD. 외 | 원재료 매입액","2024년말 기준 도료 부문(KCG)의 주요 매입 품목은 ZINC DUST 외 등(도료)입니다. 매입액은 67,598백만원(비율 1.97%)이며, 주요 매입처는 ETERNAL MATERIALS INDUSTRY (GUANGDONG) CO., LTD. 외입니다."
2024-12-31,2024,2024년말,주요원재료,도료_KCSKCS,"7,231",백만원,매입유형: 상품 | 품목: EH2350PTA-2260 외 | 구체적용도: 도료 | 비율: 0.21% | 주요매입처: CHIPMATE FZC TECHNOLOGY AND SERVICE 외,2024년말|주요원재료|도료|KCSKCS,2024년말 | 2024-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCSKCS | EH2350PTA-2260 외 | CHIPMATE FZC TECHNOLOGY AND SERVICE 외 | 원재료 매입액,"2024년말 기준 도료 부문(KCSKCS)의 주요 매입 품목은 EH2350PTA-2260 외 등(도료)입니다. 매입액은 7,231백만원(비율 0.21%)이며, 주요 매입처는 CHIPMATE FZC TECHNOLOGY AND SERVICE 외입니다."
2024-12-31,2024,2024년말,주요원재료,도료_KCTJ,"58,787",백만원,"매입유형: 원재료 외 | 품목: EPOXY RESIN 외 | 구체적용도: 도료 | 비율: 1.71% | 주요매입처: Allnex Resins (China) Co., Ltd. 외",2024년말|주요원재료|도료|KCTJ,"2024년말 | 2024-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCTJ | EPOXY RESIN 외 | Allnex Resins (China) Co., Ltd. 외 | 원재료 매입액","2024년말 기준 도료 부문(KCTJ)의 주요 매입 품목은 EPOXY RESIN 외 등(도료)입니다. 매입액은 58,787백만원(비율 1.71%)이며, 주요 매입처는 Allnex Resins (China) Co., Ltd. 외입니다."
2024-12-31,2024,2024년말,주요원재료,도료_KCV,"75,021",백만원,매입유형: 원재료 외 | 품목: CUPROUS OXIDE LO LO TINT LM 외 | 구체적용도: 도료 | 비율: 2.19% | 주요매입처: AMERICAN CHEMET CORPORATION 외,2024년말|주요원재료|도료|KCV,2024년말 | 2024-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCV | CUPROUS OXIDE LO LO TINT LM 외 | AMERICAN CHEMET CORPORATION 외 | 원재료 매입액,"2024년말 기준 도료 부문(KCV)의 주요 매입 품목은 CUPROUS OXIDE LO LO TINT LM 외 등(도료)입니다. 매입액은 75,021백만원(비율 2.19%)이며, 주요 매입처는 AMERICAN CHEMET CORPORATION 외입니다."
2024-12-31,2024,2024년말,주요원재료,도료_기타종속회사,"172,179",백만원,매입유형: 원재료 외 | 품목: TX GROUP XYLENE 외 | 구체적용도: 도료 | 비율: 5.02% | 주요매입처: Somu Solvents Private Limited 외,2024년말|주요원재료|도료|기타종속회사,2024년말 | 2024-12-31 기준 주요원재료 | 도료 부문 | 대상회사 기타종속회사 | TX GROUP XYLENE 외 | Somu Solvents Private Limited 외 | 원재료 매입액,"2024년말 기준 도료 부문(기타종속회사)의 주요 매입 품목은 TX GROUP XYLENE 외 등(도료)입니다. 매입액은 172,179백만원(비율 5.02%)이며, 주요 매입처는 Somu Solvents Private Limited 외입니다."
2024-12-31,2024,2024년말,주요원재료,도료_케이씨씨,"847,780",백만원,매입유형: 원재료 외 | 품목: 에폭시수지 외 | 구체적용도: 도료 | 비율: 24.7% | 주요매입처: 금호피앤비화학주식회사 외,2024년말|주요원재료|도료|케이씨씨,2024년말 | 2024-12-31 기준 주요원재료 | 도료 부문 | 대상회사 케이씨씨 | 에폭시수지 외 | 금호피앤비화학주식회사 외 | 원재료 매입액,"2024년말 기준 도료 부문(케이씨씨)의 주요 매입 품목은 에폭시수지 외 등(도료)입니다. 매입액은 847,780백만원(비율 24.7%)이며, 주요 매입처는 금호피앤비화학주식회사 외입니다."
2024-12-31,2024,2024년말,주요원재료,실리콘_MOM,"1,166,350",백만원,"매입유형: 원재료 외 | 품목: 메탈 실리콘 외 | 구체적용도: 실리콘 | 비율: 33.98% | 주요매입처: Global Ferro, MGC and XINAN 외",2024년말|주요원재료|실리콘|MOM,"2024년말 | 2024-12-31 기준 주요원재료 | 실리콘 부문 | 대상회사 MOM | 메탈 실리콘 외 | Global Ferro, MGC and XINAN 외 | 원재료 매입액","2024년말 기준 실리콘 부문(MOM)의 주요 매입 품목은 메탈 실리콘 외 등(실리콘)입니다. 매입액은 1,166,350백만원(비율 33.98%)이며, 주요 매입처는 Global Ferro, MGC and XINAN 외입니다."
