구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기 3개월,당기 1분기 누적,전기 1분기 3개월,전기 1분기 누적,전기,전전기
ifrs_Revenue수익 (매출액),매출액,01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_Revenue,수익 (매출액),"842,957,205,657","842,957,205,657","786,620,691,408","786,620,691,408","3,490,487,870,757","3,414,387,967,077"
entity00105271_udf_IS_2011525145433625_StatementOfComprehensiveIncomeAbstract매출원가,매출원가,02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2011525145433625_StatementOfComprehensiveIncomeAbstract,매출원가,"633,636,276,627","633,636,276,627","565,105,616,086","565,105,616,086","2,561,388,413,991","2,528,622,151,814"
ifrs_GrossProfit매출총이익,매출총이익,03,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_GrossProfit,매출총이익,"209,320,929,030","209,320,929,030","221,515,075,322","221,515,075,322","929,099,456,766","885,765,815,263"
dart_TotalSellingGeneralAdministrativeExpenses판매비와관리비,판매비와관리비,04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"138,118,695,833","138,118,695,833","135,846,216,300","135,846,216,300","602,516,355,165","576,555,329,701"
dart_OperatingIncomeLoss영업이익(손실),영업이익,05,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),"71,202,233,197","71,202,233,197","85,668,859,022","85,668,859,022","326,583,101,601","309,210,485,562"
ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,지분법손익,06,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,"-590,579,755","-590,579,755","4,723,391,620","4,723,391,620","13,992,513,378","-20,091,025,154"
entity00105271_udf_IS_201152515845359_StatementOfComprehensiveIncomeAbstract순금융손익,순금융손익,07,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201152515845359_StatementOfComprehensiveIncomeAbstract,순금융손익,"-22,973,143,362","-22,973,143,362","-8,576,981,701","-8,576,981,701","-9,708,582,119","-27,685,842,382"
entity00105271_udf_IS_201152515658265_StatementOfComprehensiveIncomeAbstract금융수익,   금융수익,07-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201152515658265_StatementOfComprehensiveIncomeAbstract,금융수익,"58,062,269,243","58,062,269,243","30,697,928,929","30,697,928,929","91,641,315,651","180,369,586,950"
entity00105271_udf_IS_20115251572921_StatementOfComprehensiveIncomeAbstract금융원가,   금융원가,07-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_20115251572921_StatementOfComprehensiveIncomeAbstract,금융원가,"-81,035,412,605","-81,035,412,605","-39,274,910,630","-39,274,910,630","-101,349,897,770","-208,055,429,332"
entity00105271_udf_IS_2015312111238116_StatementOfComprehensiveIncomeAbstract기타영업외손익,기타영업외손익,08,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2015312111238116_StatementOfComprehensiveIncomeAbstract,기타영업외손익,"-2,928,374,988","-2,928,374,988","-3,429,122,077","-3,429,122,077","-98,876,908,280","-10,702,359,279"
